zip,city,state,county,payout
38601,Abbeville,MS,Lafayette County,32.9
38820,Algoma,MS,Pontotoc County,32.9
38720,Alligator,MS,Coahoma County,32.9
38602,Arkabutla,MS,Tate County,32.9
38603,Ashland,MS,Benton County,32.9
38913,Banner,MS,Calhoun County,32.9
38606,Batesville,MS,Panola County,32.9
38826,Belden,MS,Lee County,32.9
38609,Belen,MS,Quitman County,32.9
38610,Blue Mountain,MS,Tippah County,32.9
38828,Blue Springs,MS,Union County,32.9
38915,Bruce,MS,Calhoun County,32.9
38611,Byhalia,MS,Marshall County,32.9
38920,Cascilla,MS,Tallahatchie County,32.9
38921,Charleston,MS,Tallahatchie County,32.9
38614,Clarksdale,MS,Coahoma County,32.9
38617,Coahoma,MS,Coahoma County,32.9
38922,Coffeeville,MS,Yalobusha County,32.9
38618,Coldwater,MS,Tate County,32.9
38619,Como,MS,Panola County,32.9
38834,Corinth,MS,Alcorn County,32.9
38835,Corinth,MS,Alcorn County,32.9
38620,Courtland,MS,Panola County,32.9
38621,Crenshaw,MS,Panola County,32.9
38622,Crowder,MS,Quitman County,32.9
38623,Darling,MS,Quitman County,32.9
38739,Dublin,MS,Coahoma County,32.9
38625,Dumas,MS,Tippah County,32.9
38740,Duncan,MS,Bolivar County,32.9
38626,Dundee,MS,Tunica County,32.9
38841,Ecru,MS,Pontotoc County,32.9
38927,Enid,MS,Tallahatchie County,32.9
38627,Etta,MS,Union County,32.9
38628,Falcon,MS,Quitman County,32.9
38629,Falkner,MS,Tippah County,32.9
38630,Farrell,MS,Coahoma County,32.9
38631,Friars Point,MS,Coahoma County,32.9
38928,Glendora,MS,Tallahatchie County,32.9
38632,Hernando,MS,Desoto County,32.9
38633,Hickory Flat,MS,Benton County,32.9
38634,Holly Springs,MS,Marshall County,32.9
38635,Holly Springs,MS,Marshall County,32.9
38637,Horn Lake,MS,Desoto County,32.9
38638,Independence,MS,Tate County,32.9
38639,Jonestown,MS,Coahoma County,32.9
38641,Lake Cormorant,MS,Desoto County,32.9
38642,Lamar,MS,Benton County,32.9
38643,Lambert,MS,Quitman County,32.9
39440,Laurel,MS,Jones County,33.08
38644,Lula,MS,Coahoma County,32.9
38645,Lyon,MS,Coahoma County,32.9
38646,Marks,MS,Quitman County,32.9
38647,Michigan City,MS,Benton County,32.9
38649,Mount Pleasant,MS,Marshall County,32.9
38650,Myrtle,MS,Union County,32.9
38651,Nesbit,MS,Desoto County,32.9
38652,New Albany,MS,Union County,32.9
38948,Oakland,MS,Yalobusha County,32.9
38654,Olive Branch,MS,Desoto County,36.23
38655,Oxford,MS,Lafayette County,32.9
38738,Parchman,MS,Sunflower County,32.9
38949,Paris,MS,Lafayette County,32.9
38863,Pontotoc,MS,Pontotoc County,32.9
38658,Pope,MS,Panola County,32.9
38659,Potts Camp,MS,Marshall County,32.9
38864,Randolph,MS,Pontotoc County,32.9
38661,Red Banks,MS,Marshall County,32.9
38767,Rena Lara,MS,Coahoma County,32.9
38865,Rienzi,MS,Alcorn County,32.9
38663,Ripley,MS,Tippah County,32.9
38664,Robinsonville,MS,Tunica County,32.9
38768,Rome,MS,Sunflower County,32.9
38665,Sarah,MS,Tate County,32.9
38666,Sardis,MS,Panola County,32.9
38953,Scobey,MS,Yalobusha County,32.9
38668,Senatobia,MS,Tate County,32.9
38669,Sherard,MS,Coahoma County,32.9
38869,Sherman,MS,Pontotoc County,32.9
38670,Sledge,MS,Quitman County,32.9
38671,Southaven,MS,Desoto County,36.23
38672,Southaven,MS,Desoto County,32.9
38957,Sumner,MS,Tallahatchie County,32.9
38958,Swan Lake,MS,Leflore County,32.9
38673,Taylor,MS,Lafayette County,32.9
38871,Thaxton,MS,Pontotoc County,32.9
38961,Tillatoba,MS,Yalobusha County,32.9
38674,Tiplersville,MS,Tippah County,32.9
38962,Tippo,MS,Tallahatchie County,32.9
38874,Toccopola,MS,Pontotoc County,32.9
38675,Tula,MS,Lafayette County,32.9
38676,Tunica,MS,Tunica County,32.9
38963,Tutwiler,MS,Tallahatchie County,32.9
38677,University,MS,Lafayette County,32.9
38964,Vance,MS,Quitman County,32.9
38679,Victoria,MS,Marshall County,32.9
38680,Walls,MS,Desoto County,32.9
38686,Walls,MS,Desoto County,32.9
38683,Walnut,MS,Tippah County,32.9
38965,Water Valley,MS,Yalobusha County,32.9
38685,Waterford,MS,Marshall County,32.9
38966,Webb,MS,Tallahatchie County,32.9
