zip,city,state,county,payout
03031,Amherst,NH,Hillsborough County,45.38
03811,Atkinson,NH,Rockingham County,45.38
03032,Auburn,NH,Rockingham County,53.2
03825,Barrington,NH,Strafford County,45.38
03110,Bedford,NH,Hillsborough County,45.38
03034,Candia,NH,Rockingham County,53.2
03036,Chester,NH,Rockingham County,53.2
03301,Concord,NH,Merrimack County,45.38
03303,Concord,NH,Merrimack County,45.38
03819,Danville,NH,Rockingham County,53.2
03037,Deerfield,NH,Rockingham County,53.2
03038,Derry,NH,Rockingham County,45.38
03820,Dover,NH,Strafford County,45.38
03821,Dover,NH,Strafford County,45.38
03046,Dunbarton,NH,Merrimack County,45.38
03824,Durham,NH,Strafford County,45.38
03826,East Hampstead,NH,Rockingham County,45.38
03827,East Kingston,NH,Rockingham County,45.38
03042,Epping,NH,Rockingham County,53.2
03833,Exeter,NH,Rockingham County,53.2
03835,Farmington,NH,Strafford County,45.38
03044,Fremont,NH,Rockingham County,53.2
03045,Goffstown,NH,Hillsborough County,53.2
03840,Greenland,NH,Rockingham County,45.38
03048,Greenville,NH,Hillsborough County,45.38
03841,Hampstead,NH,Rockingham County,53.2
03842,Hampton,NH,Rockingham County,45.38
03844,Hampton Falls,NH,Rockingham County,45.38
03049,Hollis,NH,Hillsborough County,45.38
03106,Hooksett,NH,Merrimack County,45.38
03051,Hudson,NH,Hillsborough County,53.2
03848,Kingston,NH,Rockingham County,53.2
03861,Lee,NH,Strafford County,45.38
03052,Litchfield,NH,Hillsborough County,45.38
03053,Londonderry,NH,Rockingham County,45.38
03101,Manchester,NH,Hillsborough County,53.2
03102,Manchester,NH,Hillsborough County,53.2
03103,Manchester,NH,Hillsborough County,53.2
03104,Manchester,NH,Hillsborough County,53.2
03109,Manchester,NH,Hillsborough County,53.2
03054,Merrimack,NH,Hillsborough County,53.2
03055,Milford,NH,Hillsborough County,53.2
03851,Milton,NH,Strafford County,45.38
03057,Mont Vernon,NH,Hillsborough County,53.2
03060,Nashua,NH,Hillsborough County,53.2
03061,Nashua,NH,Hillsborough County,53.2
03062,Nashua,NH,Hillsborough County,53.2
03063,Nashua,NH,Hillsborough County,53.2
03064,Nashua,NH,Hillsborough County,53.2
03070,New Boston,NH,Hillsborough County,53.2
03856,Newfields,NH,Rockingham County,53.2
03857,Newmarket,NH,Rockingham County,45.38
03858,Newton,NH,Rockingham County,45.38
03862,North Hampton,NH,Rockingham County,45.38
03073,North Salem,NH,Rockingham County,53.2
03261,Northwood,NH,Rockingham County,53.2
03290,Nottingham,NH,Rockingham County,53.2
03076,Pelham,NH,Hillsborough County,53.2
03865,Plaistow,NH,Rockingham County,53.2
03801,Portsmouth,NH,Rockingham County,45.38
03077,Raymond,NH,Rockingham County,53.2
03839,Rochester,NH,Strafford County,45.38
03867,Rochester,NH,Strafford County,45.38
03868,Rochester,NH,Strafford County,45.38
03870,Rye,NH,Rockingham County,45.38
03079,Salem,NH,Rockingham County,53.2
03873,Sandown,NH,Rockingham County,53.2
03874,Seabrook,NH,Rockingham County,45.38
03878,Somersworth,NH,Strafford County,45.38
03884,Strafford,NH,Strafford County,45.38
03885,Stratham,NH,Rockingham County,45.38
03281,Weare,NH,Hillsborough County,45.38
03291,West Nottingham,NH,Rockingham County,45.38
03086,Wilton,NH,Hillsborough County,45.38
03087,Windham,NH,Rockingham County,53.2
