zip,city,state,county,payout
08201,Absecon,NJ,Atlantic County,45.38
08205,Absecon,NJ,Atlantic County,45.38
07710,Adelphia,NJ,Monmouth County,46.75
07401,Allendale,NJ,Bergen County,46.75
07711,Allenhurst,NJ,Monmouth County,46.75
08501,Allentown,NJ,Monmouth County,46.75
08720,Allenwood,NJ,Monmouth County,46.75
08001,Alloway,NJ,Salem County,36.75
07620,Alpine,NJ,Bergen County,46.75
07821,Andover,NJ,Sussex County,34.3
08801,Annandale,NJ,Hunterdon County,47.25
08802,Asbury,NJ,Hunterdon County,41.25
07712,Asbury Park,NJ,Monmouth County,46.75
08004,Atco,NJ,Camden County,52.67
08401,Atlantic City,NJ,Atlantic County,55.13
08404,Atlantic City,NJ,Atlantic County,36.75
08405,Atlantic City,NJ,Atlantic County,36.75
07716,Atlantic Highlands,NJ,Monmouth County,53.55
08106,Audubon,NJ,Camden County,52.67
08202,Avalon,NJ,Cape May County,45.38
07001,Avenel,NJ,Middlesex County,41.25
07717,Avon By The Sea,NJ,Monmouth County,46.75
08803,Baptistown,NJ,Hunterdon County,41.25
08005,Barnegat,NJ,Ocean County,44.0
08006,Barnegat Light,NJ,Ocean County,44.0
08007,Barrington,NJ,Camden County,43.68
07920,Basking Ridge,NJ,Somerset County,43.92
07002,Bayonne,NJ,Hudson County,47.25
08721,Bayville,NJ,Ocean County,42.88
08008,Beach Haven,NJ,Ocean County,55.13
08722,Beachwood,NJ,Ocean County,42.88
07921,Bedminster,NJ,Somerset County,47.25
07718,Belford,NJ,Monmouth County,46.75
08502,Belle Mead,NJ,Somerset County,37.8
07109,Belleville,NJ,Essex County,43.92
08031,Bellmawr,NJ,Camden County,41.25
08099,Bellmawr,NJ,Camden County,36.75
07715,Belmar,NJ,Monmouth County,46.75
07719,Belmar,NJ,Monmouth County,46.75
07621,Bergenfield,NJ,Bergen County,46.75
07922,Berkeley Heights,NJ,Union County,42.0
08009,Berlin,NJ,Camden County,43.68
07924,Bernardsville,NJ,Somerset County,43.92
08010,Beverly,NJ,Burlington County,41.25
08011,Birmingham,NJ,Burlington County,52.67
08012,Blackwood,NJ,Camden County,52.67
08504,Blawenburg,NJ,Somerset County,34.3
07003,Bloomfield,NJ,Essex County,49.0
07403,Bloomingdale,NJ,Passaic County,34.3
08804,Bloomsbury,NJ,Hunterdon County,41.25
07603,Bogota,NJ,Bergen County,46.75
07005,Boonton,NJ,Morris County,43.92
08505,Bordentown,NJ,Burlington County,41.25
08805,Bound Brook,NJ,Somerset County,34.3
07720,Bradley Beach,NJ,Monmouth County,46.75
08723,Brick,NJ,Ocean County,42.88
08724,Brick,NJ,Ocean County,45.22
08014,Bridgeport,NJ,Gloucester County,41.25
08302,Bridgeton,NJ,Cumberland County,36.75
08807,Bridgewater,NJ,Somerset County,34.3
08730,Brielle,NJ,Monmouth County,46.75
08203,Brigantine,NJ,Atlantic County,45.38
07926,Brookside,NJ,Morris County,42.0
08015,Browns Mills,NJ,Burlington County,41.25
07828,Budd Lake,NJ,Morris County,43.92
08310,Buena,NJ,Atlantic County,41.25
08016,Burlington,NJ,Burlington County,52.67
07405,Butler,NJ,Morris County,43.92
07006,Caldwell,NJ,Essex County,47.25
07007,Caldwell,NJ,Essex County,41.25
07830,Califon,NJ,Hunterdon County,41.25
08101,Camden,NJ,Camden County,41.39
08102,Camden,NJ,Camden County,52.67
08103,Camden,NJ,Camden County,52.67
08104,Camden,NJ,Camden County,52.67
08105,Camden,NJ,Camden County,52.67
08204,Cape May,NJ,Cape May County,45.38
08210,Cape May Court House,NJ,Cape May County,45.38
08212,Cape May Point,NJ,Cape May County,45.38
07072,Carlstadt,NJ,Bergen County,46.75
07008,Carteret,NJ,Middlesex County,56.7
08018,Cedar Brook,NJ,Camden County,36.75
07009,Cedar Grove,NJ,Essex County,41.25
07927,Cedar Knolls,NJ,Morris County,45.22
08311,Cedarville,NJ,Cumberland County,36.75
07928,Chatham,NJ,Morris County,42.0
08019,Chatsworth,NJ,Burlington County,41.25
08002,Cherry Hill,NJ,Camden County,52.67
08003,Cherry Hill,NJ,Camden County,52.67
08034,Cherry Hill,NJ,Camden County,43.68
07930,Chester,NJ,Morris County,43.92
08515,Chesterfield,NJ,Burlington County,41.25
07066,Clark,NJ,Union County,43.92
08020,Clarksboro,NJ,Gloucester County,41.25
08312,Clayton,NJ,Gloucester County,41.25
08021,Clementon,NJ,Camden County,52.67
07010,Cliffside Park,NJ,Bergen County,49.0
07721,Cliffwood,NJ,Monmouth County,46.75
07011,Clifton,NJ,Passaic County,43.92
07012,Clifton,NJ,Passaic County,43.92
07013,Clifton,NJ,Passaic County,47.25
07014,Clifton,NJ,Passaic County,41.25
07015,Clifton,NJ,Passaic County,41.25
08809,Clinton,NJ,Hunterdon County,41.25
07624,Closter,NJ,Bergen County,46.75
08108,Collingswood,NJ,Camden County,52.67
08213,Cologne,NJ,Atlantic County,36.75
07067,Colonia,NJ,Middlesex County,41.25
07722,Colts Neck,NJ,Monmouth County,42.88
07832,Columbia,NJ,Warren County,34.3
08022,Columbus,NJ,Burlington County,41.25
07961,Convent Station,NJ,Morris County,42.0
08511,Cookstown,NJ,Burlington County,41.25
08512,Cranbury,NJ,Mercer County,41.25
07016,Cranford,NJ,Union County,47.25
08514,Cream Ridge,NJ,Monmouth County,46.75
07626,Cresskill,NJ,Bergen County,46.75
08810,Dayton,NJ,Middlesex County,45.22
07723,Deal,NJ,Monmouth County,46.75
08023,Deepwater,NJ,Salem County,36.75
08313,Deerfield Street,NJ,Cumberland County,36.75
08314,Delmont,NJ,Cumberland County,36.75
07627,Demarest,NJ,Bergen County,46.75
08214,Dennisville,NJ,Cape May County,45.38
07834,Denville,NJ,Morris County,43.92
08096,Deptford,NJ,Gloucester County,43.68
08315,Dividing Creek,NJ,Cumberland County,36.75
08316,Dorchester,NJ,Cumberland County,36.75
08317,Dorothy,NJ,Atlantic County,41.25
07801,Dover,NJ,Morris County,43.92
07802,Dover,NJ,Morris County,42.0
07628,Dumont,NJ,Bergen County,46.75
08812,Dunellen,NJ,Middlesex County,56.7
08816,East Brunswick,NJ,Middlesex County,41.25
07936,East Hanover,NJ,Morris County,53.55
07017,East Orange,NJ,Essex County,41.25
07018,East Orange,NJ,Essex County,49.0
07073,East Rutherford,NJ,Bergen County,46.75
07724,Eatontown,NJ,Monmouth County,42.0
07799,Eatontown,NJ,Monmouth County,46.75
07020,Edgewater,NJ,Bergen County,46.75
08817,Edison,NJ,Middlesex County,41.25
08818,Edison,NJ,Middlesex County,41.25
08820,Edison,NJ,Middlesex County,41.25
08837,Edison,NJ,Middlesex County,41.25
08899,Edison,NJ,Middlesex County,41.25
08215,Egg Harbor City,NJ,Atlantic County,41.25
08234,Egg Harbor Township,NJ,Atlantic County,45.38
07201,Elizabeth,NJ,Union County,49.0
07202,Elizabeth,NJ,Union County,47.25
07207,Elizabeth,NJ,Union County,47.25
07208,Elizabeth,NJ,Union County,47.25
07206,Elizabethport,NJ,Union County,42.0
08318,Elmer,NJ,Salem County,36.75
07407,Elmwood Park,NJ,Bergen County,46.75
08217,Elwood,NJ,Atlantic County,41.25
07630,Emerson,NJ,Bergen County,46.75
07631,Englewood,NJ,Bergen County,46.75
07632,Englewood Cliffs,NJ,Bergen County,46.75
07726,Englishtown,NJ,Monmouth County,45.22
07021,Essex Fells,NJ,Essex County,41.25
08319,Estell Manor,NJ,Atlantic County,41.25
08025,Ewan,NJ,Gloucester County,36.75
07704,Fair Haven,NJ,Monmouth County,46.75
07410,Fair Lawn,NJ,Bergen County,46.75
07004,Fairfield,NJ,Essex County,41.25
08320,Fairton,NJ,Cumberland County,36.75
07022,Fairview,NJ,Bergen County,46.75
07023,Fanwood,NJ,Union County,43.92
07931,Far Hills,NJ,Somerset County,43.92
07727,Farmingdale,NJ,Monmouth County,42.88
08821,Flagtown,NJ,Somerset County,34.3
07836,Flanders,NJ,Morris County,42.0
08822,Flemington,NJ,Hunterdon County,41.25
08518,Florence,NJ,Burlington County,41.25
07932,Florham Park,NJ,Morris County,43.92
08863,Fords,NJ,Middlesex County,41.25
08731,Forked River,NJ,Ocean County,42.0
07024,Fort Lee,NJ,Bergen County,49.0
07703,Fort Monmouth,NJ,Monmouth County,46.75
08321,Fortescue,NJ,Cumberland County,36.75
07417,Franklin Lakes,NJ,Bergen County,46.75
08823,Franklin Park,NJ,Somerset County,40.42
08322,Franklinville,NJ,Gloucester County,43.68
07728,Freehold,NJ,Monmouth County,56.7
08825,Frenchtown,NJ,Hunterdon County,41.25
07026,Garfield,NJ,Bergen County,46.75
07027,Garwood,NJ,Union County,43.92
08026,Gibbsboro,NJ,Camden County,43.68
08027,Gibbstown,NJ,Gloucester County,41.25
07933,Gillette,NJ,Morris County,42.0
07934,Gladstone,NJ,Somerset County,34.3
08028,Glassboro,NJ,Gloucester County,47.25
08826,Glen Gardner,NJ,Hunterdon County,41.25
07028,Glen Ridge,NJ,Essex County,43.92
