zip,city,state,county,payout
87101,Albuquerque,NM,Bernalillo County,40.25
87102,Albuquerque,NM,Bernalillo County,40.25
87103,Albuquerque,NM,Bernalillo County,40.25
87104,Albuquerque,NM,Bernalillo County,40.25
87105,Albuquerque,NM,Bernalillo County,40.25
87106,Albuquerque,NM,Bernalillo County,40.25
87107,Albuquerque,NM,Bernalillo County,40.25
87108,Albuquerque,NM,Bernalillo County,40.25
87109,Albuquerque,NM,Bernalillo County,40.25
87110,Albuquerque,NM,Bernalillo County,40.25
87111,Albuquerque,NM,Bernalillo County,40.25
87112,Albuquerque,NM,Bernalillo County,45.67
87113,Albuquerque,NM,Bernalillo County,40.25
87114,Albuquerque,NM,Bernalillo County,40.25
87115,Albuquerque,NM,Bernalillo County,40.25
87116,Albuquerque,NM,Bernalillo County,40.25
87119,Albuquerque,NM,Bernalillo County,40.25
87120,Albuquerque,NM,Bernalillo County,40.25
87121,Albuquerque,NM,Bernalillo County,40.25
87122,Albuquerque,NM,Bernalillo County,40.25
87123,Albuquerque,NM,Bernalillo County,40.25
87125,Albuquerque,NM,Bernalillo County,40.25
87131,Albuquerque,NM,Bernalillo County,40.25
87151,Albuquerque,NM,Bernalillo County,40.25
87153,Albuquerque,NM,Bernalillo County,40.25
87154,Albuquerque,NM,Bernalillo County,40.25
87158,Albuquerque,NM,Bernalillo County,40.25
87176,Albuquerque,NM,Bernalillo County,40.25
87181,Albuquerque,NM,Bernalillo County,40.25
87184,Albuquerque,NM,Bernalillo County,40.25
87185,Albuquerque,NM,Bernalillo County,40.25
87187,Albuquerque,NM,Bernalillo County,40.25
87190,Albuquerque,NM,Bernalillo County,40.25
87191,Albuquerque,NM,Bernalillo County,40.25
87192,Albuquerque,NM,Bernalillo County,40.25
87193,Albuquerque,NM,Bernalillo County,40.25
87194,Albuquerque,NM,Bernalillo County,40.25
87195,Albuquerque,NM,Bernalillo County,40.25
87196,Albuquerque,NM,Bernalillo County,40.25
87197,Albuquerque,NM,Bernalillo County,40.25
87198,Albuquerque,NM,Bernalillo County,40.25
87199,Albuquerque,NM,Bernalillo County,40.25
87001,Algodones,NM,Sandoval County,40.25
87004,Bernalillo,NM,Sandoval County,40.25
87068,Bosque Farms,NM,Valencia County,40.25
87008,Cedar Crest,NM,Bernalillo County,40.25
87010,Cerrillos,NM,Santa Fe County,40.25
87048,Corrales,NM,Sandoval County,40.25
87015,Edgewood,NM,Santa Fe County,40.25
87016,Estancia,NM,Torrance County,40.25
87022,Isleta,NM,Bernalillo County,40.25
87117,Kirtland Afb,NM,Bernalillo County,40.25
87031,Los Lunas,NM,Valencia County,40.25
87035,Moriarty,NM,Torrance County,40.25
87042,Peralta,NM,Valencia County,40.25
87043,Placitas,NM,Sandoval County,40.25
87124,Rio Rancho,NM,Sandoval County,40.25
87144,Rio Rancho,NM,Sandoval County,40.25
87174,Rio Rancho,NM,Sandoval County,40.25
87053,San Ysidro,NM,Sandoval County,40.25
87047,Sandia Park,NM,Bernalillo County,40.25
87052,Santo Domingo Pueblo,NM,Sandoval County,40.25
87056,Stanley,NM,Santa Fe County,40.25
87059,Tijeras,NM,Bernalillo County,40.25
87060,Tome,NM,Valencia County,40.25
87061,Torreon,NM,Torrance County,40.25
