zip,city,state,county,payout
89311,Baker,NV,White Pine County,38.26
89004,Blue Diamond,NV,Clark County,98.0
89005,Boulder City,NV,Clark County,41.44
89822,Carlin,NV,Elko County,38.32
89701,Carson City,NV,Carson city,42.52
89703,Carson City,NV,Carson city,40.25
89705,Carson City,NV,Douglas County,40.25
89706,Carson City,NV,Carson city,42.52
89402,Crystal Bay,NV,Washoe County,40.25
89403,Dayton,NV,Lyon County,42.52
89408,Fernley,NV,Lyon County,42.52
89410,Gardnerville,NV,Douglas County,40.25
89460,Gardnerville,NV,Douglas County,42.52
89411,Genoa,NV,Douglas County,33.0
89412,Gerlach,NV,Washoe County,40.25
89413,Glenbrook,NV,Douglas County,40.25
89002,Henderson,NV,Clark County,98.0
89009,Henderson,NV,Clark County,98.0
89011,Henderson,NV,Clark County,98.0
89012,Henderson,NV,Clark County,98.0
89014,Henderson,NV,Clark County,105.0
89015,Henderson,NV,Clark County,98.0
89016,Henderson,NV,Clark County,98.0
89044,Henderson,NV,Clark County,98.0
89052,Henderson,NV,Clark County,105.0
89053,Henderson,NV,Clark County,105.0
89074,Henderson,NV,Clark County,105.0
89077,Henderson,NV,Clark County,105.0
89450,Incline Village,NV,Washoe County,40.25
89451,Incline Village,NV,Washoe County,40.25
89019,Jean,NV,Clark County,38.18
89026,Jean,NV,Clark County,33.25
89101,Las Vegas,NV,Clark County,105.0
89102,Las Vegas,NV,Clark County,105.0
89103,Las Vegas,NV,Clark County,105.0
89104,Las Vegas,NV,Clark County,105.0
89105,Las Vegas,NV,Clark County,105.0
89106,Las Vegas,NV,Clark County,105.0
89107,Las Vegas,NV,Clark County,105.0
89108,Las Vegas,NV,Clark County,105.0
89109,Las Vegas,NV,Clark County,105.0
89110,Las Vegas,NV,Clark County,98.0
89111,Las Vegas,NV,Clark County,105.0
89112,Las Vegas,NV,Clark County,105.0
89113,Las Vegas,NV,Clark County,105.0
89114,Las Vegas,NV,Clark County,105.0
89115,Las Vegas,NV,Clark County,98.0
89116,Las Vegas,NV,Clark County,105.0
89117,Las Vegas,NV,Clark County,105.0
89118,Las Vegas,NV,Clark County,105.0
89119,Las Vegas,NV,Clark County,105.0
89120,Las Vegas,NV,Clark County,105.0
89121,Las Vegas,NV,Clark County,105.0
89122,Las Vegas,NV,Clark County,98.0
89123,Las Vegas,NV,Clark County,105.0
89124,Las Vegas,NV,Clark County,98.0
89125,Las Vegas,NV,Clark County,105.0
89126,Las Vegas,NV,Clark County,105.0
89127,Las Vegas,NV,Clark County,105.0
89128,Las Vegas,NV,Clark County,105.0
89129,Las Vegas,NV,Clark County,98.0
89130,Las Vegas,NV,Clark County,98.0
89131,Las Vegas,NV,Clark County,98.0
89132,Las Vegas,NV,Clark County,105.0
89133,Las Vegas,NV,Clark County,105.0
89134,Las Vegas,NV,Clark County,105.0
89135,Las Vegas,NV,Clark County,105.0
89136,Las Vegas,NV,Clark County,98.0
89137,Las Vegas,NV,Clark County,105.0
89138,Las Vegas,NV,Clark County,98.0
89139,Las Vegas,NV,Clark County,105.0
89140,Las Vegas,NV,Clark County,105.0
89141,Las Vegas,NV,Clark County,105.0
89142,Las Vegas,NV,Clark County,98.0
89143,Las Vegas,NV,Clark County,98.0
89144,Las Vegas,NV,Clark County,105.0
89145,Las Vegas,NV,Clark County,105.0
89146,Las Vegas,NV,Clark County,105.0
89147,Las Vegas,NV,Clark County,105.0
89148,Las Vegas,NV,Clark County,105.0
89149,Las Vegas,NV,Clark County,98.0
89150,Las Vegas,NV,Clark County,105.0
