zip,city,state,county,payout
12404,Accord,NY,Ulster County,41.48
14001,Akron,NY,Erie County,34.38
12201,Albany,NY,Albany County,49.0
12202,Albany,NY,Albany County,49.0
12203,Albany,NY,Albany County,49.0
12204,Albany,NY,Albany County,49.0
12205,Albany,NY,Albany County,49.0
12206,Albany,NY,Albany County,49.0
12207,Albany,NY,Albany County,49.0
12208,Albany,NY,Albany County,49.0
12209,Albany,NY,Albany County,49.0
12210,Albany,NY,Albany County,49.0
12211,Albany,NY,Albany County,49.0
12212,Albany,NY,Albany County,49.0
12214,Albany,NY,Albany County,49.0
12220,Albany,NY,Albany County,49.0
12222,Albany,NY,Albany County,49.0
12223,Albany,NY,Albany County,49.0
12224,Albany,NY,Albany County,49.0
12225,Albany,NY,Albany County,49.0
12226,Albany,NY,Albany County,49.0
12227,Albany,NY,Albany County,49.0
12228,Albany,NY,Albany County,49.0
12229,Albany,NY,Albany County,49.0
12230,Albany,NY,Albany County,49.0
12231,Albany,NY,Albany County,49.0
12232,Albany,NY,Albany County,49.0
12233,Albany,NY,Albany County,49.0
12234,Albany,NY,Albany County,49.0
12235,Albany,NY,Albany County,49.0
12236,Albany,NY,Albany County,49.0
12237,Albany,NY,Albany County,49.0
12238,Albany,NY,Albany County,49.0
12239,Albany,NY,Albany County,49.0
12240,Albany,NY,Albany County,49.0
12241,Albany,NY,Albany County,49.0
12242,Albany,NY,Albany County,49.0
12243,Albany,NY,Albany County,49.0
12244,Albany,NY,Albany County,49.0
12245,Albany,NY,Albany County,49.0
12246,Albany,NY,Albany County,49.0
12247,Albany,NY,Albany County,49.0
12248,Albany,NY,Albany County,49.0
12249,Albany,NY,Albany County,49.0
12250,Albany,NY,Albany County,49.0
12252,Albany,NY,Albany County,49.0
12255,Albany,NY,Albany County,49.0
12256,Albany,NY,Albany County,49.0
12257,Albany,NY,Albany County,49.0
12260,Albany,NY,Albany County,49.0
12261,Albany,NY,Albany County,49.0
12288,Albany,NY,Albany County,49.0
11507,Albertson,NY,Nassau County,45.5
12007,Alcove,NY,Albany County,49.0
14004,Alden,NY,Erie County,34.38
13301,Alder Creek,NY,Oneida County,35.0
14005,Alexander,NY,Genesee County,34.38
12008,Alplaus,NY,Schenectady County,49.0
12009,Altamont,NY,Albany County,49.0
13302,Altmar,NY,Oswego County,35.0
10501,Amawalk,NY,Westchester County,41.25
12501,Amenia,NY,Dutchess County,34.65
11701,Amityville,NY,Suffolk County,34.3
14006,Angola,NY,Erie County,34.38
13020,Apulia Station,NY,Onondaga County,37.8
11931,Aquebogue,NY,Suffolk County,35.35
14009,Arcade,NY,Wyoming County,34.38
10502,Ardsley,NY,Westchester County,41.25
10503,Ardsley On Hudson,NY,Westchester County,51.87
10504,Armonk,NY,Westchester County,41.25
11106,Astoria,NY,Queens County,34.65
14010,Athol Springs,NY,Erie County,34.38
11509,Atlantic Beach,NY,Nassau County,45.5
14011,Attica,NY,Wyoming County,34.38
13021,Auburn,NY,Cayuga County,37.8
13022,Auburn,NY,Cayuga County,35.0
13024,Auburn,NY,Cayuga County,35.0
13026,Aurora,NY,Cayuga County,35.0
13303,Ava,NY,Oneida County,35.0
12018,Averill Park,NY,Rensselaer County,49.0
11702,Babylon,NY,Suffolk County,41.45
11510,Baldwin,NY,Nassau County,45.5
13027,Baldwinsville,NY,Onondaga County,47.88
12019,Ballston Lake,NY,Saratoga County,49.0
12020,Ballston Spa,NY,Saratoga County,49.0
13304,Barneveld,NY,Oneida County,35.0
14013,Basom,NY,Genesee County,34.38
11706,Bay Shore,NY,Suffolk County,41.45
11705,Bayport,NY,Suffolk County,34.3
11709,Bayville,NY,Nassau County,45.5
12508,Beacon,NY,Dutchess County,51.87
10911,Bear Mountain,NY,Rockland County,34.38
12409,Bearsville,NY,Ulster County,41.48
