zip,city,state,county,payout
16820,Aaronsburg,PA,Centre County,34.38
17301,Abbottstown,PA,Adams County,34.38
19001,Abington,PA,Montgomery County,77.0
19501,Adamstown,PA,Lancaster County,84.0
17302,Airville,PA,York County,84.0
17501,Akron,PA,Lancaster County,84.0
18210,Albrightsville,PA,Carbon County,52.67
18011,Alburtis,PA,Lehigh County,35.75
18101,Allentown,PA,Lehigh County,52.67
18102,Allentown,PA,Lehigh County,52.67
18103,Allentown,PA,Lehigh County,52.67
18104,Allentown,PA,Lehigh County,35.75
18105,Allentown,PA,Lehigh County,35.75
18106,Allentown,PA,Lehigh County,42.88
18109,Allentown,PA,Lehigh County,52.67
18195,Allentown,PA,Lehigh County,35.75
19002,Ambler,PA,Montgomery County,78.75
18211,Andreas,PA,Schuylkill County,41.39
17003,Annville,PA,Lebanon County,84.0
18012,Aquashicola,PA,Carbon County,41.39
19003,Ardmore,PA,Montgomery County,49.5
18212,Ashfield,PA,Carbon County,41.39
17921,Ashland,PA,Schuylkill County,41.39
19014,Aston,PA,Delaware County,60.5
19310,Atglen,PA,Chester County,60.5
17922,Auburn,PA,Schuylkill County,41.39
19407,Audubon,PA,Montgomery County,38.5
19311,Avondale,PA,Chester County,60.5
17502,Bainbridge,PA,Lancaster County,84.0
19004,Bala Cynwyd,PA,Montgomery County,77.0
19503,Bally,PA,Berks County,38.5
18010,Bangor,PA,Northampton County,35.75
18050,Bangor,PA,Northampton County,35.75
18214,Barnesville,PA,Schuylkill County,41.39
17503,Bart,PA,Lancaster County,84.0
19504,Barto,PA,Berks County,38.5
18014,Bath,PA,Northampton County,52.67
17504,Bausman,PA,Lancaster County,84.0
18216,Beaver Meadows,PA,Carbon County,41.39
19505,Bechtelsville,PA,Berks County,38.5
18910,Bedminster,PA,Bucks County,35.75
16823,Bellefonte,PA,Centre County,34.38
19020,Bensalem,PA,Bucks County,78.75
19506,Bernville,PA,Berks County,36.85
19312,Berwyn,PA,Chester County,60.5
18015,Bethlehem,PA,Northampton County,35.75
18016,Bethlehem,PA,Lehigh County,35.75
18017,Bethlehem,PA,Northampton County,35.75
18018,Bethlehem,PA,Lehigh County,35.75
18020,Bethlehem,PA,Northampton County,35.75
18025,Bethlehem,PA,Northampton County,35.75
19421,Birchrunville,PA,Chester County,60.5
17505,Bird In Hand,PA,Lancaster County,84.0
19508,Birdsboro,PA,Berks County,38.5
19510,Blandon,PA,Berks County,36.85
18911,Blooming Glen,PA,Bucks County,35.75
17506,Blue Ball,PA,Lancaster County,84.0
19422,Blue Bell,PA,Montgomery County,77.0
19424,Blue Bell,PA,Montgomery County,35.75
16827,Boalsburg,PA,Centre County,34.38
17007,Boiling Springs,PA,Cumberland County,72.88
19511,Bowers,PA,Berks County,34.38
17507,Bowmansville,PA,Lancaster County,84.0
19512,Boyertown,PA,Berks County,38.5
17923,Branchdale,PA,Schuylkill County,41.39
19316,Brandamore,PA,Chester County,60.5
18031,Breinigsville,PA,Lehigh County,52.67
19405,Bridgeport,PA,Montgomery County,86.63
19007,Bristol,PA,Bucks County,77.0
17925,Brockton,PA,Schuylkill County,41.39
17309,Brogue,PA,York County,84.0
19015,Brookhaven,PA,Delaware County,60.5
19008,Broomall,PA,Delaware County,60.5
17508,Brownstown,PA,Lancaster County,84.0
19009,Bryn Athyn,PA,Montgomery County,77.0
19010,Bryn Mawr,PA,Delaware County,52.67
18912,Buckingham,PA,Bucks County,77.0
17011,Camp Hill,PA,Cumberland County,84.0
17010,Campbelltown,PA,Lebanon County,84.0
17013,Carlisle,PA,Cumberland County,72.88
17015,Carlisle,PA,Cumberland County,72.88
18913,Carversville,PA,Bucks County,77.0
18032,Catasauqua,PA,Lehigh County,35.75
19423,Cedars,PA,Montgomery County,38.5
18034,Center Valley,PA,Lehigh County,35.75
16828,Centre Hall,PA,Centre County,34.38
19317,Chadds Ford,PA,Delaware County,60.5
18914,Chalfont,PA,Bucks County,77.0
15022,Charleroi,PA,Washington County,36.75
19318,Chatham,PA,Chester County,60.5
19012,Cheltenham,PA,Montgomery County,77.0
18035,Cherryville,PA,Northampton County,35.75
19013,Chester,PA,Delaware County,60.5
19016,Chester,PA,Delaware County,60.5
19017,Chester Heights,PA,Delaware County,60.5
19425,Chester Springs,PA,Chester County,60.5
19319,Cheyney,PA,Delaware County,60.5
17509,Christiana,PA,Lancaster County,84.0
19018,Clifton Heights,PA,Delaware County,60.5
18218,Coaldale,PA,Schuylkill County,41.39
19320,Coatesville,PA,Chester County,60.5
19330,Cochranville,PA,Chester County,60.5
17311,Codorus,PA,York County,70.13
19426,Collegeville,PA,Montgomery County,77.0
18915,Colmar,PA,Montgomery County,77.0
17512,Columbia,PA,Lancaster County,84.0
19331,Concordville,PA,Delaware County,60.5
19339,Concordville,PA,Delaware County,60.5
19340,Concordville,PA,Delaware County,60.5
17516,Conestoga,PA,Lancaster County,84.0
19428,Conshohocken,PA,Montgomery County,77.0
19429,Conshohocken,PA,Montgomery County,49.5
18036,Coopersburg,PA,Lehigh County,35.75
18037,Coplay,PA,Lehigh County,52.67
17016,Cornwall,PA,Lebanon County,84.0
17312,Craley,PA,York County,84.0
19430,Creamery,PA,Montgomery County,38.5
17929,Cressona,PA,Schuylkill County,41.39
19021,Croydon,PA,Bucks County,77.0
19022,Crum Lynne,PA,Delaware County,60.5
17313,Dallastown,PA,York County,84.0
18916,Danboro,PA,Bucks County,35.75
18038,Danielsville,PA,Northampton County,52.67
19023,Darby,PA,Delaware County,60.5
17018,Dauphin,PA,Dauphin County,84.0
18220,Delano,PA,Schuylkill County,41.39
17314,Delta,PA,York County,84.0
17517,Denver,PA,Lancaster County,84.0
19432,Devault,PA,Chester County,60.5
19333,Devon,PA,Chester County,60.5
17019,Dillsburg,PA,York County,84.0
19518,Douglassville,PA,Berks County,38.5
17315,Dover,PA,York County,84.0
19335,Downingtown,PA,Chester County,60.5
18901,Doylestown,PA,Bucks County,77.0
18902,Doylestown,PA,Bucks County,77.0
