zip,city,state,county,payout
37010,Adams,TN,Montgomery County,42.0
38310,Adamsville,TN,Mcnairy County,63.0
38001,Alamo,TN,Crockett County,63.0
37012,Alexandria,TN,Dekalb County,42.0
37301,Altamont,TN,Grundy County,43.31
37011,Antioch,TN,Davidson County,49.0
37013,Antioch,TN,Davidson County,49.0
37302,Apison,TN,Hamilton County,68.75
38002,Arlington,TN,Shelby County,63.0
37389,Arnold AFB,TN,Coffee County,43.31
37014,Arrington,TN,Williamson County,49.0
37015,Ashland City,TN,Cheatham County,49.0
38004,Atoka,TN,Tipton County,32.9
38220,Atwood,TN,Carroll County,63.0
37016,Auburntown,TN,Cannon County,43.31
38311,Bath Springs,TN,Decatur County,63.0
38313,Beech Bluff,TN,Madison County,63.0
37018,Beechgrove,TN,Coffee County,43.31
37305,Beersheba Springs,TN,Grundy County,43.31
37019,Belfast,TN,Marshall County,43.31
37020,Bell Buckle,TN,Bedford County,43.31
38006,Bells,TN,Crockett County,36.23
37306,Belvidere,TN,Franklin County,43.31
38315,Bethel Springs,TN,Mcnairy County,63.0
37022,Bethpage,TN,Sumner County,42.0
38221,Big Sandy,TN,Benton County,63.0
37308,Birchwood,TN,Hamilton County,68.75
38007,Bogota,TN,Dyer County,63.0
38008,Bolivar,TN,Hardeman County,63.0
37025,Bon Aqua,TN,Hickman County,49.0
38010,Braden,TN,Fayette County,32.9
38316,Bradford,TN,Gibson County,63.0
37026,Bradyville,TN,Cannon County,43.31
37024,Brentwood,TN,Williamson County,49.0
37027,Brentwood,TN,Williamson County,49.0
38011,Brighton,TN,Tipton County,32.9
38012,Brownsville,TN,Haywood County,32.9
38317,Bruceton,TN,Carroll County,63.0
38014,Brunswick,TN,Shelby County,63.0
38222,Buchanan,TN,Henry County,63.0
38318,Buena Vista,TN,Carroll County,63.0
38015,Burlison,TN,Tipton County,32.9
37029,Burns,TN,Dickson County,42.0
38320,Camden,TN,Benton County,63.0
37030,Carthage,TN,Smith County,42.0
37031,Castalian Springs,TN,Sumner County,42.0
38321,Cedar Grove,TN,Carroll County,63.0
37032,Cedar Hill,TN,Robertson County,42.0
37034,Chapel Hill,TN,Marshall County,43.31
37035,Chapmansboro,TN,Cheatham County,42.0
37310,Charleston,TN,Bradley County,68.75
37036,Charlotte,TN,Dickson County,42.0
