zip,city,state,county,payout
84004,Alpine,UT,Utah County,78.75
84003,American Fork,UT,Utah County,78.75
84301,Bear River City,UT,Box Elder County,49.5
84006,Bingham Canyon,UT,Salt Lake County,78.75
84010,Bountiful,UT,Davis County,78.75
84011,Bountiful,UT,Davis County,78.75
84302,Brigham City,UT,Box Elder County,56.7
84013,Cedar Valley,UT,Utah County,78.75
84014,Centerville,UT,Davis County,78.75
84623,Chester,UT,Sanpete County,38.5
84305,Clarkston,UT,Cache County,49.5
84015,Clearfield,UT,Davis County,78.75
84016,Clearfield,UT,Davis County,78.75
84089,Clearfield,UT,Davis County,78.75
84017,Coalville,UT,Summit County,78.75
84306,Collinston,UT,Box Elder County,34.3
84307,Corinne,UT,Box Elder County,49.5
84308,Cornish,UT,Cache County,49.5
84018,Croydon,UT,Morgan County,34.3
84783,Dammeron Valley,UT,Washington County,37.13
84309,Deweyville,UT,Box Elder County,49.5
84020,Draper,UT,Salt Lake County,78.75
84021,Duchesne,UT,Duchesne County,38.5
84022,Dugway,UT,Tooele County,78.75
84005,Eagle Mountain,UT,Utah County,78.75
84024,Echo,UT,Summit County,78.75
84310,Eden,UT,Weber County,78.75
84626,Elberta,UT,Utah County,78.75
84627,Ephraim,UT,Sanpete County,38.5
84628,Eureka,UT,Juab County,38.5
84629,Fairview,UT,Sanpete County,38.5
84025,Farmington,UT,Davis County,78.75
84027,Fruitland,UT,Duchesne County,38.5
84312,Garland,UT,Box Elder County,49.5
84633,Goshen,UT,Utah County,78.75
84029,Grantsville,UT,Tooele County,78.75
84525,Green River,UT,Emery County,63.0
84031,Hanna,UT,Duchesne County,38.5
84032,Heber City,UT,Wasatch County,63.0
84526,Helper,UT,Carbon County,38.5
84033,Henefer,UT,Summit County,78.75
84096,Herriman,UT,Salt Lake County,78.75
84784,Hildale,UT,Washington County,37.13
84056,Hill Afb,UT,Davis County,78.75
84314,Honeyville,UT,Box Elder County,49.5
84315,Hooper,UT,Weber County,78.75
84317,Huntsville,UT,Weber County,78.75
84737,Hurricane,UT,Washington County,37.13
84318,Hyde Park,UT,Cache County,49.5
84319,Hyrum,UT,Cache County,49.5
84034,Ibapah,UT,Tooele County,78.75
84738,Ivins,UT,Washington County,37.13
84036,Kamas,UT,Summit County,78.75
84037,Kaysville,UT,Davis County,78.75
84745,La Verkin,UT,Washington County,37.13
84040,Layton,UT,Davis County,78.75
84041,Layton,UT,Davis County,78.75
84746,Leeds,UT,Washington County,37.13
84043,Lehi,UT,Utah County,78.75
84320,Lewiston,UT,Cache County,49.5
84042,Lindon,UT,Utah County,78.75
84321,Logan,UT,Cache County,56.7
84323,Logan,UT,Cache County,56.7
84341,Logan,UT,Cache County,49.5
84044,Magna,UT,Salt Lake County,78.75
84642,Manti,UT,Sanpete County,38.5
84324,Mantua,UT,Box Elder County,49.5
84664,Mapleton,UT,Utah County,78.75
84325,Mendon,UT,Cache County,49.5
84047,Midvale,UT,Salt Lake County,78.75
84049,Midway,UT,Wasatch County,77.0
84326,Millville,UT,Cache County,49.5
84050,Morgan,UT,Morgan County,77.0
84646,Moroni,UT,Sanpete County,38.5
84755,Mount Carmel,UT,Kane County,37.13
84647,Mount Pleasant,UT,Sanpete County,38.5
84648,Nephi,UT,Juab County,38.5
84757,New Harmony,UT,Washington County,37.13
84327,Newton,UT,Cache County,49.5
84054,North Salt Lake,UT,Davis County,78.75
84055,Oakley,UT,Summit County,78.75
84201,Ogden,UT,Weber County,78.75
84244,Ogden,UT,Weber County,78.75
84401,Ogden,UT,Weber County,78.75
84402,Ogden,UT,Weber County,78.75
84403,Ogden,UT,Weber County,78.75
84404,Ogden,UT,Weber County,78.75
84405,Ogden,UT,Weber County,78.75
84407,Ogden,UT,Weber County,78.75
