zip,city,state,county,payout
53103,Big Bend,WI,Waukesha County,36.75
53104,Bristol,WI,Kenosha County,45.5
53005,Brookfield,WI,Waukesha County,36.75
53008,Brookfield,WI,Waukesha County,35.75
53045,Brookfield,WI,Waukesha County,36.75
53105,Burlington,WI,Racine County,36.75
53007,Butler,WI,Waukesha County,36.75
53108,Caledonia,WI,Racine County,36.75
53110,Cudahy,WI,Milwaukee County,36.75
53122,Elm Grove,WI,Waukesha County,36.75
53125,Fontana,WI,Walworth County,36.75
53132,Franklin,WI,Milwaukee County,36.75
53126,Franksville,WI,Racine County,36.75
53127,Genesee Depot,WI,Waukesha County,36.75
53128,Genoa City,WI,Walworth County,36.75
53129,Greendale,WI,Milwaukee County,36.75
53130,Hales Corners,WI,Milwaukee County,36.75
53139,Kansasville,WI,Racine County,36.75
53140,Kenosha,WI,Kenosha County,36.75
53142,Kenosha,WI,Kenosha County,45.5
53143,Kenosha,WI,Kenosha County,45.5
53144,Kenosha,WI,Kenosha County,36.75
53147,Lake Geneva,WI,Walworth County,36.75
53046,Lannon,WI,Waukesha County,36.75
53052,Menomonee Falls,WI,Waukesha County,36.75
53201,Milwaukee,WI,Milwaukee County,36.75
53202,Milwaukee,WI,Milwaukee County,36.75
53203,Milwaukee,WI,Milwaukee County,36.75
53204,Milwaukee,WI,Milwaukee County,36.75
53207,Milwaukee,WI,Milwaukee County,36.75
53211,Milwaukee,WI,Milwaukee County,48.83
53212,Milwaukee,WI,Milwaukee County,36.75
53213,Milwaukee,WI,Milwaukee County,36.75
53214,Milwaukee,WI,Milwaukee County,36.75
53215,Milwaukee,WI,Milwaukee County,36.75
53217,Milwaukee,WI,Milwaukee County,36.75
53219,Milwaukee,WI,Milwaukee County,36.75
53220,Milwaukee,WI,Milwaukee County,36.75
53221,Milwaukee,WI,Milwaukee County,40.95
53226,Milwaukee,WI,Milwaukee County,36.75
53227,Milwaukee,WI,Milwaukee County,36.75
53228,Milwaukee,WI,Milwaukee County,36.75
53259,Milwaukee,WI,Milwaukee County,35.75
53290,Milwaukee,WI,Milwaukee County,35.75
53295,Milwaukee,WI,Milwaukee County,36.75
53149,Mukwonago,WI,Waukesha County,36.75
53150,Muskego,WI,Waukesha County,36.75
53146,New Berlin,WI,Waukesha County,36.75
53151,New Berlin,WI,Waukesha County,36.75
53154,Oak Creek,WI,Milwaukee County,36.75
53158,Pleasant Prairie,WI,Kenosha County,45.5
53402,Racine,WI,Racine County,36.75
53403,Racine,WI,Racine County,36.75
53405,Racine,WI,Racine County,36.75
53406,Racine,WI,Racine County,36.75
53407,Racine,WI,Racine County,36.75
53167,Rochester,WI,Racine County,36.75
53235,Saint Francis,WI,Milwaukee County,36.75
53168,Salem,WI,Kenosha County,45.5
53170,Silver Lake,WI,Kenosha County,36.75
53172,South Milwaukee,WI,Milwaukee County,36.75
53177,Sturtevant,WI,Racine County,36.75
53179,Trevor,WI,Kenosha County,45.5
53181,Twin Lakes,WI,Kenosha County,45.5
53182,Union Grove,WI,Racine County,36.75
53185,Waterford,WI,Racine County,36.75
53186,Waukesha,WI,Waukesha County,36.75
53187,Waukesha,WI,Waukesha County,35.75
53188,Waukesha,WI,Waukesha County,36.75
53189,Waukesha,WI,Waukesha County,36.75
53191,Williams Bay,WI,Walworth County,36.75
53195,Zenda,WI,Walworth County,36.75
