zip,city,state,county,payout
32701,Altamonte Springs,FL,Seminole County,34.0
32714,Altamonte Springs,FL,Seminole County,34.0
33920,Alva,FL,Lee County,55.5
34216,Anna Maria,FL,Manatee County,122.5
33572,Apollo Beach,FL,Hillsborough County,34.0
32703,Apopka,FL,Orange County,34.0
32712,Apopka,FL,Orange County,34.0
33503,Balm,FL,Hillsborough County,34.0
33744,Bay Pines,FL,Pinellas County,34.0
33786,Belleair Beach,FL,Pinellas County,127.0
33922,Bokeelia,FL,Lee County,55.5
34134,Bonita Springs,FL,Lee County,55.5
34135,Bonita Springs,FL,Lee County,55.5
34201,Bradenton,FL,Manatee County,122.5
34202,Bradenton,FL,Manatee County,122.5
34203,Bradenton,FL,Manatee County,122.5
34204,Bradenton,FL,Manatee County,122.5
34205,Bradenton,FL,Manatee County,122.5
34206,Bradenton,FL,Manatee County,122.5
34207,Bradenton,FL,Manatee County,122.5
34208,Bradenton,FL,Manatee County,122.5
34209,Bradenton,FL,Manatee County,122.5
34210,Bradenton,FL,Manatee County,122.5
34211,Bradenton,FL,Manatee County,122.5
34212,Bradenton,FL,Manatee County,122.5
34280,Bradenton,FL,Manatee County,122.5
34281,Bradenton,FL,Manatee County,122.5
34282,Bradenton,FL,Manatee County,122.5
34217,Bradenton Beach,FL,Manatee County,122.5
33510,Brandon,FL,Hillsborough County,34.0
33511,Brandon,FL,Hillsborough County,34.0
33904,Cape Coral,FL,Lee County,55.5
33909,Cape Coral,FL,Lee County,55.5
33914,Cape Coral,FL,Lee County,55.5
33990,Cape Coral,FL,Lee County,55.5
33991,Cape Coral,FL,Lee County,55.5
33993,Cape Coral,FL,Lee County,55.5
32707,Casselberry,FL,Seminole County,34.0
32730,Casselberry,FL,Seminole County,34.0
32709,Christmas,FL,Orange County,34.0
33755,Clearwater,FL,Pinellas County,34.0
33756,Clearwater,FL,Pinellas County,34.0
33759,Clearwater,FL,Pinellas County,34.0
33760,Clearwater,FL,Pinellas County,34.0
33761,Clearwater,FL,Pinellas County,34.0
33762,Clearwater,FL,Pinellas County,34.0
33763,Clearwater,FL,Pinellas County,34.0
33764,Clearwater,FL,Pinellas County,34.0
33765,Clearwater,FL,Pinellas County,34.0
33767,Clearwater Beach,FL,Pinellas County,127.0
34215,Cortez,FL,Manatee County,122.5
34681,Crystal Beach,FL,Pinellas County,34.0
33527,Dover,FL,Hillsborough County,34.0
34698,Dunedin,FL,Pinellas County,34.0
34222,Ellenton,FL,Manatee County,122.5
34223,Englewood,FL,Sarasota County,122.5
34224,Englewood,FL,Charlotte County,122.5
34295,Englewood,FL,Sarasota County,122.5
33928,Estero,FL,Lee County,55.5
33901,Fort Myers,FL,Lee County,55.5
33905,Fort Myers,FL,Lee County,55.5
33907,Fort Myers,FL,Lee County,55.5
33908,Fort Myers,FL,Lee County,55.5
33912,Fort Myers,FL,Lee County,55.5
33913,Fort Myers,FL,Lee County,55.5
33916,Fort Myers,FL,Lee County,55.5
33919,Fort Myers,FL,Lee County,55.5
33966,Fort Myers,FL,Lee County,55.5
33967,Fort Myers,FL,Lee County,55.5
33931,Fort Myers Beach,FL,Lee County,55.5
33534,Gibsonton,FL,Hillsborough County,34.0
34734,Gotha,FL,Orange County,34.0
34691,Holiday,FL,Pasco County,122.5
34218,Holmes Beach,FL,Manatee County,122.5
34142,Immokalee,FL,Collier County,55.5
33785,Indian Rocks Beach,FL,Pinellas County,34.0
32746,Lake Mary,FL,Seminole County,34.0
33770,Largo,FL,Pinellas County,34.0
33771,Largo,FL,Pinellas County,34.0
33773,Largo,FL,Pinellas County,34.0
33774,Largo,FL,Pinellas County,34.0
33778,Largo,FL,Pinellas County,34.0
34272,Laurel,FL,Sarasota County,122.5
33971,Lehigh Acres,FL,Lee County,55.5
33547,Lithia,FL,Hillsborough County,34.0
34228,Longboat Key,FL,Sarasota County,122.5
32750,Longwood,FL,Seminole County,34.0
32779,Longwood,FL,Seminole County,34.0
33548,Lutz,FL,Hillsborough County,34.0
33549,Lutz,FL,Hillsborough County,34.0
33558,Lutz,FL,Hillsborough County,34.0
33559,Lutz,FL,Hillsborough County,34.0
32751,Maitland,FL,Orange County,34.0
34145,Marco Island,FL,Collier County,55.5
34251,Myakka City,FL,Manatee County,122.5
34102,Naples,FL,Collier County,55.5
34103,Naples,FL,Collier County,55.5
34104,Naples,FL,Collier County,55.5
34105,Naples,FL,Collier County,55.5
34108,Naples,FL,Collier County,55.5
34109,Naples,FL,Collier County,55.5
34110,Naples,FL,Collier County,55.5
34112,Naples,FL,Collier County,55.5
34113,Naples,FL,Collier County,55.5
34114,Naples,FL,Collier County,55.5
34116,Naples,FL,Collier County,55.5
34117,Naples,FL,Collier County,55.5
34119,Naples,FL,Collier County,55.5
34120,Naples,FL,Collier County,55.5
34274,Nokomis,FL,Sarasota County,122.5
34275,Nokomis,FL,Sarasota County,122.5
33903,North Fort Myers,FL,Lee County,55.5
33917,North Fort Myers,FL,Lee County,55.5
34286,North Port,FL,Sarasota County,122.5
34287,North Port,FL,Sarasota County,122.5
34288,North Port,FL,Sarasota County,122.5
34289,North Port,FL,Sarasota County,122.5
34290,North Port,FL,Sarasota County,122.5
34291,North Port,FL,Sarasota County,122.5
34761,Ocoee,FL,Orange County,34.0
33556,Odessa,FL,Hillsborough County,34.0
34677,Oldsmar,FL,Pinellas County,34.0
34264,Oneco,FL,Manatee County,122.5
32801,Orlando,FL,Orange County,34.0
32803,Orlando,FL,Orange County,34.0
32804,Orlando,FL,Orange County,34.0
32805,Orlando,FL,Orange County,34.0
32806,Orlando,FL,Orange County,34.0
32807,Orlando,FL,Orange County,34.0
32808,Orlando,FL,Orange County,34.0
32809,Orlando,FL,Orange County,34.0
32810,Orlando,FL,Orange County,34.0
32811,Orlando,FL,Orange County,34.0
32812,Orlando,FL,Orange County,34.0
32814,Orlando,FL,Orange County,34.0
32816,Orlando,FL,Orange County,34.0
32817,Orlando,FL,Orange County,34.0
32818,Orlando,FL,Orange County,34.0
32819,Orlando,FL,Orange County,34.0
32820,Orlando,FL,Orange County,34.0
32821,Orlando,FL,Orange County,34.0
32822,Orlando,FL,Orange County,34.0
32824,Orlando,FL,Orange County,34.0
32825,Orlando,FL,Orange County,34.0
32826,Orlando,FL,Orange County,34.0
32827,Orlando,FL,Orange County,34.0
32828,Orlando,FL,Orange County,34.0
32829,Orlando,FL,Orange County,34.0
32830,Orlando,FL,Orange County,34.0
32831,Orlando,FL,Orange County,34.0
32832,Orlando,FL,Orange County,34.0
32833,Orlando,FL,Orange County,34.0
32835,Orlando,FL,Orange County,34.0
32836,Orlando,FL,Orange County,34.0
32837,Orlando,FL,Orange County,34.0
32839,Orlando,FL,Orange County,34.0
34229,Osprey,FL,Sarasota County,122.5
32765,Oviedo,FL,Seminole County,34.0
32766,Oviedo,FL,Seminole County,34.0
34683,Palm Harbor,FL,Pinellas County,34.0
34684,Palm Harbor,FL,Pinellas County,34.0
34685,Palm Harbor,FL,Pinellas County,34.0
34220,Palmetto,FL,Manatee County,122.5
34221,Palmetto,FL,Manatee County,122.5
34219,Parrish,FL,Manatee County,122.5
33781,Pinellas Park,FL,Pinellas County,34.0
33782,Pinellas Park,FL,Pinellas County,34.0
33563,Plant City,FL,Hillsborough County,34.0
33565,Plant City,FL,Hillsborough County,34.0
33566,Plant City,FL,Hillsborough County,34.0
33567,Plant City,FL,Hillsborough County,34.0
33569,Riverview,FL,Hillsborough County,34.0
33578,Riverview,FL,Hillsborough County,34.0
33579,Riverview,FL,Hillsborough County,34.0
33570,Ruskin,FL,Hillsborough County,122.5
34695,Safety Harbor,FL,Pinellas County,34.0
33956,Saint James City,FL,Lee County,55.5
33701,Saint Petersburg,FL,Pinellas County,127.0
33702,Saint Petersburg,FL,Pinellas County,34.0
33703,Saint Petersburg,FL,Pinellas County,127.0
33704,Saint Petersburg,FL,Pinellas County,127.0
33705,Saint Petersburg,FL,Pinellas County,34.0
33706,Saint Petersburg,FL,Pinellas County,127.0
33707,Saint Petersburg,FL,Pinellas County,34.0
33708,Saint Petersburg,FL,Pinellas County,127.0
33709,Saint Petersburg,FL,Pinellas County,34.0
33710,Saint Petersburg,FL,Pinellas County,34.0
33711,Saint Petersburg,FL,Pinellas County,34.0
33712,Saint Petersburg,FL,Pinellas County,34.0
33713,Saint Petersburg,FL,Pinellas County,34.0
33714,Saint Petersburg,FL,Pinellas County,34.0
33715,Saint Petersburg,FL,Pinellas County,127.0
33716,Saint Petersburg,FL,Pinellas County,34.0
33729,Saint Petersburg,FL,Pinellas County,34.0
32771,Sanford,FL,Seminole County,34.0
32773,Sanford,FL,Seminole County,34.0
33957,Sanibel,FL,Lee County,55.5
34230,Sarasota,FL,Sarasota County,122.5
34231,Sarasota,FL,Sarasota County,122.5
34232,Sarasota,FL,Sarasota County,122.5
34233,Sarasota,FL,Sarasota County,122.5
34234,Sarasota,FL,Sarasota County,122.5
34235,Sarasota,FL,Sarasota County,122.5
34236,Sarasota,FL,Sarasota County,122.5
34237,Sarasota,FL,Sarasota County,122.5
34238,Sarasota,FL,Sarasota County,122.5
34239,Sarasota,FL,Sarasota County,122.5
34240,Sarasota,FL,Sarasota County,122.5
34241,Sarasota,FL,Sarasota County,122.5
34242,Sarasota,FL,Sarasota County,122.5
34243,Sarasota,FL,Manatee County,122.5
34260,Sarasota,FL,Sarasota County,122.5
34276,Sarasota,FL,Sarasota County,122.5
34277,Sarasota,FL,Sarasota County,122.5
34278,Sarasota,FL,Sarasota County,122.5
33584,Seffner,FL,Hillsborough County,34.0
33772,Seminole,FL,Pinellas County,34.0
33776,Seminole,FL,Pinellas County,34.0
33777,Seminole,FL,Pinellas County,34.0
33586,Sun City,FL,Hillsborough County,34.0
33573,Sun City Center,FL,Hillsborough County,34.0
34270,Tallevast,FL,Manatee County,122.5
33602,Tampa,FL,Hillsborough County,34.0
33603,Tampa,FL,Hillsborough County,34.0
33604,Tampa,FL,Hillsborough County,34.0
33605,Tampa,FL,Hillsborough County,122.5
33606,Tampa,FL,Hillsborough County,122.5
33607,Tampa,FL,Hillsborough County,34.0
33608,Tampa,FL,Hillsborough County,122.5
33609,Tampa,FL,Hillsborough County,122.5
33610,Tampa,FL,Hillsborough County,34.0
33611,Tampa,FL,Hillsborough County,34.0
33612,Tampa,FL,Hillsborough County,34.0
33613,Tampa,FL,Hillsborough County,34.0
33614,Tampa,FL,Hillsborough County,34.0
33615,Tampa,FL,Hillsborough County,34.0
33616,Tampa,FL,Hillsborough County,34.0
33617,Tampa,FL,Hillsborough County,34.0
33618,Tampa,FL,Hillsborough County,34.0
33619,Tampa,FL,Hillsborough County,34.0
33620,Tampa,FL,Hillsborough County,34.0
33621,Tampa,FL,Hillsborough County,34.0
33624,Tampa,FL,Hillsborough County,34.0
33625,Tampa,FL,Hillsborough County,122.5
33626,Tampa,FL,Hillsborough County,34.0
33629,Tampa,FL,Hillsborough County,122.5
33634,Tampa,FL,Hillsborough County,34.0
33635,Tampa,FL,Hillsborough County,34.0
33637,Tampa,FL,Hillsborough County,34.0
33647,Tampa,FL,Hillsborough County,34.0
34688,Tarpon Springs,FL,Pinellas County,34.0
34689,Tarpon Springs,FL,Pinellas County,34.0
34250,Terra Ceia,FL,Manatee County,122.5
33592,Thonotosassa,FL,Hillsborough County,34.0
33594,Valrico,FL,Hillsborough County,34.0
33596,Valrico,FL,Hillsborough County,34.0
34284,Venice,FL,Sarasota County,122.5
34285,Venice,FL,Sarasota County,122.5
34292,Venice,FL,Sarasota County,122.5
34293,Venice,FL,Sarasota County,122.5
33598,Wimauma,FL,Hillsborough County,34.0
34786,Windermere,FL,Orange County,34.0
34787,Winter Garden,FL,Orange County,34.0
32789,Winter Park,FL,Orange County,34.0
32792,Winter Park,FL,Orange County,34.0
32708,Winter Springs,FL,Seminole County,34.0
