zip,city,state,county,payout
75001,Addison,TX,Dallas County,51.5
75002,Allen,TX,Collin County,51.5
75013,Allen,TX,Collin County,51.5
76226,Argyle,TX,Denton County,51.5
78701,Austin,TX,Travis County,51.5
78702,Austin,TX,Travis County,51.5
78703,Austin,TX,Travis County,51.5
78704,Austin,TX,Travis County,51.5
78705,Austin,TX,Travis County,51.5
78712,Austin,TX,Travis County,51.5
78717,Austin,TX,Williamson County,51.5
78721,Austin,TX,Travis County,51.5
78722,Austin,TX,Travis County,51.5
78723,Austin,TX,Travis County,51.5
78726,Austin,TX,Travis County,51.5
78727,Austin,TX,Travis County,51.5
78728,Austin,TX,Travis County,51.5
78729,Austin,TX,Williamson County,51.5
78730,Austin,TX,Travis County,51.5
78731,Austin,TX,Travis County,51.5
78732,Austin,TX,Travis County,51.5
78733,Austin,TX,Travis County,51.5
78734,Austin,TX,Travis County,51.5
78735,Austin,TX,Travis County,51.5
78736,Austin,TX,Travis County,51.5
78737,Austin,TX,Hays County,51.5
78738,Austin,TX,Travis County,51.5
78739,Austin,TX,Travis County,51.5
78741,Austin,TX,Travis County,51.5
78745,Austin,TX,Travis County,51.5
78746,Austin,TX,Travis County,51.5
78748,Austin,TX,Travis County,51.5
78749,Austin,TX,Travis County,51.5
78750,Austin,TX,Travis County,51.5
78751,Austin,TX,Travis County,51.5
78752,Austin,TX,Travis County,51.5
78753,Austin,TX,Travis County,51.5
78756,Austin,TX,Travis County,51.5
78757,Austin,TX,Travis County,51.5
78758,Austin,TX,Travis County,51.5
78759,Austin,TX,Travis County,51.5
76021,Bedford,TX,Tarrant County,51.5
76022,Bedford,TX,Tarrant County,51.5
77401,Bellaire,TX,Harris County,48.5
75006,Carrollton,TX,Dallas County,51.5
75007,Carrollton,TX,Denton County,51.5
75010,Carrollton,TX,Denton County,51.5
78613,Cedar Park,TX,Williamson County,51.5
76034,Colleyville,TX,Tarrant County,51.5
77384,Conroe,TX,Montgomery County,48.5
77385,Conroe,TX,Montgomery County,48.5
75019,Coppell,TX,Dallas County,51.5
77429,Cypress,TX,Harris County,48.5
77433,Cypress,TX,Harris County,48.5
75201,Dallas,TX,Dallas County,51.5
75202,Dallas,TX,Dallas County,51.5
75204,Dallas,TX,Dallas County,51.5
75205,Dallas,TX,Dallas County,51.5
75206,Dallas,TX,Dallas County,51.5
75209,Dallas,TX,Dallas County,51.5
75214,Dallas,TX,Dallas County,51.5
75218,Dallas,TX,Dallas County,51.5
75219,Dallas,TX,Dallas County,51.5
75220,Dallas,TX,Dallas County,51.5
75223,Dallas,TX,Dallas County,51.5
75225,Dallas,TX,Dallas County,51.5
75228,Dallas,TX,Dallas County,51.5
75229,Dallas,TX,Dallas County,51.5
75230,Dallas,TX,Dallas County,51.5
75231,Dallas,TX,Dallas County,51.5
75234,Dallas,TX,Dallas County,51.5
75235,Dallas,TX,Dallas County,51.5
75238,Dallas,TX,Dallas County,51.5
75240,Dallas,TX,Dallas County,51.5
75242,Dallas,TX,Dallas County,51.5
75243,Dallas,TX,Dallas County,51.5
