zip,city,state,county,payout
32233,Atlantic Beach,FL,Duval County,34.0
32003,Fleming Island,FL,Clay County,34.0
32043,Green Cove Springs,FL,Clay County,34.0
32202,Jacksonville,FL,Duval County,34.0
32204,Jacksonville,FL,Duval County,34.0
32205,Jacksonville,FL,Duval County,34.0
32206,Jacksonville,FL,Duval County,34.0
32207,Jacksonville,FL,Duval County,34.0
32208,Jacksonville,FL,Duval County,34.0
32209,Jacksonville,FL,Duval County,34.0
32210,Jacksonville,FL,Duval County,34.0
32211,Jacksonville,FL,Duval County,34.0
32212,Jacksonville,FL,Duval County,34.0
32214,Jacksonville,FL,Duval County,34.0
32216,Jacksonville,FL,Duval County,34.0
32217,Jacksonville,FL,Duval County,34.0
32218,Jacksonville,FL,Duval County,34.0
32219,Jacksonville,FL,Duval County,34.0
32220,Jacksonville,FL,Duval County,34.0
32221,Jacksonville,FL,Duval County,34.0
32222,Jacksonville,FL,Duval County,34.0
32223,Jacksonville,FL,Duval County,34.0
32224,Jacksonville,FL,Duval County,34.0
32225,Jacksonville,FL,Duval County,34.0
32226,Jacksonville,FL,Duval County,34.0
32227,Jacksonville,FL,Duval County,34.0
32228,Jacksonville,FL,Duval County,34.0
32244,Jacksonville,FL,Duval County,34.0
32246,Jacksonville,FL,Duval County,34.0
32254,Jacksonville,FL,Duval County,34.0
32256,Jacksonville,FL,Duval County,34.0
32257,Jacksonville,FL,Duval County,34.0
32258,Jacksonville,FL,Duval County,34.0
32277,Jacksonville,FL,Duval County,34.0
32250,Jacksonville Beach,FL,Duval County,34.0
32068,Middleburg,FL,Clay County,34.0
32266,Neptune Beach,FL,Duval County,34.0
32065,Orange Park,FL,Clay County,34.0
32073,Orange Park,FL,Clay County,34.0
32079,Penney Farms,FL,Clay County,34.0
32082,Ponte Vedra Beach,FL,St. Johns County,34.0
32086,Saint Augustine,FL,St. Johns County,34.0
32092,Saint Augustine,FL,St. Johns County,34.0
32259,Saint Johns,FL,St. Johns County,34.0
