zip,city,state,county,payout
75001,Addison,TX,Dallas County,42.0
75002,Allen,TX,Collin County,42.0
75013,Allen,TX,Collin County,42.0
76226,Argyle,TX,Denton County,33.0
76021,Bedford,TX,Tarrant County,42.0
76022,Bedford,TX,Tarrant County,42.0
75006,Carrollton,TX,Dallas County,42.0
75007,Carrollton,TX,Denton County,42.0
75010,Carrollton,TX,Denton County,42.0
76034,Colleyville,TX,Tarrant County,42.0
75019,Coppell,TX,Dallas County,42.0
77433,Cypress,TX,Harris County,33.5
75201,Dallas,TX,Dallas County,42.0
75202,Dallas,TX,Dallas County,42.0
75204,Dallas,TX,Dallas County,42.0
75205,Dallas,TX,Dallas County,42.0
75206,Dallas,TX,Dallas County,42.0
75209,Dallas,TX,Dallas County,42.0
75214,Dallas,TX,Dallas County,42.0
75218,Dallas,TX,Dallas County,42.0
75219,Dallas,TX,Dallas County,42.0
75220,Dallas,TX,Dallas County,42.0
75223,Dallas,TX,Dallas County,42.0
75225,Dallas,TX,Dallas County,42.0
75228,Dallas,TX,Dallas County,42.0
75229,Dallas,TX,Dallas County,42.0
75230,Dallas,TX,Dallas County,42.0
75231,Dallas,TX,Dallas County,42.0
75234,Dallas,TX,Dallas County,42.0
75235,Dallas,TX,Dallas County,42.0
75238,Dallas,TX,Dallas County,42.0
75240,Dallas,TX,Dallas County,42.0
75242,Dallas,TX,Dallas County,42.0
75243,Dallas,TX,Dallas County,42.0
75244,Dallas,TX,Dallas County,42.0
75246,Dallas,TX,Dallas County,42.0
75248,Dallas,TX,Dallas County,42.0
75251,Dallas,TX,Dallas County,42.0
75252,Dallas,TX,Collin County,42.0
75254,Dallas,TX,Dallas County,42.0
75261,Dallas,TX,Tarrant County,42.0
75270,Dallas,TX,Dallas County,42.0
75275,Dallas,TX,Dallas County,42.0
75287,Dallas,TX,Denton County,42.0
75367,Dallas,TX,Dallas County,42.0
75390,Dallas,TX,Dallas County,42.0
76210,Denton,TX,Denton County,33.0
76039,Euless,TX,Tarrant County,42.0
76040,Euless,TX,Tarrant County,42.0
75022,Flower Mound,TX,Denton County,33.0
75028,Flower Mound,TX,Denton County,33.0
76118,Fort Worth,TX,Tarrant County,42.0
76148,Fort Worth,TX,Tarrant County,42.0
76155,Fort Worth,TX,Tarrant County,42.0
75033,Frisco,TX,Denton County,42.0
75034,Frisco,TX,Collin County,42.0
75035,Frisco,TX,Collin County,42.0
76051,Grapevine,TX,Tarrant County,42.0
76117,Haltom City,TX,Tarrant County,42.0
77024,Houston,TX,Harris County,33.5
77041,Houston,TX,Harris County,33.5
77042,Houston,TX,Harris County,33.5
77043,Houston,TX,Harris County,33.5
77055,Houston,TX,Harris County,33.5
77057,Houston,TX,Harris County,33.5
77063,Houston,TX,Harris County,33.5
77077,Houston,TX,Harris County,33.5
77079,Houston,TX,Harris County,33.5
77080,Houston,TX,Harris County,33.5
77082,Houston,TX,Harris County,33.5
77084,Houston,TX,Harris County,33.5
77094,Houston,TX,Harris County,33.5
77095,Houston,TX,Harris County,33.5
76053,Hurst,TX,Tarrant County,42.0
76054,Hurst,TX,Tarrant County,42.0
75038,Irving,TX,Dallas County,42.0
75039,Irving,TX,Dallas County,42.0
75060,Irving,TX,Dallas County,42.0
75061,Irving,TX,Dallas County,42.0
75062,Irving,TX,Dallas County,42.0
75063,Irving,TX,Dallas County,42.0
77449,Katy,TX,Harris County,33.5
77450,Katy,TX,Harris County,33.5
77493,Katy,TX,Harris County,33.5
77494,Katy,TX,Fort Bend County,33.5
76244,Keller,TX,Tarrant County,42.0
76248,Keller,TX,Tarrant County,42.0
75065,Lake Dallas,TX,Denton County,33.0
75057,Lewisville,TX,Denton County,33.0
75067,Lewisville,TX,Denton County,33.0
75077,Lewisville,TX,Denton County,33.0
75069,Mckinney,TX,Collin County,42.0
75070,Mckinney,TX,Collin County,42.0
75071,Mckinney,TX,Collin County,42.0
76180,North Richland Hills,TX,Tarrant County,42.0
76182,North Richland Hills,TX,Tarrant County,42.0
75023,Plano,TX,Collin County,42.0
75024,Plano,TX,Collin County,42.0
75025,Plano,TX,Collin County,42.0
75074,Plano,TX,Collin County,42.0
75075,Plano,TX,Collin County,42.0
75093,Plano,TX,Collin County,42.0
75094,Plano,TX,Collin County,42.0
75078,Prosper,TX,Collin County,42.0
75080,Richardson,TX,Dallas County,42.0
75081,Richardson,TX,Dallas County,42.0
75082,Richardson,TX,Collin County,42.0
75083,Richardson,TX,Dallas County,42.0
76262,Roanoke,TX,Denton County,42.0
76092,Southlake,TX,Tarrant County,42.0
75056,The Colony,TX,Denton County,42.0
