zip,city,state,county,payout
72001,Adona,AR,Perry County,64.0
72002,Alexander,AR,Saline County,65.5
72007,Austin,AR,Lonoke County,65.5
72010,Bald Knob,AR,White County,65.5
72011,Bauxite,AR,Saline County,65.5
71720,Bearden,AR,Ouachita County,65.5
72013,Bee Branch,AR,Van Buren County,64.0
72012,Beebe,AR,White County,65.5
72015,Benton,AR,Saline County,65.5
72018,Benton,AR,Saline County,65.5
72019,Benton,AR,Saline County,65.5
72158,Benton,AR,Saline County,65.5
72016,Bigelow,AR,Perry County,64.0
72020,Bradford,AR,White County,64.0
72022,Bryant,AR,Saline County,65.5
72089,Bryant,AR,Saline County,65.5
72023,Cabot,AR,Lonoke County,65.5
71724,Calion,AR,Union County,65.5
71701,Camden,AR,Ouachita County,65.5
72024,Carlisle,AR,Lonoke County,65.5
72025,Casa,AR,Perry County,64.0
72027,Center Ridge,AR,Conway County,65.5
71726,Chidester,AR,Ouachita County,65.5
72028,Choctaw,AR,Van Buren County,64.0
72030,Cleveland,AR,Conway County,65.5
72031,Clinton,AR,Van Buren County,64.0
72053,College Station,AR,Pulaski County,88.0
72523,Concord,AR,Cleburne County,65.5
72032,Conway,AR,Faulkner County,64.0
72033,Conway,AR,Faulkner County,64.0
72034,Conway,AR,Faulkner County,64.0
72035,Conway,AR,Faulkner County,64.0
72037,Coy,AR,Lonoke County,65.5
72039,Damascus,AR,Faulkner County,64.0
72629,Dennard,AR,Van Buren County,64.0
72530,Drasco,AR,Cleburne County,65.5
72044,Edgemont,AR,Cleburne County,65.5
71730,El Dorado,AR,Union County,65.5
71731,El Dorado,AR,Union County,65.5
72045,El Paso,AR,White County,65.5
71740,Emerson,AR,Columbia County,64.0
72046,England,AR,Lonoke County,65.5
72047,Enola,AR,Faulkner County,64.0
72088,Fairfield Bay,AR,Van Buren County,64.0
72052,Garner,AR,White County,65.5
72057,Grapevine,AR,Grant County,65.5
72058,Greenbrier,AR,Faulkner County,64.0
72060,Griffithville,AR,White County,65.5
72061,Guy,AR,Faulkner County,64.0
72063,Hattieville,AR,Conway County,65.5
72543,Heber Springs,AR,Cleburne County,65.5
72545,Heber Springs,AR,Cleburne County,65.5
72065,Hensley,AR,Saline County,88.0
72067,Higden,AR,Cleburne County,65.5
72068,Higginson,AR,White County,65.5
71901,Hot Springs National Park,AR,Garland County,64.0
71902,Hot Springs National Park,AR,Garland County,64.0
71903,Hot Springs National Park,AR,Garland County,64.0
71913,Hot Springs National Park,AR,Garland County,64.0
71914,Hot Springs National Park,AR,Garland County,64.0
71909,Hot Springs Village,AR,Garland County,64.0
71910,Hot Springs Village,AR,Saline County,64.0
72070,Houston,AR,Perry County,64.0
72072,Humnoke,AR,Lonoke County,65.5
71747,Huttig,AR,Union County,65.5
72546,Ida,AR,Cleburne County,65.5
72076,Jacksonville,AR,Pulaski County,88.0
72078,Jacksonville,AR,Pulaski County,88.0
72080,Jerusalem,AR,Conway County,65.5
71949,Jessieville,AR,Garland County,64.0
72081,Judsonia,AR,White County,65.5
71749,Junction City,AR,Union County,65.5
72082,Kensett,AR,White County,65.5
72083,Keo,AR,Lonoke County,65.5
71750,Lawson,AR,Union County,65.5
72084,Leola,AR,Grant County,65.5
72085,Letona,AR,White County,65.5
72201,Little Rock,AR,Pulaski County,88.0
72202,Little Rock,AR,Pulaski County,88.0
72203,Little Rock,AR,Pulaski County,88.0
72204,Little Rock,AR,Pulaski County,88.0
72205,Little Rock,AR,Pulaski County,88.0
72206,Little Rock,AR,Pulaski County,88.0
72207,Little Rock,AR,Pulaski County,88.0
72209,Little Rock,AR,Pulaski County,88.0
72210,Little Rock,AR,Pulaski County,88.0
72211,Little Rock,AR,Pulaski County,88.0
72212,Little Rock,AR,Pulaski County,88.0
72214,Little Rock,AR,Pulaski County,88.0
72215,Little Rock,AR,Pulaski County,88.0
72216,Little Rock,AR,Pulaski County,88.0
72217,Little Rock,AR,Pulaski County,88.0
72219,Little Rock,AR,Pulaski County,88.0
72221,Little Rock,AR,Pulaski County,88.0
72222,Little Rock,AR,Pulaski County,88.0
72223,Little Rock,AR,Pulaski County,88.0
72225,Little Rock,AR,Pulaski County,88.0
72227,Little Rock,AR,Pulaski County,88.0
72231,Little Rock,AR,Pulaski County,88.0
72260,Little Rock,AR,Pulaski County,88.0
72295,Little Rock,AR,Pulaski County,88.0
72099,Little Rock Air Force Base,AR,Pulaski County,88.0
72086,Lonoke,AR,Lonoke County,65.5
72087,Lonsdale,AR,Saline County,65.5
71751,Louann,AR,Ouachita County,65.5
72103,Mabelvale,AR,Saline County,88.0
71753,Magnolia,AR,Columbia County,64.0
71754,Magnolia,AR,Columbia County,64.0
72113,Maumelle,AR,Pulaski County,88.0
72106,Mayflower,AR,Faulkner County,64.0
71752,McNeil,AR,Columbia County,64.0
72102,McRae,AR,White County,65.5
72107,Menifee,AR,Conway County,65.5
72110,Morrilton,AR,Conway County,65.5
71758,Mount Holly,AR,Union County,65.5
72111,Mount Vernon,AR,Faulkner County,64.0
71956,Mountain Pine,AR,Garland County,64.0
71759,Norphlet,AR,Union County,65.5
72114,North Little Rock,AR,Pulaski County,88.0
72115,North Little Rock,AR,Pulaski County,88.0
72116,North Little Rock,AR,Pulaski County,88.0
72117,North Little Rock,AR,Pulaski County,88.0
72118,North Little Rock,AR,Pulaski County,88.0
72119,North Little Rock,AR,Pulaski County,88.0
72124,North Little Rock,AR,Pulaski County,88.0
72190,North Little Rock,AR,Pulaski County,88.0
72199,North Little Rock,AR,Pulaski County,88.0
72121,Pangburn,AR,White County,65.5
72122,Paron,AR,Saline County,65.5
71964,Pearcy,AR,Garland County,64.0
72125,Perry,AR,Perry County,64.0
72126,Perryville,AR,Perry County,64.0
72127,Plumerville,AR,Conway County,65.5
72128,Poyen,AR,Grant County,65.5
72129,Prattsville,AR,Grant County,65.5
72130,Prim,AR,Cleburne County,65.5
72131,Quitman,AR,Cleburne County,65.5
72135,Roland,AR,Pulaski County,88.0
72136,Romance,AR,White County,65.5
72137,Rose Bud,AR,White County,65.5
71968,Royal,AR,Garland County,64.0
72139,Russell,AR,White County,65.5
72141,Scotland,AR,Van Buren County,64.0
72142,Scott,AR,Pulaski County,88.0
72143,Searcy,AR,White County,65.5
72145,Searcy,AR,White County,65.5
72149,Searcy,AR,White County,65.5
72150,Sheridan,AR,Grant County,65.5
