zip,city,state,county,payout
06330,Baltic,CT,New London County,65.5
06334,Bozrah,CT,New London County,65.5
06415,Colchester,CT,New London County,65.5
06333,East Lyme,CT,New London County,65.5
06335,Gales Ferry,CT,New London County,65.5
06336,Gilman,CT,New London County,65.5
06340,Groton,CT,New London County,65.5
06349,Groton,CT,New London County,65.5
06439,Hadlyme,CT,New London County,65.5
06350,Hanover,CT,New London County,65.5
06351,Jewett City,CT,New London County,65.5
06249,Lebanon,CT,New London County,65.5
06339,Ledyard,CT,New London County,65.5
06338,Mashantucket,CT,New London County,65.5
06353,Montville,CT,New London County,65.5
06355,Mystic,CT,New London County,65.5
06320,New London,CT,New London County,65.5
06357,Niantic,CT,New London County,65.5
06254,North Franklin,CT,New London County,65.5
06359,North Stonington,CT,New London County,65.5
06474,North Westchester,CT,New London County,65.5
06360,Norwich,CT,New London County,65.5
06370,Oakdale,CT,New London County,65.5
06371,Old Lyme,CT,New London County,65.5
06372,Old Mystic,CT,New London County,65.5
06379,Pawcatuck,CT,New London County,65.5
06365,Preston,CT,New London County,65.5
06375,Quaker Hill,CT,New London County,65.5
06420,Salem,CT,New London County,65.5
06376,South Lyme,CT,New London County,65.5
06378,Stonington,CT,New London County,65.5
06380,Taftville,CT,New London County,65.5
06382,Uncasville,CT,New London County,65.5
06383,Versailles,CT,New London County,65.5
06384,Voluntown,CT,New London County,65.5
06385,Waterford,CT,New London County,65.5
06388,West Mystic,CT,New London County,65.5
06389,Yantic,CT,New London County,65.5
