zip,city,state,county,payout
70420,Abita Springs,LA,St. Tammany County,65.5
70711,Albany,LA,Livingston County,64.0
70704,Baker,LA,East. Baton Rouge County,88.0
70714,Baker,LA,East. Baton Rouge County,88.0
70801,Baton Rouge,LA,East. Baton Rouge County,88.0
70802,Baton Rouge,LA,East. Baton Rouge County,88.0
70803,Baton Rouge,LA,East. Baton Rouge County,88.0
70804,Baton Rouge,LA,East. Baton Rouge County,88.0
70805,Baton Rouge,LA,East. Baton Rouge County,88.0
70806,Baton Rouge,LA,East. Baton Rouge County,88.0
70807,Baton Rouge,LA,East. Baton Rouge County,88.0
70808,Baton Rouge,LA,East. Baton Rouge County,88.0
70809,Baton Rouge,LA,East. Baton Rouge County,88.0
70810,Baton Rouge,LA,East. Baton Rouge County,88.0
70811,Baton Rouge,LA,East. Baton Rouge County,88.0
70812,Baton Rouge,LA,East. Baton Rouge County,88.0
70813,Baton Rouge,LA,East. Baton Rouge County,88.0
70814,Baton Rouge,LA,East. Baton Rouge County,88.0
70815,Baton Rouge,LA,East. Baton Rouge County,88.0
70816,Baton Rouge,LA,East. Baton Rouge County,88.0
70817,Baton Rouge,LA,East. Baton Rouge County,88.0
70818,Baton Rouge,LA,East. Baton Rouge County,88.0
70819,Baton Rouge,LA,East. Baton Rouge County,88.0
70820,Baton Rouge,LA,East. Baton Rouge County,88.0
70821,Baton Rouge,LA,East. Baton Rouge County,88.0
70822,Baton Rouge,LA,East. Baton Rouge County,88.0
70823,Baton Rouge,LA,East. Baton Rouge County,88.0
70825,Baton Rouge,LA,East. Baton Rouge County,88.0
70826,Baton Rouge,LA,East. Baton Rouge County,88.0
70827,Baton Rouge,LA,East. Baton Rouge County,88.0
70831,Baton Rouge,LA,East. Baton Rouge County,88.0
70833,Baton Rouge,LA,East. Baton Rouge County,88.0
70835,Baton Rouge,LA,East. Baton Rouge County,88.0
70836,Baton Rouge,LA,East. Baton Rouge County,88.0
70837,Baton Rouge,LA,East. Baton Rouge County,88.0
70873,Baton Rouge,LA,East. Baton Rouge County,88.0
70874,Baton Rouge,LA,East. Baton Rouge County,88.0
70879,Baton Rouge,LA,East. Baton Rouge County,88.0
70884,Baton Rouge,LA,East. Baton Rouge County,88.0
70891,Baton Rouge,LA,East. Baton Rouge County,88.0
70892,Baton Rouge,LA,East. Baton Rouge County,88.0
70893,Baton Rouge,LA,East. Baton Rouge County,88.0
70894,Baton Rouge,LA,East. Baton Rouge County,88.0
70895,Baton Rouge,LA,East. Baton Rouge County,88.0
70896,Baton Rouge,LA,East. Baton Rouge County,88.0
70898,Baton Rouge,LA,East. Baton Rouge County,88.0
71004,Belcher,LA,Caddo County,64.0
71007,Bethany,LA,Caddo County,64.0
71009,Blanchard,LA,Caddo County,64.0
70431,Bush,LA,St. Tammany County,65.5
70433,Covington,LA,St. Tammany County,65.5
70434,Covington,LA,St. Tammany County,65.5
70435,Covington,LA,St. Tammany County,65.5
70706,Denham Springs,LA,Livingston County,64.0
70726,Denham Springs,LA,Livingston County,64.0
70727,Denham Springs,LA,Livingston County,64.0
70437,Folsom,LA,St. Tammany County,65.5
70733,French Settlement,LA,Livingston County,64.0
71027,Frierson,LA,De Soto County,64.0
71029,Gilliam,LA,Caddo County,64.0
71030,Gloster,LA,De Soto County,64.0
71032,Grand Cane,LA,De Soto County,64.0
70739,Greenwell Springs,LA,East. Baton Rouge County,88.0
71033,Greenwood,LA,Caddo County,64.0
70744,Holden,LA,Livingston County,64.0
71043,Hosston,LA,Caddo County,64.0
71044,Ida,LA,Caddo County,64.0
71046,Keatchie,LA,De Soto County,64.0
71047,Keithville,LA,Caddo County,64.0
70445,Lacombe,LA,St. Tammany County,65.5
70754,Livingston,LA,Livingston County,64.0
71049,Logansport,LA,De Soto County,64.0
71050,Longstreet,LA,De Soto County,64.0
70447,Madisonville,LA,St. Tammany County,65.5
70448,Mandeville,LA,St. Tammany County,65.5
70470,Mandeville,LA,St. Tammany County,65.5
70471,Mandeville,LA,St. Tammany County,65.5
71052,Mansfield,LA,De Soto County,64.0
70449,Maurepas,LA,Livingston County,64.0
71060,Mooringsport,LA,Caddo County,64.0
71061,Oil City,LA,Caddo County,64.0
70452,Pearl River,LA,St. Tammany County,65.5
71063,Pelican,LA,De Soto County,64.0
70770,Pride,LA,East. Baton Rouge County,88.0
71069,Rodessa,LA,Caddo County,64.0
70457,Saint Benedict,LA,St. Tammany County,65.5
71101,Shreveport,LA,Caddo County,64.0
71102,Shreveport,LA,Caddo County,64.0
71103,Shreveport,LA,Caddo County,64.0
71104,Shreveport,LA,Caddo County,64.0
71105,Shreveport,LA,Caddo County,64.0
71106,Shreveport,LA,Caddo County,64.0
71107,Shreveport,LA,Caddo County,64.0
71108,Shreveport,LA,Caddo County,64.0
71109,Shreveport,LA,Caddo County,64.0
71115,Shreveport,LA,Caddo County,64.0
71118,Shreveport,LA,Caddo County,64.0
71119,Shreveport,LA,Caddo County,64.0
71120,Shreveport,LA,Caddo County,64.0
71129,Shreveport,LA,Caddo County,64.0
71130,Shreveport,LA,Caddo County,64.0
71133,Shreveport,LA,Caddo County,64.0
71134,Shreveport,LA,Caddo County,64.0
71135,Shreveport,LA,Caddo County,64.0
71136,Shreveport,LA,Caddo County,64.0
71137,Shreveport,LA,Caddo County,64.0
71138,Shreveport,LA,Caddo County,64.0
71148,Shreveport,LA,Caddo County,64.0
71149,Shreveport,LA,Caddo County,64.0
71150,Shreveport,LA,Caddo County,64.0
71151,Shreveport,LA,Caddo County,64.0
71152,Shreveport,LA,Caddo County,64.0
71153,Shreveport,LA,Caddo County,64.0
71154,Shreveport,LA,Caddo County,64.0
71156,Shreveport,LA,Caddo County,64.0
71161,Shreveport,LA,Caddo County,64.0
71162,Shreveport,LA,Caddo County,64.0
71163,Shreveport,LA,Caddo County,64.0
71164,Shreveport,LA,Caddo County,64.0
71165,Shreveport,LA,Caddo County,64.0
71166,Shreveport,LA,Caddo County,64.0
70458,Slidell,LA,St. Tammany County,65.5
70459,Slidell,LA,St. Tammany County,65.5
70460,Slidell,LA,St. Tammany County,65.5
70461,Slidell,LA,St. Tammany County,65.5
70469,Slidell,LA,St. Tammany County,65.5
70462,Springfield,LA,Livingston County,64.0
71078,Stonewall,LA,De Soto County,64.0
70463,Sun,LA,St. Tammany County,65.5
70464,Talisheek,LA,St. Tammany County,65.5
71082,Vivian,LA,Caddo County,64.0
70785,Walker,LA,Livingston County,64.0
70786,Watson,LA,Livingston County,64.0
70791,Zachary,LA,East. Baton Rouge County,88.0
