zip,city,state,county,payout
49301,Ada,MI,Kent County,65.5
49355,Ada,MI,Kent County,65.5
49356,Ada,MI,Kent County,65.5
49357,Ada,MI,Kent County,65.5
49220,Addison,MI,Lenawee County,64.0
49221,Adrian,MI,Lenawee County,64.0
49010,Allegan,MI,Allegan County,65.5
49227,Allen,MI,Hillsdale County,64.0
49401,Allendale,MI,Ottawa County,65.5
49302,Alto,MI,Kent County,65.5
48103,Ann Arbor,MI,Washtenaw County,88.0
48104,Ann Arbor,MI,Washtenaw County,88.0
48105,Ann Arbor,MI,Washtenaw County,88.0
48106,Ann Arbor,MI,Washtenaw County,88.0
48107,Ann Arbor,MI,Washtenaw County,88.0
48108,Ann Arbor,MI,Washtenaw County,88.0
48109,Ann Arbor,MI,Washtenaw County,88.0
48113,Ann Arbor,MI,Washtenaw County,88.0
48321,Auburn Hills,MI,Oakland County,88.0
49012,Augusta,MI,Kalamazoo County,65.5
48110,Azalia,MI,Monroe County,65.5
49303,Bailey,MI,Muskegon County,86.0
48809,Belding,MI,Ionia County,65.5
48112,Belleville,MI,Wayne County,65.5
49306,Belmont,MI,Kent County,65.5
48072,Berkley,MI,Oakland County,88.0
48009,Birmingham,MI,Oakland County,88.0
48012,Birmingham,MI,Oakland County,88.0
49228,Blissfield,MI,Lenawee County,64.0
48301,Bloomfield Hills,MI,Oakland County,88.0
48302,Bloomfield Hills,MI,Oakland County,88.0
48304,Bloomfield Hills,MI,Oakland County,88.0
49311,Bradley,MI,Allegan County,65.5
48115,Bridgewater,MI,Washtenaw County,88.0
48114,Brighton,MI,Livingston County,64.0
48116,Brighton,MI,Livingston County,64.0
49229,Britton,MI,Lenawee County,64.0
49230,Brooklyn,MI,Jackson County,65.5
49314,Burnips,MI,Allegan County,65.5
48418,Byron,MI,Shiawassee County,65.5
49315,Byron Center,MI,Kent County,65.5
49316,Caledonia,MI,Kent County,65.5
49232,Camden,MI,Hillsdale County,64.0
49317,Cannonsburg,MI,Kent County,65.5
48187,Canton,MI,Wayne County,65.5
48188,Canton,MI,Wayne County,65.5
49318,Casnovia,MI,Muskegon County,86.0
49319,Cedar Springs,MI,Kent County,65.5
49233,Cement City,MI,Hillsdale County,64.0
48118,Chelsea,MI,Washtenaw County,88.0
49234,Clarklake,MI,Jackson County,65.5
48346,Clarkston,MI,Oakland County,88.0
48347,Clarkston,MI,Oakland County,88.0
48815,Clarksville,MI,Ionia County,65.5
49235,Clayton,MI,Lenawee County,64.0
49034,Climax,MI,Kalamazoo County,65.5
49236,Clinton,MI,Lenawee County,64.0
49035,Cloverdale,MI,Barry County,64.0
48816,Cohoctah,MI,Livingston County,64.0
48382,Commerce Township,MI,Oakland County,88.0
49041,Comstock,MI,Kalamazoo County,65.5
49321,Comstock Park,MI,Kent County,65.5
49237,Concord,MI,Jackson County,65.5
49403,Conklin,MI,Ottawa County,65.5
49404,Coopersville,MI,Ottawa County,65.5
48120,Dearborn,MI,Wayne County,65.5
48121,Dearborn,MI,Wayne County,65.5
48123,Dearborn,MI,Wayne County,65.5
48124,Dearborn,MI,Wayne County,65.5
48126,Dearborn,MI,Wayne County,65.5
48128,Dearborn,MI,Wayne County,65.5
48125,Dearborn Heights,MI,Wayne County,65.5
48127,Dearborn Heights,MI,Wayne County,65.5
49238,Deerfield,MI,Lenawee County,64.0
49046,Delton,MI,Barry County,64.0
48130,Dexter,MI,Washtenaw County,88.0
49323,Dorr,MI,Allegan County,65.5
49406,Douglas,MI,Allegan County,65.5
49050,Dowling,MI,Barry County,64.0
48131,Dundee,MI,Monroe County,65.5
48133,Erie,MI,Monroe County,65.5
