zip,city,state,county,payout
56110,Adrian,MN,Nobles County,65.5
55001,Afton,MN,Washington County,65.5
55304,Andover,MN,Anoka County,81.5
55303,Anoka,MN,Anoka County,81.5
55307,Arlington,MN,Sibley County,64.0
56511,Audubon,MN,Becker County,64.0
56115,Balaton,MN,Lyon County,64.0
55003,Bayport,MN,Washington County,65.5
56116,Beaver Creek,MN,Rock County,64.0
55308,Becker,MN,Sherburne County,65.5
56011,Belle Plaine,MN,Scott County,70.0
55005,Bethel,MN,Anoka County,81.5
55309,Big Lake,MN,Sherburne County,65.5
56117,Bigelow,MN,Nobles County,65.5
56119,Brewster,MN,Nobles County,65.5
55306,Burnsville,MN,Dakota County,70.0
55337,Burnsville,MN,Dakota County,70.0
56521,Callaway,MN,Becker County,64.0
55315,Carver,MN,Carver County,69.0
55010,Castle Rock,MN,Dakota County,70.0
55011,Cedar,MN,Anoka County,81.5
55316,Champlin,MN,Hennepin County,70.0
56122,Chandler,MN,Murray County,64.0
55317,Chanhassen,MN,Carver County,69.0
55318,Chaska,MN,Carver County,69.0
55014,Circle Pines,MN,Anoka County,81.5
55319,Clear Lake,MN,Sherburne County,65.5
56017,Cleveland,MN,Le Sueur County,64.0
55322,Cologne,MN,Carver County,69.0
55016,Cottage Grove,MN,Washington County,65.5
55323,Crystal Bay,MN,Hennepin County,70.0
55327,Dayton,MN,Hennepin County,70.0
56501,Detroit Lakes,MN,Becker County,64.0
56502,Detroit Lakes,MN,Becker County,64.0
55344,Eden Prairie,MN,Hennepin County,70.0
55346,Eden Prairie,MN,Hennepin County,70.0
55347,Eden Prairie,MN,Hennepin County,70.0
56128,Edgerton,MN,Pipestone County,65.5
55330,Elk River,MN,Sherburne County,65.5
55020,Elko New Market,MN,Scott County,70.0
55054,Elko New Market,MN,Scott County,70.0
56129,Ellsworth,MN,Nobles County,65.5
56028,Elysian,MN,Le Sueur County,64.0
55331,Excelsior,MN,Hennepin County,70.0
55024,Farmington,MN,Dakota County,70.0
55025,Forest Lake,MN,Washington County,65.5
56544,Frazee,MN,Becker County,64.0
56131,Fulda,MN,Murray County,64.0
55334,Gaylord,MN,Sibley County,64.0
55335,Gibbon,MN,Sibley County,64.0
55338,Green Isle,MN,Sibley County,64.0
55339,Hamburg,MN,Carver County,69.0
55340,Hamel,MN,Hennepin County,70.0
55031,Hampton,MN,Dakota County,70.0
56134,Hardwick,MN,Rock County,64.0
55033,Hastings,MN,Dakota County,70.0
56044,Henderson,MN,Sibley County,64.0
56138,Hills,MN,Rock County,64.0
56139,Holland,MN,Pipestone County,65.5
55305,Hopkins,MN,Hennepin County,70.0
55343,Hopkins,MN,Hennepin County,70.0
55575,Howard Lake,MN,Wright County,70.0
55038,Hugo,MN,Washington County,65.5
56140,Ihlen,MN,Pipestone County,65.5
55076,Inver Grove Heights,MN,Dakota County,70.0
55077,Inver Grove Heights,MN,Dakota County,70.0
56141,Iona,MN,Murray County,64.0
56144,Jasper,MN,Pipestone County,65.5
55352,Jordan,MN,Scott County,70.0
56146,Kanaranzi,MN,Rock County,64.0
56050,Kasota,MN,Le Sueur County,64.0
56147,Kenneth,MN,Rock County,64.0
56149,Lake Benton,MN,Lincoln County,65.5
55042,Lake Elmo,MN,Washington County,65.5
56554,Lake Park,MN,Becker County,64.0
56151,Lake Wilson,MN,Murray County,64.0
55043,Lakeland,MN,Washington County,65.5
55044,Lakeville,MN,Dakota County,70.0
56057,Le Center,MN,Le Sueur County,64.0
56058,Le Sueur,MN,Le Sueur County,64.0
56153,Leota,MN,Nobles County,65.5
56155,Lismore,MN,Nobles County,65.5
55356,Long Lake,MN,Hennepin County,70.0
55357,Loretto,MN,Hennepin County,70.0
55595,Loretto,MN,Hennepin County,70.0
55596,Loretto,MN,Hennepin County,70.0
55597,Loretto,MN,Hennepin County,70.0
55598,Loretto,MN,Hennepin County,70.0
55599,Loretto,MN,Hennepin County,70.0
56156,Luverne,MN,Rock County,64.0
56158,Magnolia,MN,Rock County,64.0
55311,Maple Grove,MN,Hennepin County,70.0
55348,Maple Plain,MN,Hennepin County,70.0
55359,Maple Plain,MN,Hennepin County,70.0
55570,Maple Plain,MN,Hennepin County,70.0
55571,Maple Plain,MN,Hennepin County,70.0
55574,Maple Plain,MN,Hennepin County,70.0
55576,Maple Plain,MN,Hennepin County,70.0
55578,Maple Plain,MN,Hennepin County,70.0
55579,Maple Plain,MN,Hennepin County,70.0
55593,Maple Plain,MN,Hennepin County,70.0
55047,Marine On Saint Croix,MN,Washington County,65.5
55360,Mayer,MN,Carver County,69.0
55150,Mendota,MN,Dakota County,70.0
