zip,city,state,county,payout
64401,Agency,MO,Buchanan County,65.5
63010,Arnold,MO,Jefferson County,65.5
63332,Augusta,MO,St. Charles County,65.5
63011,Ballwin,MO,St. Louis County,81.5
63021,Ballwin,MO,St. Louis County,81.5
63022,Ballwin,MO,St. Louis County,81.5
63024,Ballwin,MO,St. Louis County,81.5
63012,Barnhart,MO,Jefferson County,65.5
63013,Beaufort,MO,Franklin County,65.5
63622,Belgrade,MO,Washington County,64.0
63014,Berger,MO,Franklin County,65.5
63626,Blackwell,MO,Washington County,64.0
64013,Blue Springs,MO,Jackson County,89.5
64014,Blue Springs,MO,Jackson County,89.5
64015,Blue Springs,MO,Jackson County,89.5
63044,Bridgeton,MO,St. Louis County,81.5
64016,Buckner,MO,Jackson County,89.5
63739,Burfordville,MO,Cape Girardeau County,65.5
63630,Cadet,MO,Washington County,64.0
63631,Caledonia,MO,Washington County,64.0
64017,Camden,MO,Ray County,64.0
64018,Camden Point,MO,Platte County,65.5
63701,Cape Girardeau,MO,Cape Girardeau County,65.5
63702,Cape Girardeau,MO,Cape Girardeau County,65.5
63703,Cape Girardeau,MO,Cape Girardeau County,65.5
63015,Catawissa,MO,Franklin County,65.5
63016,Cedar Hill,MO,Jefferson County,65.5
63005,Chesterfield,MO,St. Louis County,81.5
63006,Chesterfield,MO,St. Louis County,81.5
63017,Chesterfield,MO,St. Louis County,81.5
63338,Cottleville,MO,St. Charles County,65.5
63019,Crystal City,MO,Jefferson County,65.5
63743,Daisy,MO,Cape Girardeau County,65.5
64440,De Kalb,MO,Buchanan County,65.5
63020,De Soto,MO,Jefferson County,65.5
64439,Dearborn,MO,Platte County,65.5
63341,Defiance,MO,St. Charles County,65.5
63744,Delta,MO,Cape Girardeau County,65.5
63023,Dittmer,MO,Jefferson County,65.5
63745,Dutchtown,MO,Cape Girardeau County,65.5
63342,Dutzow,MO,Warren County,65.5
63045,Earth City,MO,St. Louis County,81.5
64443,Easton,MO,Buchanan County,65.5
64444,Edgerton,MO,Platte County,65.5
63025,Eureka,MO,St. Louis County,81.5
64024,Excelsior Springs,MO,Clay County,65.5
64028,Farley,MO,Platte County,65.5
64448,Faucett,MO,Buchanan County,65.5
63026,Fenton,MO,St. Louis County,81.5
63099,Fenton,MO,St. Louis County,81.5
63028,Festus,MO,Jefferson County,65.5
63030,Fletcher,MO,Washington County,64.0
63346,Flinthill,MO,St. Charles County,65.5
63031,Florissant,MO,St. Louis County,81.5
63032,Florissant,MO,St. Louis County,81.5
63033,Florissant,MO,St. Louis County,81.5
63034,Florissant,MO,St. Louis County,81.5
63348,Foristell,MO,St. Charles County,65.5
63747,Friedheim,MO,Cape Girardeau County,65.5
63037,Gerald,MO,Franklin County,65.5
63752,Gordonville,MO,Cape Girardeau County,65.5
64454,Gower,MO,Clinton County,65.5
64029,Grain Valley,MO,Jackson County,89.5
64030,Grandview,MO,Jackson County,89.5
63039,Gray Summit,MO,Franklin County,65.5
64034,Greenwood,MO,Jackson County,89.5
63041,Grubville,MO,Franklin County,65.5
64035,Hardin,MO,Ray County,64.0
63042,Hazelwood,MO,St. Louis County,81.5
63047,Hematite,MO,Jefferson County,65.5
64036,Henrietta,MO,Ray County,64.0
63048,Herculaneum,MO,Jefferson County,65.5
63049,High Ridge,MO,Jefferson County,65.5
63050,Hillsboro,MO,Jefferson County,65.5
64048,Holt,MO,Clay County,65.5
63051,House Springs,MO,Jefferson County,65.5
63052,Imperial,MO,Jefferson County,65.5
64050,Independence,MO,Jackson County,89.5
64051,Independence,MO,Jackson County,89.5
64052,Independence,MO,Jackson County,89.5
64053,Independence,MO,Jackson County,89.5
64054,Independence,MO,Jackson County,89.5
64055,Independence,MO,Jackson County,89.5
