zip,city,state,county,payout
28508,Albertson,NC,Duplin County,65.5
28006,Alexis,NC,Gaston County,88.0
27502,Apex,NC,Wake County,73.5
27539,Apex,NC,Wake County,73.5
28510,Arapahoe,NC,Pamlico County,64.0
28511,Atlantic,NC,Carteret County,65.5
28512,Atlantic Beach,NC,Carteret County,65.5
27806,Aurora,NC,Beaufort County,64.0
28513,Ayden,NC,Pitt County,65.5
27503,Bahama,NC,Durham County,92.5
28010,Barium Springs,NC,Iredell County,65.5
28515,Bayboro,NC,Pamlico County,64.0
28516,Beaufort,NC,Carteret County,65.5
27009,Belews Creek,NC,Forsyth County,88.0
28012,Belmont,NC,Gaston County,88.0
27504,Benson,NC,Johnston County,65.5
28016,Bessemer City,NC,Gaston County,88.0
27812,Bethel,NC,Pitt County,65.5
28518,Beulaville,NC,Duplin County,65.5
27814,Blounts Creek,NC,Beaufort County,64.0
27214,Browns Summit,NC,Guilford County,88.0
28542,Camp Lejeune,NC,Onslow County,65.5
28547,Camp Lejeune,NC,Onslow County,65.5
27511,Cary,NC,Wake County,73.5
27512,Cary,NC,Wake County,73.5
27513,Cary,NC,Wake County,73.5
27518,Cary,NC,Wake County,73.5
27519,Cary,NC,Wake County,73.5
28609,Catawba,NC,Catawba County,65.5
28520,Cedar Island,NC,Carteret County,65.5
28201,Charlotte,NC,Mecklenburg County,81.5
28202,Charlotte,NC,Mecklenburg County,81.5
28203,Charlotte,NC,Mecklenburg County,81.5
28204,Charlotte,NC,Mecklenburg County,81.5
28205,Charlotte,NC,Mecklenburg County,81.5
28206,Charlotte,NC,Mecklenburg County,81.5
28207,Charlotte,NC,Mecklenburg County,81.5
28208,Charlotte,NC,Mecklenburg County,81.5
28209,Charlotte,NC,Mecklenburg County,81.5
28210,Charlotte,NC,Mecklenburg County,81.5
28211,Charlotte,NC,Mecklenburg County,81.5
28212,Charlotte,NC,Mecklenburg County,81.5
28213,Charlotte,NC,Mecklenburg County,81.5
28214,Charlotte,NC,Mecklenburg County,81.5
