zip,city,state,county,payout
68304,Alvo,NE,Cass County,64.0
68621,Ames,NE,Dodge County,64.0
68002,Arlington,NE,Washington County,64.0
68003,Ashland,NE,Saunders County,65.5
68307,Avoca,NE,Cass County,64.0
68005,Bellevue,NE,Sarpy County,73.5
68123,Bellevue,NE,Sarpy County,73.5
68147,Bellevue,NE,Sarpy County,73.5
68317,Bennet,NE,Lancaster County,65.5
68007,Bennington,NE,Douglas County,88.0
68008,Blair,NE,Washington County,64.0
68009,Blair,NE,Washington County,64.0
68010,Boys Town,NE,Douglas County,88.0
68015,Cedar Bluffs,NE,Saunders County,65.5
68016,Cedar Creek,NE,Cass County,64.0
68017,Ceresco,NE,Saunders County,65.5
68018,Colon,NE,Saunders County,65.5
68336,Davey,NE,Lancaster County,65.5
68339,Denton,NE,Lancaster County,65.5
68633,Dodge,NE,Dodge County,64.0
68347,Eagle,NE,Cass County,64.0
68022,Elkhorn,NE,Douglas County,88.0
68349,Elmwood,NE,Cass County,64.0
68358,Firth,NE,Lancaster County,65.5
68023,Fort Calhoun,NE,Washington County,64.0
68025,Fremont,NE,Dodge County,64.0
68026,Fremont,NE,Dodge County,64.0
68366,Greenwood,NE,Cass County,64.0
68028,Gretna,NE,Sarpy County,73.5
68368,Hallam,NE,Lancaster County,65.5
68029,Herman,NE,Washington County,64.0
68372,Hickman,NE,Lancaster County,65.5
68031,Hooper,NE,Dodge County,64.0
68033,Ithaca,NE,Saunders County,65.5
68034,Kennard,NE,Washington County,64.0
68128,La Vista,NE,Sarpy County,73.5
68501,Lincoln,NE,Lancaster County,65.5
68502,Lincoln,NE,Lancaster County,65.5
68503,Lincoln,NE,Lancaster County,65.5
68504,Lincoln,NE,Lancaster County,65.5
68505,Lincoln,NE,Lancaster County,65.5
68506,Lincoln,NE,Lancaster County,65.5
68507,Lincoln,NE,Lancaster County,65.5
68508,Lincoln,NE,Lancaster County,65.5
68509,Lincoln,NE,Lancaster County,65.5
68510,Lincoln,NE,Lancaster County,65.5
68512,Lincoln,NE,Lancaster County,65.5
68514,Lincoln,NE,Lancaster County,65.5
68516,Lincoln,NE,Lancaster County,65.5
68517,Lincoln,NE,Lancaster County,65.5
68520,Lincoln,NE,Lancaster County,65.5
68521,Lincoln,NE,Lancaster County,65.5
68522,Lincoln,NE,Lancaster County,65.5
68523,Lincoln,NE,Lancaster County,65.5
68524,Lincoln,NE,Lancaster County,65.5
68526,Lincoln,NE,Lancaster County,65.5
68527,Lincoln,NE,Lancaster County,65.5
68528,Lincoln,NE,Lancaster County,65.5
68529,Lincoln,NE,Lancaster County,65.5
68531,Lincoln,NE,Lancaster County,65.5
68532,Lincoln,NE,Lancaster County,65.5
68542,Lincoln,NE,Lancaster County,65.5
68544,Lincoln,NE,Nebraska Statewide,65.5
68583,Lincoln,NE,Lancaster County,65.5
68588,Lincoln,NE,Lancaster County,65.5
