zip,city,state,county,payout
45810,Ada,OH,Hardin County,64.0
44301,Akron,OH,Summit County,65.5
44302,Akron,OH,Summit County,65.5
44303,Akron,OH,Summit County,65.5
44304,Akron,OH,Summit County,65.5
44305,Akron,OH,Summit County,65.5
44306,Akron,OH,Summit County,65.5
44307,Akron,OH,Summit County,65.5
44308,Akron,OH,Summit County,65.5
44309,Akron,OH,Summit County,65.5
44310,Akron,OH,Summit County,65.5
44311,Akron,OH,Summit County,65.5
44312,Akron,OH,Summit County,65.5
44313,Akron,OH,Summit County,65.5
44314,Akron,OH,Summit County,65.5
44315,Akron,OH,Summit County,65.5
44316,Akron,OH,Summit County,65.5
44317,Akron,OH,Summit County,65.5
44319,Akron,OH,Summit County,65.5
44320,Akron,OH,Summit County,65.5
44321,Akron,OH,Summit County,65.5
44325,Akron,OH,Summit County,65.5
44326,Akron,OH,Summit County,65.5
44328,Akron,OH,Summit County,65.5
44333,Akron,OH,Summit County,65.5
45812,Alger,OH,Hardin County,64.0
44001,Amherst,OH,Lorain County,65.5
43002,Amlin,OH,Franklin County,124.5
45303,Ansonia,OH,Darke County,64.0
45304,Arcanum,OH,Darke County,64.0
44805,Ashland,OH,Ashland County,64.0
43003,Ashley,OH,Delaware County,70.0
44202,Aurora,OH,Portage County,65.5
44011,Avon,OH,Lorain County,65.5
44012,Avon Lake,OH,Lorain County,65.5
44203,Barberton,OH,Summit County,65.5
44210,Bath,OH,Summit County,65.5
44140,Bay Village,OH,Cuyahoga County,65.5
44122,Beachwood,OH,Cuyahoga County,65.5
44146,Bedford,OH,Cuyahoga County,65.5
43310,Belle Center,OH,Logan County,64.0
43311,Bellefontaine,OH,Logan County,64.0
44811,Bellevue,OH,Sandusky County,64.0
44813,Bellville,OH,Richland County,65.5
43504,Berkey,OH,Lucas County,65.5
43004,Blacklick,OH,Franklin County,124.5
43005,Bladensburg,OH,Knox County,64.0
45308,Bradford,OH,Darke County,64.0
44211,Brady Lake,OH,Portage County,65.5
44141,Brecksville,OH,Cuyahoga County,65.5
43109,Brice,OH,Franklin County,124.5
44147,Broadview Heights,OH,Cuyahoga County,65.5
43007,Broadway,OH,Union County,64.0
44142,Brookpark,OH,Cuyahoga County,65.5
44212,Brunswick,OH,Medina County,65.5
44820,Bucyrus,OH,Crawford County,64.0
44214,Burbank,OH,Wayne County,65.5
43407,Burgoon,OH,Sandusky County,64.0
44822,Butler,OH,Richland County,65.5
43009,Cable,OH,Champaign County,64.0
43314,Caledonia,OH,Marion County,64.0
45311,Camden,OH,Preble County,65.5
43110,Canal Winchester,OH,Franklin County,124.5
44701,Canton,OH,Stark County,65.5
44702,Canton,OH,Stark County,65.5
44703,Canton,OH,Stark County,65.5
44704,Canton,OH,Stark County,65.5
44705,Canton,OH,Stark County,65.5
44706,Canton,OH,Stark County,65.5
44707,Canton,OH,Stark County,65.5
44708,Canton,OH,Stark County,65.5
44709,Canton,OH,Stark County,65.5
44710,Canton,OH,Stark County,65.5
44711,Canton,OH,Stark County,65.5
44714,Canton,OH,Stark County,65.5
44718,Canton,OH,Stark County,65.5
44721,Canton,OH,Stark County,65.5
43315,Cardington,OH,Morrow County,64.0
43010,Catawba,OH,Clark County,65.5
44022,Chagrin Falls,OH,Cuyahoga County,65.5
44023,Chagrin Falls,OH,Geauga County,64.0
44024,Chardon,OH,Geauga County,64.0
44825,Chatfield,OH,Crawford County,64.0
43317,Chesterville,OH,Morrow County,64.0
44215,Chippewa Lake,OH,Medina County,65.5
45389,Christiansburg,OH,Champaign County,64.0
44101,Cleveland,OH,Cuyahoga County,65.5
44102,Cleveland,OH,Cuyahoga County,65.5
44103,Cleveland,OH,Cuyahoga County,65.5
44104,Cleveland,OH,Cuyahoga County,65.5
44105,Cleveland,OH,Cuyahoga County,65.5
44106,Cleveland,OH,Cuyahoga County,65.5
44108,Cleveland,OH,Cuyahoga County,65.5
44109,Cleveland,OH,Cuyahoga County,65.5
44110,Cleveland,OH,Cuyahoga County,65.5
