zip,city,state,county,payout
97406,Agness,OR,Curry County,65.5
97711,Ashwood,OR,Jefferson County,65.5
97701,Bend,OR,Deschutes County,88.0
97702,Bend,OR,Deschutes County,88.0
97703,Bend,OR,Deschutes County,88.0
97707,Bend,OR,Deschutes County,88.0
97708,Bend,OR,Deschutes County,88.0
97709,Bend,OR,Deschutes County,88.0
97415,Brookings,OR,Curry County,65.5
97712,Brothers,OR,Deschutes County,88.0
97730,Camp Sherman,OR,Jefferson County,65.5
97734,Culver,OR,Jefferson County,65.5
97444,Gold Beach,OR,Curry County,65.5
97739,La Pine,OR,Deschutes County,88.0
97450,Langlois,OR,Curry County,65.5
97741,Madras,OR,Jefferson County,65.5
97464,Ophir,OR,Curry County,65.5
97751,Paulina,OR,Crook County,64.0
97465,Port Orford,OR,Curry County,65.5
97752,Post,OR,Crook County,64.0
97753,Powell Butte,OR,Crook County,64.0
97754,Prineville,OR,Crook County,64.0
97756,Redmond,OR,Deschutes County,88.0
97759,Sisters,OR,Deschutes County,88.0
97476,Sixes,OR,Curry County,65.5
97760,Terrebonne,OR,Jefferson County,88.0
97761,Warm Springs,OR,Jefferson County,65.5
97491,Wedderburn,OR,Curry County,65.5
