zip,city,state,county,payout
17301,Abbottstown,PA,Adams County,65.5
17302,Airville,PA,York County,65.5
17210,Amberson,PA,Franklin County,65.5
18320,Analomink,PA,Monroe County,65.5
18403,Archbald,PA,Lackawanna County,88.0
17303,Arendtsville,PA,Adams County,65.5
17304,Aspers,PA,Adams County,65.5
18321,Bartonsville,PA,Monroe County,65.5
18405,Beach Lake,PA,Wayne County,65.5
17306,Bendersville,PA,Adams County,65.5
17005,Berrysburg,PA,Dauphin County,65.5
17212,Big Cove Tannery,PA,Fulton County,65.5
17307,Biglerville,PA,Adams County,65.5
17006,Blain,PA,Perry County,65.5
18610,Blakeslee,PA,Monroe County,65.5
17214,Blue Ridge Summit,PA,Franklin County,65.5
17007,Boiling Springs,PA,Cumberland County,88.0
18322,Brodheadsville,PA,Monroe County,65.5
17309,Brogue,PA,York County,65.5
18323,Buck Hill Falls,PA,Monroe County,65.5
17215,Burnt Cabins,PA,Fulton County,65.5
18324,Bushkill,PA,Pike County,64.0
17001,Camp Hill,PA,Cumberland County,88.0
17011,Camp Hill,PA,Cumberland County,88.0
17012,Camp Hill,PA,Cumberland County,88.0
17089,Camp Hill,PA,Cumberland County,88.0
18325,Canadensis,PA,Monroe County,65.5
18407,Carbondale,PA,Lackawanna County,88.0
17013,Carlisle,PA,Cumberland County,88.0
17015,Carlisle,PA,Cumberland County,88.0
17310,Cashtown,PA,Adams County,65.5
17201,Chambersburg,PA,Franklin County,65.5
17202,Chambersburg,PA,Franklin County,65.5
18410,Chinchilla,PA,Lackawanna County,88.0
18411,Clarks Summit,PA,Lackawanna County,88.0
17311,Codorus,PA,York County,65.5
17217,Concord,PA,Franklin County,65.5
17312,Craley,PA,York County,65.5
18326,Cresco,PA,Monroe County,65.5
15536,Crystal Spring,PA,Fulton County,65.5
17313,Dallastown,PA,York County,65.5
18414,Dalton,PA,Lackawanna County,88.0
18415,Damascus,PA,Wayne County,65.5
17018,Dauphin,PA,Dauphin County,65.5
18327,Delaware Water Gap,PA,Monroe County,65.5
17314,Delta,PA,York County,65.5
17019,Dillsburg,PA,York County,65.5
18328,Dingmans Ferry,PA,Pike County,64.0
17315,Dover,PA,York County,65.5
17219,Doylesburg,PA,Franklin County,65.5
17220,Dry Run,PA,Franklin County,65.5
17020,Duncannon,PA,Perry County,65.5
17316,East Berlin,PA,Adams County,65.5
17317,East Prospect,PA,York County,65.5
18301,East Stroudsburg,PA,Monroe County,65.5
18302,East Stroudsburg,PA,Monroe County,65.5
17021,East Waterford,PA,Juniata County,64.0
18330,Effort,PA,Monroe County,65.5
17023,Elizabethville,PA,Dauphin County,65.5
17024,Elliottsburg,PA,Perry County,65.5
18416,Elmhurst,PA,Lackawanna County,88.0
17318,Emigsville,PA,York County,65.5
17025,Enola,PA,Cumberland County,88.0
18417,Equinunk,PA,Wayne County,65.5
17319,Etters,PA,York County,65.5
17320,Fairfield,PA,Adams County,65.5
17221,Fannettsburg,PA,Franklin County,65.5
17321,Fawn Grove,PA,York County,65.5
17222,Fayetteville,PA,Franklin County,65.5
17322,Felton,PA,York County,65.5
18420,Fleetville,PA,Lackawanna County,88.0
17223,Fort Littleton,PA,Fulton County,65.5
17224,Fort Loudon,PA,Franklin County,65.5
17323,Franklintown,PA,York County,65.5
17324,Gardners,PA,Cumberland County,65.5
17325,Gettysburg,PA,Adams County,65.5
18331,Gilbert,PA,Monroe County,65.5
17327,Glen Rock,PA,York County,65.5
17329,Glenville,PA,York County,65.5
18424,Gouldsboro,PA,Lackawanna County,65.5
17027,Grantham,PA,Cumberland County,88.0
17028,Grantville,PA,Dauphin County,65.5
17030,Gratz,PA,Dauphin County,65.5
18425,Greeley,PA,Pike County,64.0
17225,Greencastle,PA,Franklin County,65.5
18426,Greentown,PA,Pike County,64.0
17032,Halifax,PA,Dauphin County,65.5
18427,Hamlin,PA,Wayne County,65.5
17331,Hanover,PA,York County,65.5
17332,Hanover,PA,York County,65.5
17333,Hanover,PA,York County,65.5
17334,Hanover,PA,York County,65.5
17335,Hanover,PA,York County,65.5
17101,Harrisburg,PA,Dauphin County,65.5
17102,Harrisburg,PA,Dauphin County,65.5
17103,Harrisburg,PA,Dauphin County,65.5
17104,Harrisburg,PA,Dauphin County,65.5
17105,Harrisburg,PA,Dauphin County,65.5
17106,Harrisburg,PA,Dauphin County,65.5
17107,Harrisburg,PA,Dauphin County,65.5
17108,Harrisburg,PA,Dauphin County,65.5
17109,Harrisburg,PA,Dauphin County,65.5
