zip,city,state,county,payout
37010,Adams,TN,Montgomery County,64.0
37701,Alcoa,TN,Blount County,65.5
37301,Altamont,TN,Grundy County,64.0
37705,Andersonville,TN,Anderson County,65.5
37011,Antioch,TN,Davidson County,88.0
37302,Apison,TN,Hamilton County,88.0
38002,Arlington,TN,Shelby County,65.5
37389,Arnold AFB,TN,Coffee County,64.0
37014,Arrington,TN,Williamson County,86.0
37015,Ashland City,TN,Cheatham County,65.5
38004,Atoka,TN,Tipton County,65.5
37016,Auburntown,TN,Cannon County,64.0
37304,Bakewell,TN,Hamilton County,88.0
37018,Beechgrove,TN,Coffee County,64.0
37305,Beersheba Springs,TN,Grundy County,64.0
37019,Belfast,TN,Marshall County,64.0
37020,Bell Buckle,TN,Bedford County,64.0
37306,Belvidere,TN,Franklin County,64.0
37022,Bethpage,TN,Sumner County,64.0
37308,Birchwood,TN,Hamilton County,88.0
37709,Blaine,TN,Grainger County,64.0
37026,Bradyville,TN,Cannon County,64.0
37024,Brentwood,TN,Williamson County,86.0
37027,Brentwood,TN,Williamson County,86.0
37710,Briceville,TN,Anderson County,65.5
38011,Brighton,TN,Tipton County,65.5
38012,Brownsville,TN,Haywood County,64.0
38014,Brunswick,TN,Shelby County,65.5
38015,Burlison,TN,Tipton County,65.5
38550,Campaign,TN,Warren County,64.0
37714,Caryville,TN,Campbell County,64.0
37031,Castalian Springs,TN,Sumner County,64.0
37032,Cedar Hill,TN,Robertson County,64.0
37034,Chapel Hill,TN,Marshall County,64.0
37035,Chapmansboro,TN,Cheatham County,65.5
37401,Chattanooga,TN,Hamilton County,88.0
37402,Chattanooga,TN,Hamilton County,88.0
37403,Chattanooga,TN,Hamilton County,88.0
37404,Chattanooga,TN,Hamilton County,88.0
37405,Chattanooga,TN,Hamilton County,88.0
37406,Chattanooga,TN,Hamilton County,88.0
37407,Chattanooga,TN,Hamilton County,88.0
37408,Chattanooga,TN,Hamilton County,88.0
37409,Chattanooga,TN,Hamilton County,88.0
37410,Chattanooga,TN,Hamilton County,88.0
37411,Chattanooga,TN,Hamilton County,88.0
37412,Chattanooga,TN,Hamilton County,88.0
37414,Chattanooga,TN,Hamilton County,88.0
37415,Chattanooga,TN,Hamilton County,88.0
37416,Chattanooga,TN,Hamilton County,88.0
37419,Chattanooga,TN,Hamilton County,88.0
37421,Chattanooga,TN,Hamilton County,88.0
37422,Chattanooga,TN,Hamilton County,88.0
37424,Chattanooga,TN,Hamilton County,88.0
37450,Chattanooga,TN,Hamilton County,88.0
37037,Christiana,TN,Rutherford County,65.5
37716,Clinton,TN,Anderson County,65.5
37717,Clinton,TN,Anderson County,65.5
37719,Coalfield,TN,Morgan County,64.0
37313,Coalmont,TN,Grundy County,64.0
37046,College Grove,TN,Williamson County,86.0
37315,Collegedale,TN,Hamilton County,88.0
38017,Collierville,TN,Shelby County,65.5
38027,Collierville,TN,Shelby County,65.5
38016,Cordova,TN,Shelby County,65.5
38018,Cordova,TN,Shelby County,65.5
38088,Cordova,TN,Shelby County,65.5
37047,Cornersville,TN,Marshall County,64.0
37721,Corryton,TN,Knox County,65.5
37048,Cottontown,TN,Sumner County,64.0
38019,Covington,TN,Tipton County,65.5
37318,Cowan,TN,Franklin County,64.0
37049,Cross Plains,TN,Robertson County,64.0
37324,Decherd,TN,Franklin County,64.0
38453,Dellrose,TN,Lincoln County,64.0
38023,Drummonds,TN,Tipton County,65.5
37060,Eagleville,TN,Rutherford County,65.5
38029,Ellendale,TN,Shelby County,65.5
37328,Elora,TN,Lincoln County,64.0
37330,Estill Springs,TN,Franklin County,64.0
37062,Fairview,TN,Williamson County,86.0
37934,Farragut,TN,Knox County,65.5
37334,Fayetteville,TN,Lincoln County,64.0
37335,Flintville,TN,Lincoln County,64.0
37063,Fosterville,TN,Rutherford County,65.5
