zip,city,state,county,payout
76621,Abbott,TX,Hill County,64.0
75001,Addison,TX,Dallas County,81.5
75410,Alba,TX,Wood County,64.0
75002,Allen,TX,Collin County,73.0
75013,Allen,TX,Collin County,73.0
75925,Alto,TX,Cherokee County,64.0
75409,Anna,TX,Collin County,73.0
75926,Apple Springs,TX,Trinity County,64.0
76622,Aquilla,TX,Hill County,64.0
76226,Argyle,TX,Denton County,65.5
76004,Arlington,TX,Tarrant County,110.0
76005,Arlington,TX,Tarrant County,110.0
76006,Arlington,TX,Tarrant County,110.0
76007,Arlington,TX,Tarrant County,110.0
76010,Arlington,TX,Tarrant County,110.0
76011,Arlington,TX,Tarrant County,110.0
76012,Arlington,TX,Tarrant County,110.0
76013,Arlington,TX,Tarrant County,110.0
76014,Arlington,TX,Tarrant County,110.0
76015,Arlington,TX,Tarrant County,110.0
76016,Arlington,TX,Tarrant County,110.0
76019,Arlington,TX,Tarrant County,110.0
76094,Arlington,TX,Tarrant County,110.0
75750,Arp,TX,Smith County,65.5
75751,Athens,TX,Henderson County,64.0
75752,Athens,TX,Henderson County,64.0
75551,Atlanta,TX,Cass County,64.0
76227,Aubrey,TX,Denton County,65.5
78701,Austin,TX,Travis County,72.0
78702,Austin,TX,Travis County,72.0
78703,Austin,TX,Travis County,72.0
78704,Austin,TX,Travis County,72.0
78705,Austin,TX,Travis County,72.0
78712,Austin,TX,Travis County,72.0
78717,Austin,TX,Williamson County,112.5
78721,Austin,TX,Travis County,72.0
78722,Austin,TX,Travis County,72.0
78723,Austin,TX,Travis County,72.0
78726,Austin,TX,Travis County,72.0
78727,Austin,TX,Travis County,72.0
78728,Austin,TX,Travis County,72.0
78729,Austin,TX,Williamson County,112.5
78730,Austin,TX,Travis County,72.0
78731,Austin,TX,Travis County,72.0
78732,Austin,TX,Travis County,132.5
78733,Austin,TX,Travis County,132.5
78734,Austin,TX,Travis County,132.5
78735,Austin,TX,Travis County,132.5
78736,Austin,TX,Travis County,132.5
78737,Austin,TX,Hays County,88.0
78738,Austin,TX,Travis County,132.5
78739,Austin,TX,Travis County,132.5
78741,Austin,TX,Travis County,72.0
78745,Austin,TX,Travis County,72.0
78746,Austin,TX,Travis County,132.5
78748,Austin,TX,Travis County,72.0
78749,Austin,TX,Travis County,132.5
78750,Austin,TX,Travis County,72.0
78751,Austin,TX,Travis County,72.0
78752,Austin,TX,Travis County,72.0
78753,Austin,TX,Travis County,72.0
78756,Austin,TX,Travis County,72.0
78757,Austin,TX,Travis County,72.0
78758,Austin,TX,Travis County,72.0
78759,Austin,TX,Travis County,72.0
76623,Avalon,TX,Ellis County,86.0
75630,Avinger,TX,Marion County,64.0
76624,Axtell,TX,Mclennan County,65.5
75413,Bailey,TX,Fannin County,64.0
75180,Balch Springs,TX,Dallas County,81.5
75101,Bardwell,TX,Ellis County,86.0
75102,Barry,TX,Navarro County,65.5
78602,Bastrop,TX,Bastrop County,64.0
75631,Beckville,TX,Panola County,64.0
76021,Bedford,TX,Tarrant County,110.0
76022,Bedford,TX,Tarrant County,110.0
76095,Bedford,TX,Tarrant County,110.0
77401,Bellaire,TX,Harris County,39.0
75414,Bells,TX,Grayson County,65.5
75754,Ben Wheeler,TX,Van Zandt County,65.5
78004,Bergheim,TX,Kendall County,68.5
75755,Big Sandy,TX,Upshur County,64.0
75797,Big Sandy,TX,Upshur County,64.0
75555,Bivins,TX,Cass County,64.0
75556,Bloomburg,TX,Cass County,64.0
76626,Blooming Grove,TX,Navarro County,65.5
75424,Blue Ridge,TX,Collin County,73.0
76627,Blum,TX,Hill County,64.0
78006,Boerne,TX,Kendall County,68.5
78015,Boerne,TX,Bexar County,68.5
75418,Bonham,TX,Fannin County,64.0
76628,Brandon,TX,Hill County,64.0
75420,Brashear,TX,Hopkins County,65.5
75929,Broaddus,TX,San Augustine County,64.0
75756,Brownsboro,TX,Henderson County,64.0
75831,Buffalo,TX,Leon County,64.0
75757,Bullard,TX,Smith County,65.5
78163,Bulverde,TX,Comal County,68.5
76631,Bynum,TX,Hill County,64.0
75135,Caddo Mills,TX,Hunt County,64.0
75422,Campbell,TX,Hunt County,64.0
75103,Canton,TX,Van Zandt County,65.5
78133,Canyon Lake,TX,Comal County,68.5
75006,Carrollton,TX,Dallas County,81.5
75007,Carrollton,TX,Denton County,65.5
75010,Carrollton,TX,Denton County,65.5
75011,Carrollton,TX,Dallas County,81.5
75633,Carthage,TX,Panola County,64.0
75636,Cason,TX,Morris County,64.0
75832,Cayuga,TX,Anderson County,64.0
78612,Cedar Creek,TX,Bastrop County,64.0
75104,Cedar Hill,TX,Dallas County,81.5
75106,Cedar Hill,TX,Dallas County,81.5
78613,Cedar Park,TX,Williamson County,112.5
78630,Cedar Park,TX,Williamson County,112.5
75423,Celeste,TX,Hunt County,64.0
75009,Celina,TX,Collin County,73.0
75935,Center,TX,Shelby County,64.0
75833,Centerville,TX,Leon County,64.0
75834,Centralia,TX,Trinity County,64.0
75758,Chandler,TX,Henderson County,64.0
75105,Chatfield,TX,Navarro County,65.5
76633,China Spring,TX,Mclennan County,65.5
75937,Chireno,TX,Nacogdoches County,64.0
78108,Cibolo,TX,Guadalupe County,68.5
75637,Clayton,TX,Panola County,64.0
76033,Cleburne,TX,Johnson County,65.5
76634,Clifton,TX,Bosque County,65.5
77331,Coldspring,TX,San Jacinto County,64.0
76034,Colleyville,TX,Tarrant County,110.0
76233,Collinsville,TX,Grayson County,65.5
75428,Commerce,TX,Hunt County,64.0
75429,Commerce,TX,Hunt County,64.0
75431,Como,TX,Hopkins County,65.5
77850,Concord,TX,Leon County,64.0
77301,Conroe,TX,Montgomery County,65.5
77302,Conroe,TX,Montgomery County,65.5
77303,Conroe,TX,Montgomery County,65.5
77304,Conroe,TX,Montgomery County,65.5
77305,Conroe,TX,Montgomery County,65.5
77306,Conroe,TX,Montgomery County,65.5
77384,Conroe,TX,Montgomery County,65.5
77385,Conroe,TX,Montgomery County,65.5
78109,Converse,TX,Bexar County,68.5
75558,Cookville,TX,Titus County,64.0
76635,Coolidge,TX,Limestone County,64.0
75121,Copeville,TX,Collin County,73.0
75019,Coppell,TX,Dallas County,81.5
75099,Coppell,TX,Dallas County,81.5
75109,Corsicana,TX,Navarro County,65.5
75110,Corsicana,TX,Navarro County,65.5
75151,Corsicana,TX,Navarro County,65.5
78615,Coupland,TX,Travis County,112.5
76636,Covington,TX,Hill County,64.0
75114,Crandall,TX,Kaufman County,64.0
76637,Cranfills Gap,TX,Bosque County,65.5
76638,Crawford,TX,Mclennan County,65.5
75835,Crockett,TX,Houston County,64.0
75433,Cumby,TX,Hopkins County,65.5
75759,Cuney,TX,Cherokee County,64.0
75760,Cushing,TX,Nacogdoches County,64.0
77429,Cypress,TX,Harris County,105.5
77433,Cypress,TX,Harris County,105.5
75638,Daingerfield,TX,Morris County,64.0
75201,Dallas,TX,Dallas County,81.5
75202,Dallas,TX,Dallas County,81.5
75203,Dallas,TX,Dallas County,81.5
75204,Dallas,TX,Dallas County,81.5
75205,Dallas,TX,Dallas County,81.5
75206,Dallas,TX,Dallas County,81.5
75207,Dallas,TX,Dallas County,81.5
75208,Dallas,TX,Dallas County,81.5
75209,Dallas,TX,Dallas County,81.5
75210,Dallas,TX,Dallas County,81.5
75211,Dallas,TX,Dallas County,81.5
75212,Dallas,TX,Dallas County,81.5
75214,Dallas,TX,Dallas County,81.5
75215,Dallas,TX,Dallas County,81.5
75216,Dallas,TX,Dallas County,81.5
75217,Dallas,TX,Dallas County,81.5
75218,Dallas,TX,Dallas County,81.5
75219,Dallas,TX,Dallas County,81.5
75220,Dallas,TX,Dallas County,81.5
75221,Dallas,TX,Dallas County,81.5
75222,Dallas,TX,Dallas County,81.5
75223,Dallas,TX,Dallas County,81.5
75224,Dallas,TX,Dallas County,81.5
75225,Dallas,TX,Dallas County,81.5
75226,Dallas,TX,Dallas County,81.5
75227,Dallas,TX,Dallas County,81.5
75228,Dallas,TX,Dallas County,81.5
75229,Dallas,TX,Dallas County,81.5
75230,Dallas,TX,Dallas County,81.5
75231,Dallas,TX,Dallas County,81.5
75232,Dallas,TX,Dallas County,81.5
75233,Dallas,TX,Dallas County,81.5
75234,Dallas,TX,Dallas County,81.5
75235,Dallas,TX,Dallas County,81.5
75236,Dallas,TX,Dallas County,81.5
75237,Dallas,TX,Dallas County,81.5
75238,Dallas,TX,Dallas County,81.5
75240,Dallas,TX,Dallas County,81.5
75241,Dallas,TX,Dallas County,81.5
75242,Dallas,TX,Dallas County,81.5
75243,Dallas,TX,Dallas County,81.5
75244,Dallas,TX,Dallas County,81.5
75246,Dallas,TX,Dallas County,81.5
75247,Dallas,TX,Dallas County,81.5
75248,Dallas,TX,Dallas County,81.5
75249,Dallas,TX,Dallas County,81.5
75250,Dallas,TX,Dallas County,81.5
75251,Dallas,TX,Dallas County,81.5
75252,Dallas,TX,Collin County,73.0
75253,Dallas,TX,Dallas County,81.5
75254,Dallas,TX,Dallas County,81.5
75260,Dallas,TX,Dallas County,81.5
75261,Dallas,TX,Tarrant County,81.5
75262,Dallas,TX,Dallas County,81.5
75263,Dallas,TX,Dallas County,81.5
75264,Dallas,TX,Dallas County,81.5
75265,Dallas,TX,Dallas County,81.5
75266,Dallas,TX,Dallas County,81.5
75267,Dallas,TX,Dallas County,81.5
75270,Dallas,TX,Dallas County,81.5
75275,Dallas,TX,Dallas County,81.5
75277,Dallas,TX,Dallas County,81.5
75283,Dallas,TX,Dallas County,81.5
75284,Dallas,TX,Dallas County,81.5
75285,Dallas,TX,Dallas County,81.5
75287,Dallas,TX,Denton County,73.0
75301,Dallas,TX,Dallas County,81.5
75303,Dallas,TX,Dallas County,81.5
75312,Dallas,TX,Dallas County,81.5
75313,Dallas,TX,Dallas County,81.5
75315,Dallas,TX,Dallas County,81.5
75320,Dallas,TX,Dallas County,81.5
75326,Dallas,TX,Dallas County,81.5
75336,Dallas,TX,Dallas County,81.5
75339,Dallas,TX,Dallas County,81.5
75342,Dallas,TX,Dallas County,81.5
75354,Dallas,TX,Dallas County,81.5
75355,Dallas,TX,Dallas County,81.5
75356,Dallas,TX,Dallas County,81.5
75357,Dallas,TX,Dallas County,81.5
75358,Dallas,TX,Dallas County,81.5
75359,Dallas,TX,Dallas County,81.5
75360,Dallas,TX,Dallas County,81.5
75367,Dallas,TX,Dallas County,81.5
75368,Dallas,TX,Dallas County,81.5
75370,Dallas,TX,Dallas County,81.5
75371,Dallas,TX,Dallas County,81.5
75372,Dallas,TX,Dallas County,81.5
75373,Dallas,TX,Dallas County,81.5
75374,Dallas,TX,Dallas County,81.5
