zip,city,state,county,payout
84004,Alpine,UT,Utah County,127.5
84003,American Fork,UT,Utah County,127.5
84006,Bingham Canyon,UT,Salt Lake County,91.5
84013,Cedar Valley,UT,Utah County,127.5
84017,Coalville,UT,Summit County,64.0
84020,Draper,UT,Salt Lake County,91.5
84005,Eagle Mountain,UT,Utah County,127.5
84024,Echo,UT,Summit County,64.0
84626,Elberta,UT,Utah County,127.5
84633,Goshen,UT,Utah County,127.5
84032,Heber City,UT,Wasatch County,64.0
84033,Henefer,UT,Summit County,64.0
84096,Herriman,UT,Salt Lake County,91.5
84036,Kamas,UT,Summit County,64.0
84043,Lehi,UT,Utah County,127.5
84042,Lindon,UT,Utah County,127.5
84044,Magna,UT,Salt Lake County,91.5
84664,Mapleton,UT,Utah County,127.5
84047,Midvale,UT,Salt Lake County,91.5
84049,Midway,UT,Wasatch County,64.0
84648,Nephi,UT,Juab County,64.0
84055,Oakley,UT,Summit County,64.0
84057,Orem,UT,Utah County,127.5
84058,Orem,UT,Utah County,127.5
84097,Orem,UT,Utah County,127.5
84060,Park City,UT,Summit County,64.0
84068,Park City,UT,Summit County,64.0
84098,Park City,UT,Summit County,64.0
84651,Payson,UT,Utah County,127.5
84061,Peoa,UT,Summit County,64.0
84062,Pleasant Grove,UT,Utah County,127.5
84601,Provo,UT,Utah County,127.5
84602,Provo,UT,Utah County,127.5
84603,Provo,UT,Utah County,127.5
84604,Provo,UT,Utah County,127.5
84605,Provo,UT,Utah County,127.5
84606,Provo,UT,Utah County,127.5
84065,Riverton,UT,Salt Lake County,91.5
84653,Salem,UT,Utah County,127.5
84101,Salt Lake City,UT,Salt Lake County,91.5
84102,Salt Lake City,UT,Salt Lake County,91.5
84103,Salt Lake City,UT,Salt Lake County,91.5
84104,Salt Lake City,UT,Salt Lake County,91.5
84105,Salt Lake City,UT,Salt Lake County,91.5
84106,Salt Lake City,UT,Salt Lake County,91.5
84107,Salt Lake City,UT,Salt Lake County,91.5
84108,Salt Lake City,UT,Salt Lake County,91.5
84109,Salt Lake City,UT,Salt Lake County,91.5
84110,Salt Lake City,UT,Salt Lake County,91.5
84111,Salt Lake City,UT,Salt Lake County,91.5
84112,Salt Lake City,UT,Salt Lake County,91.5
84113,Salt Lake City,UT,Salt Lake County,91.5
84114,Salt Lake City,UT,Salt Lake County,91.5
84115,Salt Lake City,UT,Salt Lake County,91.5
84116,Salt Lake City,UT,Salt Lake County,91.5
84117,Salt Lake City,UT,Salt Lake County,91.5
84118,Salt Lake City,UT,Salt Lake County,91.5
84121,Salt Lake City,UT,Salt Lake County,91.5
84122,Salt Lake City,UT,Salt Lake County,91.5
84123,Salt Lake City,UT,Salt Lake County,91.5
84124,Salt Lake City,UT,Salt Lake County,91.5
84125,Salt Lake City,UT,Salt Lake County,91.5
84126,Salt Lake City,UT,Salt Lake County,91.5
84127,Salt Lake City,UT,Salt Lake County,91.5
84129,Salt Lake City,UT,Salt Lake County,91.5
84130,Salt Lake City,UT,Salt Lake County,91.5
84131,Salt Lake City,UT,Salt Lake County,91.5
84132,Salt Lake City,UT,Salt Lake County,91.5
84133,Salt Lake City,UT,Salt Lake County,91.5
84134,Salt Lake City,UT,Salt Lake County,91.5
84136,Salt Lake City,UT,Salt Lake County,91.5
84138,Salt Lake City,UT,Salt Lake County,91.5
84139,Salt Lake City,UT,Salt Lake County,91.5
84141,Salt Lake City,UT,Salt Lake County,91.5
84143,Salt Lake City,UT,Salt Lake County,91.5
84145,Salt Lake City,UT,Salt Lake County,91.5
84147,Salt Lake City,UT,Salt Lake County,91.5
84148,Salt Lake City,UT,Salt Lake County,91.5
84150,Salt Lake City,UT,Salt Lake County,91.5
84151,Salt Lake City,UT,Salt Lake County,91.5
84152,Salt Lake City,UT,Salt Lake County,91.5
84157,Salt Lake City,UT,Salt Lake County,91.5
84158,Salt Lake City,UT,Salt Lake County,91.5
84165,Salt Lake City,UT,Salt Lake County,91.5
84170,Salt Lake City,UT,Salt Lake County,91.5
84171,Salt Lake City,UT,Salt Lake County,91.5
84180,Salt Lake City,UT,Salt Lake County,91.5
84184,Salt Lake City,UT,Salt Lake County,91.5
84189,Salt Lake City,UT,Salt Lake County,91.5
84190,Salt Lake City,UT,Salt Lake County,91.5
84199,Salt Lake City,UT,Salt Lake County,91.5
84070,Sandy,UT,Salt Lake County,91.5
84090,Sandy,UT,Salt Lake County,91.5
84091,Sandy,UT,Salt Lake County,91.5
84092,Sandy,UT,Salt Lake County,91.5
84093,Sandy,UT,Salt Lake County,91.5
84094,Sandy,UT,Salt Lake County,91.5
84655,Santaquin,UT,Utah County,127.5
84045,Saratoga Springs,UT,Utah County,127.5
84009,South Jordan,UT,Salt Lake County,91.5
84095,South Jordan,UT,Salt Lake County,91.5
84660,Spanish Fork,UT,Utah County,127.5
84663,Springville,UT,Utah County,127.5
84074,Tooele,UT,Tooele County,65.5
84059,Vineyard,UT,Utah County,127.5
84082,Wallsburg,UT,Wasatch County,64.0
84081,West Jordan,UT,Salt Lake County,91.5
84084,West Jordan,UT,Salt Lake County,91.5
84088,West Jordan,UT,Salt Lake County,91.5
84119,West Valley City,UT,Salt Lake County,91.5
84120,West Valley City,UT,Salt Lake County,91.5
84128,West Valley City,UT,Salt Lake County,91.5
