zip,city,state,county,payout
20105,Aldie,VA,Loudoun County,88.0
22301,Alexandria,VA,Alexandria city,65.5
22302,Alexandria,VA,Alexandria city,65.5
22303,Alexandria,VA,Fairfax County,91.5
22304,Alexandria,VA,Alexandria city,65.5
22305,Alexandria,VA,Alexandria city,65.5
22306,Alexandria,VA,Fairfax County,91.5
22307,Alexandria,VA,Fairfax County,91.5
22308,Alexandria,VA,Fairfax County,91.5
22309,Alexandria,VA,Fairfax County,91.5
22310,Alexandria,VA,Fairfax County,91.5
22311,Alexandria,VA,Alexandria city,65.5
22312,Alexandria,VA,Fairfax County,91.5
22313,Alexandria,VA,Alexandria city,65.5
22314,Alexandria,VA,Alexandria city,65.5
22315,Alexandria,VA,Fairfax County,91.5
22320,Alexandria,VA,Alexandria city,65.5
22331,Alexandria,VA,Alexandria city,65.5
22332,Alexandria,VA,Alexandria city,65.5
22333,Alexandria,VA,Alexandria city,65.5
22334,Alexandria,VA,Alexandria city,65.5
22350,Alexandria,VA,Virginia Statewide,65.5
20106,Amissville,VA,Culpeper County,64.0
22003,Annandale,VA,Fairfax County,91.5
22201,Arlington,VA,Arlington County,65.5
22202,Arlington,VA,Arlington County,65.5
22203,Arlington,VA,Arlington County,65.5
22204,Arlington,VA,Arlington County,65.5
22205,Arlington,VA,Arlington County,65.5
22206,Arlington,VA,Arlington County,65.5
22207,Arlington,VA,Arlington County,65.5
22209,Arlington,VA,Arlington County,65.5
22210,Arlington,VA,Arlington County,65.5
22212,Arlington,VA,Arlington County,65.5
22213,Arlington,VA,Arlington County,65.5
22214,Arlington,VA,Arlington County,65.5
22215,Arlington,VA,Arlington County,65.5
22216,Arlington,VA,Arlington County,65.5
22217,Arlington,VA,Arlington County,65.5
22219,Arlington,VA,Arlington County,65.5
22225,Arlington,VA,Arlington County,65.5
22226,Arlington,VA,Arlington County,65.5
22227,Arlington,VA,Arlington County,65.5
22230,Arlington,VA,Arlington County,65.5
22240,Arlington,VA,Arlington County,65.5
22241,Arlington,VA,Arlington County,65.5
22242,Arlington,VA,Arlington County,65.5
22243,Arlington,VA,Arlington County,65.5
22244,Arlington,VA,Arlington County,65.5
22245,Arlington,VA,Arlington County,65.5
22246,Arlington,VA,Arlington County,65.5
22709,Aroda,VA,Madison County,64.0
20146,Ashburn,VA,Loudoun County,88.0
20147,Ashburn,VA,Loudoun County,88.0
20148,Ashburn,VA,Loudoun County,88.0
20149,Ashburn,VA,Loudoun County,88.0
23005,Ashland,VA,Hanover County,65.5
22711,Banco,VA,Madison County,64.0
23011,Barhamsville,VA,New Kent County,65.5
22712,Bealeton,VA,Fauquier County,65.5
23014,Beaumont,VA,Powhatan County,64.0
20135,Bluemont,VA,Clarke County,43.0
22713,Boston,VA,Culpeper County,64.0
22714,Brandy Station,VA,Culpeper County,64.0
22715,Brightwood,VA,Madison County,64.0
20136,Bristow,VA,Prince William County,65.5
20137,Broad Run,VA,Fauquier County,65.5
23024,Bumpass,VA,Louisa County,65.5
22009,Burke,VA,Fairfax County,91.5
22015,Burke,VA,Fairfax County,91.5
22433,Burr Hill,VA,Orange County,64.0
20138,Calverton,VA,Fauquier County,65.5
20139,Casanova,VA,Fauquier County,65.5
22716,Castleton,VA,Rappahannock County,64.0
20143,Catharpin,VA,Prince William County,65.5
20119,Catlett,VA,Fauquier County,65.5
20120,Centreville,VA,Fairfax County,91.5
20121,Centreville,VA,Fairfax County,91.5
20122,Centreville,VA,Fairfax County,91.5
20151,Chantilly,VA,Fairfax County,91.5
20152,Chantilly,VA,Loudoun County,88.0
20153,Chantilly,VA,Fairfax County,91.5
22623,Chester Gap,VA,Rappahannock County,64.0
20124,Clifton,VA,Fairfax County,91.5
23834,Colonial Heights,VA,Colonial Heights City County,65.5
23038,Columbia,VA,Goochland County,64.0
23039,Crozier,VA,Goochland County,64.0
22701,Culpeper,VA,Culpeper County,64.0
20144,Delaplane,VA,Fauquier County,65.5
20598,Dhs,VA,Fairfax County,88.0
23047,Doswell,VA,Hanover County,65.5
20101,Dulles,VA,Loudoun County,88.0
20102,Dulles,VA,Loudoun County,88.0
20103,Dulles,VA,Loudoun County,88.0
20104,Dulles,VA,Loudoun County,88.0
20189,Dulles,VA,Loudoun County,88.0
22025,Dumfries,VA,Prince William County,65.5
22026,Dumfries,VA,Prince William County,65.5
22027,Dunn Loring,VA,Fairfax County,91.5
22718,Elkwood,VA,Culpeper County,64.0
22719,Etlan,VA,Madison County,64.0
22030,Fairfax,VA,Fairfax County,91.5
22031,Fairfax,VA,Fairfax County,91.5
22032,Fairfax,VA,Fairfax County,91.5
22033,Fairfax,VA,Fairfax County,91.5
22034,Fairfax,VA,Fairfax City County,91.5
22035,Fairfax,VA,Fairfax County,91.5
22036,Fairfax,VA,Fairfax City County,91.5
22037,Fairfax,VA,Fairfax City County,91.5
22038,Fairfax,VA,Fairfax City County,64.0
22039,Fairfax Station,VA,Fairfax County,91.5
22040,Falls Church,VA,Falls Church City County,64.0
22041,Falls Church,VA,Fairfax County,91.5
22042,Falls Church,VA,Fairfax County,91.5
22043,Falls Church,VA,Fairfax County,91.5
22044,Falls Church,VA,Fairfax County,91.5
22046,Falls Church,VA,Falls Church City County,64.0
22627,Flint Hill,VA,Rappahannock County,64.0
22060,Fort Belvoir,VA,Fairfax County,91.5
22211,Fort Myer,VA,Arlington County,65.5
22403,Fredericksburg,VA,Fredericksburg City County,65.5
22412,Fredericksburg,VA,Fredericksburg City County,65.5
20155,Gainesville,VA,Prince William County,65.5
20156,Gainesville,VA,Prince William County,65.5
