zip,city,state,county,payout
99001,Airway Heights,WA,Spokane County,65.5
98221,Anacortes,WA,Skagit County,65.5
98223,Arlington,WA,Snohomish County,88.0
98001,Auburn,WA,King County,88.0
98002,Auburn,WA,King County,88.0
98071,Auburn,WA,King County,88.0
98092,Auburn,WA,King County,88.0
98224,Baring,WA,King County,88.0
98004,Bellevue,WA,King County,88.0
98005,Bellevue,WA,King County,88.0
98006,Bellevue,WA,King County,88.0
98007,Bellevue,WA,King County,88.0
98008,Bellevue,WA,King County,88.0
98009,Bellevue,WA,King County,88.0
98015,Bellevue,WA,King County,88.0
99320,Benton City,WA,Benton County,65.5
98010,Black Diamond,WA,King County,88.0
98391,Bonney Lake,WA,Pierce County,65.5
98011,Bothell,WA,King County,88.0
98012,Bothell,WA,Snohomish County,88.0
98021,Bothell,WA,Snohomish County,88.0
98041,Bothell,WA,King County,88.0
98232,Bow,WA,Skagit County,65.5
98321,Buckley,WA,Pierce County,65.5
98233,Burlington,WA,Skagit County,65.5
98013,Burton,WA,King County,88.0
98282,Camano Island,WA,Island County,64.0
98014,Carnation,WA,King County,88.0
99003,Chattaroy,WA,Spokane County,65.5
99004,Cheney,WA,Spokane County,65.5
98235,Clearlake,WA,Skagit County,65.5
98236,Clinton,WA,Island County,64.0
99005,Colbert,WA,Spokane County,65.5
98237,Concrete,WA,Skagit County,65.5
99326,Connell,WA,Franklin County,65.5
98238,Conway,WA,Skagit County,65.5
98241,Darrington,WA,Snohomish County,88.0
99006,Deer Park,WA,Spokane County,65.5
98019,Duvall,WA,King County,88.0
98020,Edmonds,WA,Snohomish County,88.0
98026,Edmonds,WA,Snohomish County,88.0
99009,Elk,WA,Spokane County,65.5
99330,Eltopia,WA,Franklin County,65.5
98022,Enumclaw,WA,King County,88.0
98201,Everett,WA,Snohomish County,88.0
98203,Everett,WA,Snohomish County,88.0
98204,Everett,WA,Snohomish County,88.0
98206,Everett,WA,Snohomish County,88.0
98207,Everett,WA,Snohomish County,88.0
98208,Everett,WA,Snohomish County,88.0
98213,Everett,WA,Snohomish County,88.0
99011,Fairchild Air Force Base,WA,Spokane County,65.5
99012,Fairfield,WA,Spokane County,65.5
98024,Fall City,WA,King County,88.0
98003,Federal Way,WA,King County,88.0
98023,Federal Way,WA,King County,88.0
98063,Federal Way,WA,King County,88.0
98093,Federal Way,WA,King County,88.0
98424,Fife,WA,Pierce County,65.5
99014,Four Lakes,WA,Spokane County,65.5
98333,Fox Island,WA,Pierce County,65.5
98332,Gig Harbor,WA,Pierce County,65.5
98335,Gig Harbor,WA,Pierce County,65.5
98251,Gold Bar,WA,Snohomish County,88.0
98252,Granite Falls,WA,Snohomish County,88.0
99016,Greenacres,WA,Spokane County,65.5
98255,Hamilton,WA,Skagit County,65.5
98025,Hobart,WA,King County,88.0
98256,Index,WA,Snohomish County,88.0
98027,Issaquah,WA,King County,88.0
98029,Issaquah,WA,King County,88.0
99335,Kahlotus,WA,Franklin County,65.5
98028,Kenmore,WA,King County,88.0
99336,Kennewick,WA,Benton County,65.5
99337,Kennewick,WA,Benton County,65.5
99338,Kennewick,WA,Benton County,65.5
98030,Kent,WA,King County,88.0
98031,Kent,WA,King County,88.0
98032,Kent,WA,King County,88.0
98035,Kent,WA,King County,88.0
98042,Kent,WA,King County,88.0
98064,Kent,WA,King County,88.0
98089,Kent,WA,King County,88.0
98033,Kirkland,WA,King County,88.0
98034,Kirkland,WA,King County,88.0
98083,Kirkland,WA,King County,88.0
98257,La Conner,WA,Skagit County,65.5
98258,Lake Stevens,WA,Snohomish County,88.0
98439,Lakewood,WA,Pierce County,65.5
98496,Lakewood,WA,Pierce County,65.5
98497,Lakewood,WA,Pierce County,65.5
98498,Lakewood,WA,Pierce County,65.5
98499,Lakewood,WA,Pierce County,65.5
98260,Langley,WA,Island County,64.0
99018,Latah,WA,Spokane County,65.5
99019,Liberty Lake,WA,Spokane County,65.5
98263,Lyman,WA,Skagit County,65.5
98036,Lynnwood,WA,Snohomish County,88.0
98037,Lynnwood,WA,Snohomish County,88.0
98046,Lynnwood,WA,Snohomish County,88.0
98087,Lynnwood,WA,Snohomish County,88.0
98038,Maple Valley,WA,King County,88.0
98267,Marblemount,WA,Skagit County,65.5
99020,Marshall,WA,Spokane County,65.5
98270,Marysville,WA,Snohomish County,88.0
98271,Marysville,WA,Snohomish County,88.0
98438,Mcchord Afb,WA,Pierce County,65.5
99021,Mead,WA,Spokane County,65.5
99022,Medical Lake,WA,Spokane County,65.5
98039,Medina,WA,King County,88.0
98040,Mercer Island,WA,King County,88.0
99343,Mesa,WA,Franklin County,65.5
99023,Mica,WA,Spokane County,65.5
98082,Mill Creek,WA,Washington Statewide,88.0
98354,Milton,WA,Pierce County,65.5
98272,Monroe,WA,Snohomish County,88.0
98273,Mount Vernon,WA,Skagit County,65.5
98274,Mount Vernon,WA,Skagit County,65.5
98043,Mountlake Terrace,WA,Snohomish County,88.0
98275,Mukilteo,WA,Snohomish County,88.0
99025,Newman Lake,WA,Spokane County,65.5
98045,North Bend,WA,King County,88.0
98259,North Lakewood,WA,Snohomish County,88.0
99027,Otis Orchards,WA,Spokane County,65.5
98047,Pacific,WA,King County,88.0
98398,Paradise Inn,WA,Lewis County,65.5
99301,Pasco,WA,Franklin County,65.5
99302,Pasco,WA,Franklin County,65.5
99345,Paterson,WA,Benton County,65.5
99346,Plymouth,WA,Benton County,65.5
98050,Preston,WA,King County,88.0
99350,Prosser,WA,Benton County,65.5
98371,Puyallup,WA,Pierce County,65.5
98372,Puyallup,WA,Pierce County,65.5
98373,Puyallup,WA,Pierce County,65.5
98374,Puyallup,WA,Pierce County,65.5
98375,Puyallup,WA,Pierce County,65.5
98051,Ravensdale,WA,King County,88.0
98052,Redmond,WA,King County,88.0
98053,Redmond,WA,King County,88.0
98073,Redmond,WA,King County,88.0
98055,Renton,WA,King County,88.0
98056,Renton,WA,King County,88.0
98057,Renton,WA,King County,88.0
98058,Renton,WA,King County,88.0
98059,Renton,WA,King County,88.0
99352,Richland,WA,Benton County,65.5
99354,Richland,WA,Benton County,65.5
99030,Rockford,WA,Spokane County,65.5
98283,Rockport,WA,Skagit County,65.5
98074,Sammamish,WA,King County,88.0
98075,Sammamish,WA,King County,88.0
98062,Seahurst,WA,King County,88.0
98101,Seattle,WA,King County,88.0
98102,Seattle,WA,King County,88.0
98103,Seattle,WA,King County,88.0
98104,Seattle,WA,King County,88.0
98105,Seattle,WA,King County,88.0
98106,Seattle,WA,King County,88.0
98107,Seattle,WA,King County,88.0
98108,Seattle,WA,King County,88.0
98109,Seattle,WA,King County,88.0
98111,Seattle,WA,King County,88.0
98112,Seattle,WA,King County,88.0
98113,Seattle,WA,King County,88.0
98114,Seattle,WA,King County,88.0
98115,Seattle,WA,King County,88.0
98116,Seattle,WA,King County,88.0
98117,Seattle,WA,King County,88.0
98118,Seattle,WA,King County,88.0
98119,Seattle,WA,King County,88.0
98121,Seattle,WA,King County,88.0
98122,Seattle,WA,King County,88.0
98124,Seattle,WA,King County,88.0
98125,Seattle,WA,King County,88.0
98126,Seattle,WA,King County,88.0
98127,Seattle,WA,King County,88.0
98129,Seattle,WA,King County,88.0
98131,Seattle,WA,King County,88.0
98133,Seattle,WA,King County,88.0
98134,Seattle,WA,King County,88.0
98136,Seattle,WA,King County,88.0
98138,Seattle,WA,King County,88.0
98139,Seattle,WA,King County,88.0
98141,Seattle,WA,King County,88.0
98144,Seattle,WA,King County,88.0
98145,Seattle,WA,King County,88.0
98146,Seattle,WA,King County,88.0
98148,Seattle,WA,King County,88.0
98154,Seattle,WA,King County,88.0
98155,Seattle,WA,King County,88.0
98158,Seattle,WA,King County,88.0
98160,Seattle,WA,King County,88.0
98161,Seattle,WA,King County,88.0
98164,Seattle,WA,King County,88.0
98165,Seattle,WA,King County,88.0
98166,Seattle,WA,King County,88.0
98168,Seattle,WA,King County,88.0
98170,Seattle,WA,King County,88.0
98174,Seattle,WA,King County,88.0
98175,Seattle,WA,King County,88.0
98177,Seattle,WA,King County,88.0
98178,Seattle,WA,King County,88.0
98181,Seattle,WA,King County,88.0
98185,Seattle,WA,King County,88.0
98188,Seattle,WA,King County,88.0
98190,Seattle,WA,King County,88.0
98191,Seattle,WA,King County,88.0
98194,Seattle,WA,King County,88.0
98195,Seattle,WA,King County,88.0
98198,Seattle,WA,King County,88.0
98199,Seattle,WA,King County,88.0
98284,Sedro Woolley,WA,Skagit County,65.5
98287,Silvana,WA,Snohomish County,88.0
98288,Skykomish,WA,King County,88.0
98290,Snohomish,WA,Snohomish County,88.0
98291,Snohomish,WA,Snohomish County,88.0
98296,Snohomish,WA,Snohomish County,88.0
98065,Snoqualmie,WA,King County,88.0
98068,Snoqualmie Pass,WA,Kittitas County,88.0
98385,South Prairie,WA,Pierce County,65.5
98387,Spanaway,WA,Pierce County,65.5
99031,Spangle,WA,Spokane County,65.5
99201,Spokane,WA,Spokane County,65.5
99202,Spokane,WA,Spokane County,65.5
99203,Spokane,WA,Spokane County,65.5
99204,Spokane,WA,Spokane County,65.5
99205,Spokane,WA,Spokane County,65.5
99206,Spokane,WA,Spokane County,65.5
99207,Spokane,WA,Spokane County,65.5
99208,Spokane,WA,Spokane County,65.5
99209,Spokane,WA,Spokane County,65.5
99210,Spokane,WA,Spokane County,65.5
99211,Spokane,WA,Spokane County,65.5
99212,Spokane,WA,Spokane County,65.5
99213,Spokane,WA,Spokane County,65.5
99214,Spokane,WA,Spokane County,65.5
99215,Spokane,WA,Spokane County,65.5
99216,Spokane,WA,Spokane County,65.5
99217,Spokane,WA,Spokane County,65.5
99218,Spokane,WA,Spokane County,65.5
99219,Spokane,WA,Spokane County,65.5
99220,Spokane,WA,Spokane County,65.5
99223,Spokane,WA,Spokane County,65.5
99224,Spokane,WA,Spokane County,65.5
99228,Spokane,WA,Spokane County,65.5
99251,Spokane,WA,Spokane County,65.5
99252,Spokane,WA,Spokane County,65.5
99256,Spokane,WA,Spokane County,65.5
99258,Spokane,WA,Spokane County,65.5
99260,Spokane,WA,Spokane County,65.5
98292,Stanwood,WA,Snohomish County,88.0
98293,Startup,WA,Snohomish County,88.0
98294,Sultan,WA,Snohomish County,88.0
98352,Sumner,WA,Pierce County,65.5
98390,Sumner,WA,Pierce County,65.5
98401,Tacoma,WA,Pierce County,65.5
98402,Tacoma,WA,Pierce County,65.5
98403,Tacoma,WA,Pierce County,65.5
98404,Tacoma,WA,Pierce County,65.5
98405,Tacoma,WA,Pierce County,65.5
98406,Tacoma,WA,Pierce County,65.5
98407,Tacoma,WA,Pierce County,65.5
98408,Tacoma,WA,Pierce County,65.5
98409,Tacoma,WA,Pierce County,65.5
98411,Tacoma,WA,Pierce County,65.5
98412,Tacoma,WA,Pierce County,65.5
98413,Tacoma,WA,Pierce County,65.5
98415,Tacoma,WA,Pierce County,65.5
98416,Tacoma,WA,Pierce County,65.5
98417,Tacoma,WA,Pierce County,65.5
98418,Tacoma,WA,Pierce County,65.5
98419,Tacoma,WA,Pierce County,65.5
98421,Tacoma,WA,Pierce County,65.5
98422,Tacoma,WA,Pierce County,65.5
98443,Tacoma,WA,Pierce County,65.5
98444,Tacoma,WA,Pierce County,65.5
98445,Tacoma,WA,Pierce County,65.5
98446,Tacoma,WA,Pierce County,65.5
98447,Tacoma,WA,Pierce County,65.5
98448,Tacoma,WA,Pierce County,65.5
98464,Tacoma,WA,Pierce County,65.5
98465,Tacoma,WA,Pierce County,65.5
98466,Tacoma,WA,Pierce County,65.5
98471,Tacoma,WA,Pierce County,65.5
98481,Tacoma,WA,Pierce County,65.5
98490,Tacoma,WA,Pierce County,65.5
98493,Tacoma,WA,Pierce County,65.5
98467,University Place,WA,Pierce County,65.5
99036,Valleyford,WA,Spokane County,65.5
98070,Vashon,WA,King County,88.0
99037,Veradale,WA,Spokane County,65.5
99039,Waverly,WA,Spokane County,65.5
99353,West Richland,WA,Benton County,65.5
98072,Woodinville,WA,King County,88.0
98077,Woodinville,WA,King County,88.0
