zip,city,state,county,payout
25410,Bakerton,WV,Washington County,65.5
25413,Bunker Hill,WV,Berkeley County,65.5
25414,Charles Town,WV,Jefferson County,65.5
25419,Falling Waters,WV,Berkeley County,65.5
25420,Gerrardstown,WV,Berkeley County,65.5
25421,Glengary,WV,Berkeley County,65.5
25423,Halltown,WV,Jefferson County,65.5
25425,Harpers Ferry,WV,Jefferson County,65.5
25427,Hedgesville,WV,Berkeley County,65.5
25428,Inwood,WV,Berkeley County,65.5
25430,Kearneysville,WV,Jefferson County,65.5
25401,Martinsburg,WV,Berkeley County,65.5
25402,Martinsburg,WV,Berkeley County,65.5
25403,Martinsburg,WV,Berkeley County,65.5
25404,Martinsburg,WV,Berkeley County,65.5
25405,Martinsburg,WV,Berkeley County,65.5
25432,Millville,WV,Jefferson County,65.5
25438,Ranson,WV,Jefferson County,65.5
25440,Ridgeway,WV,Berkeley County,65.5
25441,Rippon,WV,Jefferson County,65.5
25442,Shenandoah Junction,WV,Jefferson County,65.5
25443,Shepherdstown,WV,Jefferson County,65.5
25446,Summit Point,WV,Jefferson County,65.5
