zip,city,state,county,payout
46030,Arcadia,IN,Hamilton County,44.5
46031,Atlanta,IN,Hamilton County,44.5
46123,Avon,IN,Hendricks County,46.0
46112,Brownsburg,IN,Hendricks County,46.0
46113,Camby,IN,Marion County,44.5
46032,Carmel,IN,Hamilton County,44.5
46033,Carmel,IN,Hamilton County,44.5
46034,Cicero,IN,Hamilton County,44.5
46118,Clayton,IN,Hendricks County,46.0
47933,Crawfordsville,IN,Montgomery County,44.5
46122,Danville,IN,Hendricks County,46.0
47940,Darlington,IN,Montgomery County,44.5
46037,Fishers,IN,Hamilton County,44.5
46038,Fishers,IN,Hamilton County,44.5
46040,Fortville,IN,Hamilton County,44.5
46041,Frankfort,IN,Clinton County,44.5
46142,Greenwood,IN,Johnson County,44.5
46202,Indianapolis,IN,Marion County,44.5
46204,Indianapolis,IN,Marion County,44.5
46208,Indianapolis,IN,Marion County,44.5
46214,Indianapolis,IN,Marion County,44.5
46216,Indianapolis,IN,Marion County,44.5
46217,Indianapolis,IN,Marion County,44.5
46220,Indianapolis,IN,Marion County,44.5
46221,Indianapolis,IN,Marion County,44.5
46222,Indianapolis,IN,Marion County,44.5
46224,Indianapolis,IN,Marion County,44.5
46225,Indianapolis,IN,Marion County,44.5
46226,Indianapolis,IN,Marion County,44.5
46227,Indianapolis,IN,Marion County,44.5
46228,Indianapolis,IN,Marion County,44.5
46231,Indianapolis,IN,Marion County,44.5
46234,Indianapolis,IN,Marion County,44.5
46236,Indianapolis,IN,Marion County,44.5
46240,Indianapolis,IN,Marion County,44.5
46241,Indianapolis,IN,Marion County,44.5
46250,Indianapolis,IN,Marion County,44.5
46254,Indianapolis,IN,Marion County,44.5
46256,Indianapolis,IN,Marion County,44.5
46260,Indianapolis,IN,Marion County,44.5
46268,Indianapolis,IN,Marion County,44.5
46280,Indianapolis,IN,Hamilton County,44.5
46147,Jamestown,IN,Boone County,44.5
46050,Kirklin,IN,Clinton County,44.5
46052,Lebanon,IN,Boone County,44.5
46149,Lizton,IN,Hendricks County,46.0
46055,Mccordsville,IN,Hancock County,44.5
46158,Mooresville,IN,Morgan County,44.5
47968,New Ross,IN,Montgomery County,44.5
46060,Noblesville,IN,Hamilton County,44.5
46062,Noblesville,IN,Hamilton County,44.5
46165,North Salem,IN,Hendricks County,46.0
46064,Pendleton,IN,Madison County,44.5
46167,Pittsboro,IN,Hendricks County,46.0
46168,Plainfield,IN,Hendricks County,46.0
46069,Sheridan,IN,Hamilton County,44.5
46071,Thorntown,IN,Boone County,44.5
46074,Westfield,IN,Hamilton County,44.5
46075,Whitestown,IN,Boone County,44.5
46077,Zionsville,IN,Boone County,44.5
