zip,city,state,county,payout
08501,Allentown,NJ,Monmouth County,38.5
08106,Audubon,NJ,Camden County,38.5
08007,Barrington,NJ,Camden County,38.5
08031,Bellmawr,NJ,Camden County,38.5
08009,Berlin,NJ,Camden County,38.5
08012,Blackwood,NJ,Camden County,38.5
08102,Camden,NJ,Camden County,38.5
08103,Camden,NJ,Camden County,38.5
08104,Camden,NJ,Camden County,38.5
08105,Camden,NJ,Camden County,38.5
08002,Cherry Hill,NJ,Camden County,38.5
08003,Cherry Hill,NJ,Camden County,38.5
08034,Cherry Hill,NJ,Camden County,38.5
08020,Clarksboro,NJ,Gloucester County,38.5
08021,Clementon,NJ,Camden County,38.5
08108,Collingswood,NJ,Camden County,38.5
08026,Gibbsboro,NJ,Camden County,38.5
08027,Gibbstown,NJ,Gloucester County,38.5
08028,Glassboro,NJ,Gloucester County,38.5
08029,Glendora,NJ,Camden County,38.5
08030,Gloucester City,NJ,Camden County,38.5
08035,Haddon Heights,NJ,Camden County,38.5
08033,Haddonfield,NJ,Camden County,38.5
08045,Lawnside,NJ,Camden County,38.5
08049,Magnolia,NJ,Camden County,38.5
08051,Mantua,NJ,Gloucester County,38.5
08109,Merchantville,NJ,Camden County,38.5
08056,Mickleton,NJ,Gloucester County,38.5
08059,Mount Ephraim,NJ,Camden County,38.5
08061,Mount Royal,NJ,Gloucester County,38.5
08062,Mullica Hill,NJ,Gloucester County,38.5
08063,National Park,NJ,Gloucester County,38.5
08107,Oaklyn,NJ,Camden County,38.5
08066,Paulsboro,NJ,Gloucester County,38.5
08110,Pennsauken,NJ,Camden County,38.5
08071,Pitman,NJ,Gloucester County,38.5
08074,Richwood,NJ,Gloucester County,38.5
08078,Runnemede,NJ,Camden County,38.5
08080,Sewell,NJ,Gloucester County,38.5
08081,Sicklerville,NJ,Camden County,38.5
08083,Somerdale,NJ,Camden County,38.5
08084,Stratford,NJ,Camden County,38.5
08085,Swedesboro,NJ,Gloucester County,38.5
08086,Thorofare,NJ,Gloucester County,38.5
08043,Voorhees,NJ,Camden County,38.5
08090,Wenonah,NJ,Gloucester County,38.5
08091,West Berlin,NJ,Camden County,38.5
08093,Westville,NJ,Gloucester County,38.5
08096,Woodbury,NJ,Gloucester County,38.5
08097,Woodbury Heights,NJ,Gloucester County,38.5
