zip,city,state,county,payout
12201,Albany,NY,Albany County,34.5
12202,Albany,NY,Albany County,34.5
12203,Albany,NY,Albany County,34.5
12204,Albany,NY,Albany County,34.5
12205,Albany,NY,Albany County,34.5
12206,Albany,NY,Albany County,34.5
12207,Albany,NY,Albany County,34.5
12208,Albany,NY,Albany County,34.5
12209,Albany,NY,Albany County,34.5
12210,Albany,NY,Albany County,34.5
12211,Albany,NY,Albany County,34.5
12212,Albany,NY,Albany County,34.5
12214,Albany,NY,Albany County,34.5
12220,Albany,NY,Albany County,34.5
12222,Albany,NY,Albany County,34.5
12223,Albany,NY,Albany County,34.5
12224,Albany,NY,Albany County,34.5
12225,Albany,NY,Albany County,34.5
12226,Albany,NY,Albany County,34.5
12227,Albany,NY,Albany County,34.5
12228,Albany,NY,Albany County,34.5
12229,Albany,NY,Albany County,34.5
12230,Albany,NY,Albany County,34.5
12231,Albany,NY,Albany County,34.5
12232,Albany,NY,Albany County,34.5
12233,Albany,NY,Albany County,34.5
12234,Albany,NY,Albany County,34.5
12235,Albany,NY,Albany County,34.5
12236,Albany,NY,Albany County,34.5
12237,Albany,NY,Albany County,34.5
12238,Albany,NY,Albany County,34.5
12239,Albany,NY,Albany County,34.5
12240,Albany,NY,Albany County,34.5
12241,Albany,NY,Albany County,34.5
12242,Albany,NY,Albany County,34.5
12243,Albany,NY,Albany County,34.5
12244,Albany,NY,Albany County,34.5
12245,Albany,NY,Albany County,34.5
12246,Albany,NY,Albany County,34.5
12247,Albany,NY,Albany County,34.5
12248,Albany,NY,Albany County,34.5
12249,Albany,NY,Albany County,34.5
12250,Albany,NY,Albany County,34.5
12252,Albany,NY,Albany County,34.5
12255,Albany,NY,Albany County,34.5
12256,Albany,NY,Albany County,34.5
12257,Albany,NY,Albany County,34.5
12260,Albany,NY,Albany County,34.5
12261,Albany,NY,Albany County,34.5
12288,Albany,NY,Albany County,34.5
12007,Alcove,NY,Albany County,34.5
12008,Alplaus,NY,Schenectady County,34.5
12009,Altamont,NY,Albany County,34.5
12019,Ballston Lake,NY,Saratoga County,34.5
12020,Ballston Spa,NY,Saratoga County,34.5
12023,Berne,NY,Albany County,34.5
12027,Burnt Hills,NY,Saratoga County,34.5
12041,Clarksville,NY,Albany County,34.5
12065,Clifton Park,NY,Saratoga County,34.5
12045,Coeymans,NY,Albany County,34.5
12046,Coeymans Hollow,NY,Albany County,34.5
12047,Cohoes,NY,Albany County,34.5
12822,Corinth,NY,Saratoga County,34.5
12053,Delanson,NY,Schenectady County,34.5
12054,Delmar,NY,Albany County,34.5
12055,Dormansville,NY,Albany County,34.5
12056,Duanesburg,NY,Schenectady County,34.5
12059,East Berne,NY,Albany County,34.5
12067,Feura Bush,NY,Albany County,34.5
12074,Galway,NY,Saratoga County,34.5
12831,Gansevoort,NY,Saratoga County,34.5
12077,Glenmont,NY,Albany County,34.5
12833,Greenfield Center,NY,Saratoga County,34.5
12084,Guilderland,NY,Albany County,34.5
12085,Guilderland Center,NY,Albany County,34.5
12835,Hadley,NY,Saratoga County,34.5
12107,Knox,NY,Albany County,34.5
12110,Latham,NY,Albany County,34.5
12118,Mechanicville,NY,Saratoga County,34.5
12120,Medusa,NY,Albany County,34.5
12850,Middle Grove,NY,Saratoga County,34.5
12128,Newtonville,NY,Albany County,34.5
12137,Pattersonville,NY,Schenectady County,34.5
12859,Porter Corners,NY,Saratoga County,34.5
12469,Preston Hollow,NY,Albany County,34.5
12141,Quaker Street,NY,Schenectady County,34.5
12143,Ravena,NY,Albany County,34.5
12147,Rensselaerville,NY,Albany County,34.5
12148,Rexford,NY,Saratoga County,34.5
12863,Rock City Falls,NY,Saratoga County,34.5
12150,Rotterdam Junction,NY,Schenectady County,34.5
12151,Round Lake,NY,Saratoga County,34.5
12866,Saratoga Springs,NY,Saratoga County,34.5
12301,Schenectady,NY,Schenectady County,34.5
12302,Schenectady,NY,Schenectady County,34.5
12303,Schenectady,NY,Schenectady County,34.5
12304,Schenectady,NY,Schenectady County,34.5
12305,Schenectady,NY,Schenectady County,34.5
12306,Schenectady,NY,Schenectady County,34.5
12307,Schenectady,NY,Schenectady County,34.5
12308,Schenectady,NY,Schenectady County,34.5
12309,Schenectady,NY,Schenectady County,34.5
12325,Schenectady,NY,Schenectady County,34.5
12871,Schuylerville,NY,Saratoga County,34.5
12158,Selkirk,NY,Albany County,34.5
12159,Slingerlands,NY,Albany County,34.5
12161,South Bethlehem,NY,Albany County,34.5
12803,South Glens Falls,NY,Saratoga County,34.5
12170,Stillwater,NY,Saratoga County,34.5
12183,Troy,NY,Albany County,34.5
12884,Victory Mills,NY,Saratoga County,34.5
12186,Voorheesville,NY,Albany County,34.5
12188,Waterford,NY,Saratoga County,34.5
12189,Watervliet,NY,Albany County,34.5
12193,Westerlo,NY,Albany County,34.5
