zip,city,state,county,payout
75001,Addison,TX,Dallas County,39.0
75002,Allen,TX,Collin County,39.0
75013,Allen,TX,Collin County,39.0
75409,Anna,TX,Collin County,39.0
76226,Argyle,TX,Denton County,39.0
76001,Arlington,TX,Tarrant County,39.0
76010,Arlington,TX,Tarrant County,39.0
76012,Arlington,TX,Tarrant County,39.0
76013,Arlington,TX,Tarrant County,39.0
76016,Arlington,TX,Tarrant County,39.0
76017,Arlington,TX,Tarrant County,39.0
76018,Arlington,TX,Tarrant County,39.0
78701,Austin,TX,Travis County,38.5
78702,Austin,TX,Travis County,38.5
78703,Austin,TX,Travis County,38.5
78704,Austin,TX,Travis County,38.5
78705,Austin,TX,Travis County,38.5
78712,Austin,TX,Travis County,38.5
78717,Austin,TX,Williamson County,38.5
78721,Austin,TX,Travis County,38.5
78722,Austin,TX,Travis County,38.5
78723,Austin,TX,Travis County,38.5
78726,Austin,TX,Travis County,38.5
78727,Austin,TX,Travis County,38.5
78728,Austin,TX,Travis County,38.5
78729,Austin,TX,Williamson County,38.5
78730,Austin,TX,Travis County,38.5
78731,Austin,TX,Travis County,38.5
78732,Austin,TX,Travis County,38.5
78733,Austin,TX,Travis County,38.5
78734,Austin,TX,Travis County,38.5
78735,Austin,TX,Travis County,38.5
78736,Austin,TX,Travis County,38.5
78737,Austin,TX,Hays County,38.5
78738,Austin,TX,Travis County,38.5
78739,Austin,TX,Travis County,38.5
78741,Austin,TX,Travis County,38.5
78745,Austin,TX,Travis County,38.5
78746,Austin,TX,Travis County,38.5
78748,Austin,TX,Travis County,38.5
78749,Austin,TX,Travis County,38.5
78750,Austin,TX,Travis County,38.5
78751,Austin,TX,Travis County,38.5
78752,Austin,TX,Travis County,38.5
78753,Austin,TX,Travis County,38.5
78756,Austin,TX,Travis County,38.5
78757,Austin,TX,Travis County,38.5
78758,Austin,TX,Travis County,38.5
78759,Austin,TX,Travis County,38.5
77520,Baytown,TX,Harris County,38.5
77521,Baytown,TX,Harris County,38.5
77417,Beasley,TX,Fort Bend County,38.5
76021,Bedford,TX,Tarrant County,39.0
76022,Bedford,TX,Tarrant County,39.0
77401,Bellaire,TX,Harris County,38.5
78004,Bergheim,TX,Kendall County,35.5
78006,Boerne,TX,Kendall County,35.5
78015,Boerne,TX,Bexar County,35.5
78163,Bulverde,TX,Comal County,35.5
78133,Canyon Lake,TX,Comal County,35.5
75006,Carrollton,TX,Dallas County,39.0
75007,Carrollton,TX,Denton County,39.0
75010,Carrollton,TX,Denton County,39.0
78613,Cedar Park,TX,Williamson County,38.5
75009,Celina,TX,Collin County,39.0
78108,Cibolo,TX,Guadalupe County,35.5
76034,Colleyville,TX,Tarrant County,39.0
77301,Conroe,TX,Montgomery County,38.5
77304,Conroe,TX,Montgomery County,38.5
77384,Conroe,TX,Montgomery County,38.5
77385,Conroe,TX,Montgomery County,38.5
78109,Converse,TX,Bexar County,35.5
75019,Coppell,TX,Dallas County,39.0
77429,Cypress,TX,Harris County,38.5
77433,Cypress,TX,Harris County,38.5
75201,Dallas,TX,Dallas County,39.0
75202,Dallas,TX,Dallas County,39.0
75204,Dallas,TX,Dallas County,39.0
75205,Dallas,TX,Dallas County,39.0
75206,Dallas,TX,Dallas County,39.0
75207,Dallas,TX,Dallas County,39.0
75208,Dallas,TX,Dallas County,39.0
75209,Dallas,TX,Dallas County,39.0
75212,Dallas,TX,Dallas County,39.0
75214,Dallas,TX,Dallas County,39.0
75218,Dallas,TX,Dallas County,39.0
75219,Dallas,TX,Dallas County,39.0
75220,Dallas,TX,Dallas County,39.0
75223,Dallas,TX,Dallas County,39.0
75224,Dallas,TX,Dallas County,39.0
75225,Dallas,TX,Dallas County,39.0
75227,Dallas,TX,Dallas County,39.0
75228,Dallas,TX,Dallas County,39.0
75229,Dallas,TX,Dallas County,39.0
75230,Dallas,TX,Dallas County,39.0
75231,Dallas,TX,Dallas County,39.0
75232,Dallas,TX,Dallas County,39.0
75233,Dallas,TX,Dallas County,39.0
75234,Dallas,TX,Dallas County,39.0
75235,Dallas,TX,Dallas County,39.0
75238,Dallas,TX,Dallas County,39.0
75240,Dallas,TX,Dallas County,39.0
75242,Dallas,TX,Dallas County,39.0
75243,Dallas,TX,Dallas County,39.0
75244,Dallas,TX,Dallas County,39.0
75246,Dallas,TX,Dallas County,39.0
75247,Dallas,TX,Dallas County,39.0
75248,Dallas,TX,Dallas County,39.0
75251,Dallas,TX,Dallas County,39.0
75252,Dallas,TX,Collin County,39.0
75254,Dallas,TX,Dallas County,39.0
75261,Dallas,TX,Tarrant County,39.0
75270,Dallas,TX,Dallas County,39.0
75275,Dallas,TX,Dallas County,39.0
75287,Dallas,TX,Denton County,39.0
75367,Dallas,TX,Dallas County,39.0
75390,Dallas,TX,Dallas County,39.0
77536,Deer Park,TX,Harris County,38.5
76207,Denton,TX,Denton County,39.0
76210,Denton,TX,Denton County,39.0
75137,Duncanville,TX,Dallas County,39.0
76039,Euless,TX,Tarrant County,39.0
76040,Euless,TX,Tarrant County,38.5
75442,Farmersville,TX,Collin County,39.0
78623,Fischer,TX,Comal County,35.5
75022,Flower Mound,TX,Denton County,39.0
75028,Flower Mound,TX,Denton County,39.0
