zip,city,state,county,payout
20105,Aldie,VA,Loudoun County,44.0
22301,Alexandria,VA,Alexandria city,44.0
22302,Alexandria,VA,Alexandria city,44.0
22303,Alexandria,VA,Fairfax County,44.0
22304,Alexandria,VA,Alexandria city,44.0
22305,Alexandria,VA,Alexandria city,44.0
22306,Alexandria,VA,Fairfax County,44.0
22307,Alexandria,VA,Fairfax County,44.0
22308,Alexandria,VA,Fairfax County,44.0
22309,Alexandria,VA,Fairfax County,44.0
22310,Alexandria,VA,Fairfax County,44.0
22311,Alexandria,VA,Alexandria city,44.0
22312,Alexandria,VA,Fairfax County,44.0
22314,Alexandria,VA,Alexandria city,44.0
22315,Alexandria,VA,Fairfax County,44.0
22003,Annandale,VA,Fairfax County,44.0
22201,Arlington,VA,Arlington County,44.0
22202,Arlington,VA,Arlington County,44.0
22203,Arlington,VA,Arlington County,44.0
22204,Arlington,VA,Arlington County,44.0
22205,Arlington,VA,Arlington County,44.0
22206,Arlington,VA,Arlington County,44.0
22207,Arlington,VA,Arlington County,44.0
22209,Arlington,VA,Arlington County,44.0
22213,Arlington,VA,Arlington County,44.0
22214,Arlington,VA,Arlington County,44.0
20147,Ashburn,VA,Loudoun County,44.0
20148,Ashburn,VA,Loudoun County,44.0
20135,Bluemont,VA,Clarke County,44.0
20136,Bristow,VA,Prince William County,38.5
22015,Burke,VA,Fairfax County,44.0
20143,Catharpin,VA,Prince William County,38.5
20120,Centreville,VA,Fairfax County,44.0
20121,Centreville,VA,Fairfax County,44.0
20151,Chantilly,VA,Fairfax County,44.0
20152,Chantilly,VA,Loudoun County,44.0
20124,Clifton,VA,Fairfax County,44.0
22025,Dumfries,VA,Prince William County,38.5
22026,Dumfries,VA,Prince William County,38.5
22027,Dunn Loring,VA,Fairfax County,44.0
22030,Fairfax,VA,Fairfax County,44.0
22031,Fairfax,VA,Fairfax County,44.0
22032,Fairfax,VA,Fairfax County,44.0
22033,Fairfax,VA,Fairfax County,44.0
22035,Fairfax,VA,Fairfax County,44.0
22039,Fairfax Station,VA,Fairfax County,44.0
22041,Falls Church,VA,Fairfax County,44.0
22042,Falls Church,VA,Fairfax County,44.0
22043,Falls Church,VA,Fairfax County,44.0
22044,Falls Church,VA,Fairfax County,44.0
22046,Falls Church,VA,Falls Church City County,44.0
22060,Fort Belvoir,VA,Fairfax County,44.0
22211,Fort Myer,VA,Arlington County,44.0
20155,Gainesville,VA,Prince William County,38.5
22066,Great Falls,VA,Fairfax County,44.0
20158,Hamilton,VA,Loudoun County,44.0
20169,Haymarket,VA,Prince William County,38.5
20170,Herndon,VA,Fairfax County,44.0
20171,Herndon,VA,Fairfax County,44.0
20192,Herndon,VA,Fairfax County,44.0
20175,Leesburg,VA,Loudoun County,44.0
20176,Leesburg,VA,Loudoun County,44.0
22079,Lorton,VA,Fairfax County,44.0
20180,Lovettsville,VA,Loudoun County,44.0
20109,Manassas,VA,Prince William County,38.5
20110,Manassas,VA,Manassas City County,38.5
20111,Manassas,VA,Prince William County,38.5
20112,Manassas,VA,Prince William County,38.5
22101,McLean,VA,Fairfax County,44.0
22102,McLean,VA,Fairfax County,44.0
20117,Middleburg,VA,Loudoun County,44.0
20118,Middleburg,VA,Loudoun County,44.0
20181,Nokesville,VA,Prince William County,38.5
22124,Oakton,VA,Fairfax County,44.0
22125,Occoquan,VA,Prince William County,38.5
20129,Paeonian Springs,VA,Loudoun County,44.0
20132,Purcellville,VA,Loudoun County,44.0
20140,Rectortown,VA,Fauquier County,44.0
20190,Reston,VA,Fairfax County,44.0
20191,Reston,VA,Fairfax County,44.0
20194,Reston,VA,Fairfax County,44.0
20141,Round Hill,VA,Loudoun County,44.0
22150,Springfield,VA,Fairfax County,44.0
22151,Springfield,VA,Fairfax County,44.0
22152,Springfield,VA,Fairfax County,44.0
22153,Springfield,VA,Fairfax County,44.0
20164,Sterling,VA,Loudoun County,44.0
20165,Sterling,VA,Loudoun County,44.0
20166,Sterling,VA,Loudoun County,44.0
20184,Upperville,VA,Fauquier County,44.0
22180,Vienna,VA,Fairfax County,44.0
22181,Vienna,VA,Fairfax County,44.0
22182,Vienna,VA,Fairfax County,44.0
22185,Vienna,VA,Fairfax County,44.0
20197,Waterford,VA,Loudoun County,44.0
22191,Woodbridge,VA,Prince William County,38.5
22192,Woodbridge,VA,Prince William County,38.5
22193,Woodbridge,VA,Prince William County,38.5
