zip,city,state,county,payout
98001,Auburn,WA,King County,45.0
98002,Auburn,WA,King County,45.0
98071,Auburn,WA,King County,45.0
98092,Auburn,WA,King County,45.0
98224,Baring,WA,King County,45.0
98004,Bellevue,WA,King County,45.0
98005,Bellevue,WA,King County,45.0
98006,Bellevue,WA,King County,45.0
98007,Bellevue,WA,King County,45.0
98008,Bellevue,WA,King County,45.0
98009,Bellevue,WA,King County,45.0
98015,Bellevue,WA,King County,45.0
98010,Black Diamond,WA,King County,45.0
98391,Bonney Lake,WA,Pierce County,39.0
98011,Bothell,WA,King County,45.0
98041,Bothell,WA,King County,45.0
98013,Burton,WA,King County,45.0
98014,Carnation,WA,King County,45.0
98019,Duvall,WA,King County,45.0
98022,Enumclaw,WA,King County,45.0
98024,Fall City,WA,King County,45.0
98003,Federal Way,WA,King County,45.0
98023,Federal Way,WA,King County,45.0
98063,Federal Way,WA,King County,45.0
98093,Federal Way,WA,King County,45.0
98424,Fife,WA,Pierce County,39.0
98335,Gig Harbor,WA,Pierce County,39.0
98025,Hobart,WA,King County,45.0
98027,Issaquah,WA,King County,45.0
98029,Issaquah,WA,King County,45.0
98028,Kenmore,WA,King County,45.0
98030,Kent,WA,King County,45.0
98031,Kent,WA,King County,45.0
98032,Kent,WA,King County,45.0
98035,Kent,WA,King County,45.0
98042,Kent,WA,King County,45.0
98064,Kent,WA,King County,45.0
98089,Kent,WA,King County,45.0
98033,Kirkland,WA,King County,45.0
98034,Kirkland,WA,King County,45.0
98083,Kirkland,WA,King County,45.0
98499,Lakewood,WA,Pierce County,39.0
98038,Maple Valley,WA,King County,45.0
98039,Medina,WA,King County,45.0
98040,Mercer Island,WA,King County,45.0
98082,Mill Creek,WA,Washington Statewide,45.0
98354,Milton,WA,Pierce County,39.0
98045,North Bend,WA,King County,45.0
98047,Pacific,WA,King County,45.0
98050,Preston,WA,King County,45.0
98371,Puyallup,WA,Pierce County,39.0
98372,Puyallup,WA,Pierce County,39.0
98373,Puyallup,WA,Pierce County,39.0
98374,Puyallup,WA,Pierce County,39.0
98375,Puyallup,WA,Pierce County,39.0
98051,Ravensdale,WA,King County,45.0
98052,Redmond,WA,King County,45.0
98053,Redmond,WA,King County,45.0
98073,Redmond,WA,King County,45.0
98055,Renton,WA,King County,45.0
98056,Renton,WA,King County,45.0
98057,Renton,WA,King County,45.0
98058,Renton,WA,King County,45.0
98059,Renton,WA,King County,45.0
98074,Sammamish,WA,King County,45.0
98075,Sammamish,WA,King County,45.0
98062,Seahurst,WA,King County,45.0
98101,Seattle,WA,King County,45.0
98102,Seattle,WA,King County,45.0
98103,Seattle,WA,King County,45.0
98104,Seattle,WA,King County,45.0
98105,Seattle,WA,King County,45.0
98106,Seattle,WA,King County,45.0
98107,Seattle,WA,King County,45.0
98108,Seattle,WA,King County,45.0
98109,Seattle,WA,King County,45.0
98111,Seattle,WA,King County,45.0
98112,Seattle,WA,King County,45.0
98113,Seattle,WA,King County,45.0
98114,Seattle,WA,King County,45.0
98115,Seattle,WA,King County,45.0
98116,Seattle,WA,King County,45.0
98117,Seattle,WA,King County,45.0
98118,Seattle,WA,King County,45.0
98119,Seattle,WA,King County,45.0
98121,Seattle,WA,King County,45.0
98122,Seattle,WA,King County,45.0
98124,Seattle,WA,King County,45.0
98125,Seattle,WA,King County,45.0
98126,Seattle,WA,King County,45.0
98127,Seattle,WA,King County,45.0
98129,Seattle,WA,King County,45.0
98131,Seattle,WA,King County,45.0
98133,Seattle,WA,King County,45.0
98134,Seattle,WA,King County,45.0
98136,Seattle,WA,King County,45.0
98138,Seattle,WA,King County,45.0
98139,Seattle,WA,King County,45.0
98141,Seattle,WA,King County,45.0
98144,Seattle,WA,King County,45.0
98145,Seattle,WA,King County,45.0
98146,Seattle,WA,King County,45.0
98148,Seattle,WA,King County,45.0
98154,Seattle,WA,King County,45.0
98155,Seattle,WA,King County,45.0
98158,Seattle,WA,King County,45.0
98160,Seattle,WA,King County,45.0
98161,Seattle,WA,King County,45.0
98164,Seattle,WA,King County,45.0
98165,Seattle,WA,King County,45.0
98166,Seattle,WA,King County,45.0
98168,Seattle,WA,King County,45.0
98170,Seattle,WA,King County,45.0
98174,Seattle,WA,King County,45.0
98175,Seattle,WA,King County,45.0
98177,Seattle,WA,King County,45.0
98178,Seattle,WA,King County,45.0
98181,Seattle,WA,King County,45.0
98185,Seattle,WA,King County,45.0
98188,Seattle,WA,King County,45.0
98190,Seattle,WA,King County,45.0
98191,Seattle,WA,King County,45.0
98194,Seattle,WA,King County,45.0
98195,Seattle,WA,King County,45.0
98198,Seattle,WA,King County,45.0
98199,Seattle,WA,King County,45.0
98288,Skykomish,WA,King County,45.0
98065,Snoqualmie,WA,King County,45.0
98068,Snoqualmie Pass,WA,Kittitas County,45.0
98390,Sumner,WA,Pierce County,39.0
98402,Tacoma,WA,Pierce County,39.0
98403,Tacoma,WA,Pierce County,39.0
98404,Tacoma,WA,Pierce County,39.0
98405,Tacoma,WA,Pierce County,39.0
98406,Tacoma,WA,Pierce County,39.0
98407,Tacoma,WA,Pierce County,39.0
98408,Tacoma,WA,Pierce County,39.0
98409,Tacoma,WA,Pierce County,39.0
98416,Tacoma,WA,Pierce County,39.0
98418,Tacoma,WA,Pierce County,39.0
98421,Tacoma,WA,Pierce County,39.0
98422,Tacoma,WA,Pierce County,39.0
98443,Tacoma,WA,Pierce County,39.0
98444,Tacoma,WA,Pierce County,39.0
98445,Tacoma,WA,Pierce County,39.0
98446,Tacoma,WA,Pierce County,39.0
98447,Tacoma,WA,Pierce County,39.0
98465,Tacoma,WA,Pierce County,39.0
98466,Tacoma,WA,Pierce County,39.0
98467,University Place,WA,Pierce County,39.0
98070,Vashon,WA,King County,45.0
98072,Woodinville,WA,King County,45.0
98077,Woodinville,WA,King County,45.0
