zip,city,state,county,payout
26521,Blacksville,WV,Monongalia County,44.5
26527,Cassville,WV,Monongalia County,44.5
26531,Dellslow,WV,Monongalia County,44.5
26570,Fairview,WV,Monongalia County,44.5
26534,Granville,WV,Monongalia County,44.5
26541,Maidsville,WV,Monongalia County,44.5
26501,Morgantown,WV,Monongalia County,44.5
26502,Morgantown,WV,Monongalia County,44.5
26504,Morgantown,WV,Monongalia County,44.5
26505,Morgantown,WV,Monongalia County,44.5
26506,Morgantown,WV,Monongalia County,44.5
26507,Morgantown,WV,Monongalia County,44.5
26508,Morgantown,WV,Monongalia County,44.5
26543,Osage,WV,Monongalia County,44.5
26546,Pursglove,WV,Monongalia County,44.5
