zip,city,state,county,payout
73301,Austin,TX,Travis County,137.5
73344,Austin,TX,Travis County,137.5
78701,Austin,TX,Travis County,137.5
78702,Austin,TX,Travis County,137.5
78703,Austin,TX,Travis County,137.5
78704,Austin,TX,Travis County,137.5
78705,Austin,TX,Travis County,137.5
78708,Austin,TX,Travis County,137.5
78709,Austin,TX,Travis County,137.5
78710,Austin,TX,Travis County,137.5
78711,Austin,TX,Travis County,137.5
78712,Austin,TX,Travis County,137.5
78713,Austin,TX,Travis County,137.5
78714,Austin,TX,Travis County,137.5
78715,Austin,TX,Travis County,137.5
78716,Austin,TX,Travis County,137.5
78718,Austin,TX,Travis County,137.5
78719,Austin,TX,Travis County,137.5
78720,Austin,TX,Travis County,137.5
78721,Austin,TX,Travis County,137.5
78722,Austin,TX,Travis County,137.5
78723,Austin,TX,Travis County,137.5
78724,Austin,TX,Travis County,137.5
78725,Austin,TX,Travis County,137.5
78726,Austin,TX,Travis County,137.5
78727,Austin,TX,Travis County,137.5
78728,Austin,TX,Travis County,137.5
78729,Austin,TX,Williamson County,137.5
78730,Austin,TX,Travis County,137.5
78731,Austin,TX,Travis County,137.5
78732,Austin,TX,Travis County,137.5
78733,Austin,TX,Travis County,137.5
78734,Austin,TX,Travis County,137.5
78735,Austin,TX,Travis County,137.5
78736,Austin,TX,Travis County,137.5
78737,Austin,TX,Hays County,137.5
78738,Austin,TX,Travis County,137.5
78739,Austin,TX,Travis County,137.5
78741,Austin,TX,Travis County,137.5
78742,Austin,TX,Travis County,137.5
78744,Austin,TX,Travis County,137.5
78745,Austin,TX,Travis County,137.5
78746,Austin,TX,Travis County,137.5
78747,Austin,TX,Travis County,137.5
78748,Austin,TX,Travis County,137.5
78749,Austin,TX,Travis County,137.5
78750,Austin,TX,Travis County,137.5
78751,Austin,TX,Travis County,137.5
78752,Austin,TX,Travis County,137.5
78753,Austin,TX,Travis County,137.5
78754,Austin,TX,Travis County,137.5
78755,Austin,TX,Travis County,137.5
78756,Austin,TX,Travis County,137.5
78757,Austin,TX,Travis County,137.5
78758,Austin,TX,Travis County,137.5
78759,Austin,TX,Travis County,137.5
78760,Austin,TX,Travis County,137.5
78761,Austin,TX,Travis County,137.5
78762,Austin,TX,Travis County,137.5
78763,Austin,TX,Travis County,137.5
78764,Austin,TX,Travis County,137.5
78765,Austin,TX,Travis County,137.5
78766,Austin,TX,Travis County,137.5
78767,Austin,TX,Travis County,137.5
78768,Austin,TX,Travis County,137.5
78769,Austin,TX,Travis County,137.5
78772,Austin,TX,Travis County,137.5
78773,Austin,TX,Travis County,137.5
78774,Austin,TX,Travis County,137.5
78778,Austin,TX,Travis County,137.5
78779,Austin,TX,Travis County,137.5
78783,Austin,TX,Travis County,137.5
78799,Austin,TX,Travis County,137.5
78605,Bertram,TX,Burnet County,137.5
78610,Buda,TX,Hays County,137.5
78612,Cedar Creek,TX,Bastrop County,137.5
78613,Cedar Park,TX,Williamson County,137.5
78615,Coupland,TX,Travis County,137.5
78616,Dale,TX,Caldwell County,137.5
78617,Del Valle,TX,Travis County,137.5
78620,Dripping Springs,TX,Hays County,137.5
78621,Elgin,TX,Bastrop County,137.5
78634,Hutto,TX,Williamson County,137.5
78640,Kyle,TX,Hays County,137.5
78641,Leander,TX,Williamson County,137.5
78645,Leander,TX,Travis County,137.5
78642,Liberty Hill,TX,Williamson County,137.5
78652,Manchaca,TX,Travis County,137.5
78653,Manor,TX,Travis County,137.5
78654,Marble Falls,TX,Burnet County,137.5
78651,Mc Neil,TX,Williamson County,137.5
78660,Pflugerville,TX,Travis County,137.5
78691,Pflugerville,TX,Travis County,137.5
78663,Round Mountain,TX,Blanco County,137.5
78664,Round Rock,TX,Williamson County,137.5
78681,Round Rock,TX,Williamson County,137.5
78669,Spicewood,TX,Travis County,137.5
76574,Taylor,TX,Williamson County,137.5
