zip,city,state,county,payout
85320,Aguila,AZ,Maricopa County,42.5
85321,Ajo,AZ,Pima County,42.5
85920,Alpine,AZ,Apache County,42.5
85645,Amado,AZ,Pima County,42.5
85117,Apache Junction,AZ,Pinal County,42.5
85119,Apache Junction,AZ,Pinal County,42.5
85120,Apache Junction,AZ,Pinal County,42.5
85178,Apache Junction,AZ,Pinal County,42.5
85217,Apache Junction,AZ,Pinal County,42.5
85218,Apache Junction,AZ,Pinal County,42.5
85219,Apache Junction,AZ,Pinal County,42.5
85220,Apache Junction,AZ,Pinal County,42.5
85278,Apache Junction,AZ,Pinal County,42.5
85290,Apache Junction,AZ,Maricopa County,42.5
85601,Arivaca,AZ,Pima County,42.5
85123,Arizona City,AZ,Pinal County,42.5
85223,Arizona City,AZ,Pinal County,42.5
85322,Arlington,AZ,Maricopa County,42.5
86320,Ash Fork,AZ,Coconino County,42.5
85323,Avondale,AZ,Maricopa County,42.5
85392,Avondale,AZ,Maricopa County,42.5
86321,Bagdad,AZ,Yavapai County,42.5
85121,Bapchule,AZ,Pinal County,42.5
85221,Bapchule,AZ,Pinal County,42.5
86015,Bellemont,AZ,Coconino County,42.5
85602,Benson,AZ,Cochise County,42.5
85603,Bisbee,AZ,Cochise County,42.5
85324,Black Canyon City,AZ,Yavapai County,42.5
85922,Blue,AZ,Greenlee County,42.5
86520,Blue Gap,AZ,Navajo County,42.5
85325,Bouse,AZ,La Paz County,42.5
85605,Bowie,AZ,Cochise County,42.5
85326,Buckeye,AZ,Maricopa County,42.5
85396,Buckeye,AZ,Maricopa County,42.5
86429,Bullhead City,AZ,Mohave County,42.5
86442,Bullhead City,AZ,Mohave County,42.5
85530,Bylas,AZ,Graham County,42.5
86020,Cameron,AZ,Coconino County,42.5
86322,Camp Verde,AZ,Yavapai County,42.5
85377,Carefree,AZ,Maricopa County,42.5
85122,Casa Grande,AZ,Pinal County,42.5
85130,Casa Grande,AZ,Pinal County,42.5
85193,Casa Grande,AZ,Pinal County,42.5
85194,Casa Grande,AZ,Pinal County,42.5
