zip,city,state,county,payout
80101,Agate,CO,Elbert County,32.5
81020,Aguilar,CO,Las Animas County,32.5
80720,Akron,CO,Washington County,32.5
81101,Alamosa,CO,Alamosa County,32.5
81102,Alamosa,CO,Alamosa County,32.5
80510,Allenspark,CO,Boulder County,42.5
80420,Alma,CO,Park County,42.5
81210,Almont,CO,Gunnison County,32.5
80721,Amherst,CO,Phillips County,32.5
80801,Anton,CO,Washington County,32.5
81120,Antonito,CO,Conejos County,32.5
80802,Arapahoe,CO,Cheyenne County,32.5
81021,Arlington,CO,Kiowa County,32.5
80804,Arriba,CO,Lincoln County,32.5
80001,Arvada,CO,Jefferson County,42.5
80002,Arvada,CO,Jefferson County,42.5
80003,Arvada,CO,Jefferson County,42.5
80004,Arvada,CO,Jefferson County,42.5
80005,Arvada,CO,Jefferson County,42.5
80006,Arvada,CO,Jefferson County,42.5
80007,Arvada,CO,Jefferson County,42.5
81611,Aspen,CO,Pitkin County,32.5
81612,Aspen,CO,Pitkin County,32.5
80610,Ault,CO,Weld County,42.5
80010,Aurora,CO,Arapahoe County,42.5
80011,Aurora,CO,Arapahoe County,42.5
80012,Aurora,CO,Arapahoe County,42.5
80013,Aurora,CO,Arapahoe County,42.5
80014,Aurora,CO,Arapahoe County,42.5
80015,Aurora,CO,Arapahoe County,42.5
80016,Aurora,CO,Arapahoe County,42.5
80017,Aurora,CO,Arapahoe County,42.5
80018,Aurora,CO,Arapahoe County,42.5
80019,Aurora,CO,Adams County,42.5
80040,Aurora,CO,Arapahoe County,42.5
80041,Aurora,CO,Arapahoe County,42.5
80042,Aurora,CO,Arapahoe County,42.5
80044,Aurora,CO,Arapahoe County,42.5
80045,Aurora,CO,Adams County,42.5
80046,Aurora,CO,Arapahoe County,42.5
80047,Aurora,CO,Arapahoe County,42.5
81410,Austin,CO,Delta County,32.5
81620,Avon,CO,Eagle County,32.5
81022,Avondale,CO,Pueblo County,32.5
80421,Bailey,CO,Park County,42.5
81621,Basalt,CO,Eagle County,32.5
81636,Battlement Mesa,CO,Garfield County,32.5
81411,Bedrock,CO,Montrose County,32.5
80512,Bellvue,CO,Larimer County,42.5
80102,Bennett,CO,Adams County,42.5
80513,Berthoud,CO,Larimer County,42.5
80805,Bethune,CO,Kit Carson County,32.5
81023,Beulah,CO,Pueblo County,32.5
80422,Black Hawk,CO,Gilpin County,42.5
81123,Blanca,CO,Costilla County,32.5
80423,Bond,CO,Eagle County,42.5
81025,Boone,CO,Pueblo County,32.5
80301,Boulder,CO,Boulder County,42.5
80302,Boulder,CO,Boulder County,42.5
80303,Boulder,CO,Boulder County,42.5
80304,Boulder,CO,Boulder County,42.5
80305,Boulder,CO,Boulder County,42.5
80306,Boulder,CO,Boulder County,32.5
80307,Boulder,CO,Boulder County,42.5
80308,Boulder,CO,Boulder County,42.5
80309,Boulder,CO,Boulder County,42.5
80310,Boulder,CO,Boulder County,42.5
80314,Boulder,CO,Boulder County,42.5
80321,Boulder,CO,Boulder County,42.5
80322,Boulder,CO,Boulder County,42.5
80323,Boulder,CO,Boulder County,42.5
80328,Boulder,CO,Boulder County,42.5
80329,Boulder,CO,Boulder County,42.5
81027,Branson,CO,Las Animas County,32.5
80424,Breckenridge,CO,Summit County,42.5
80611,Briggsdale,CO,Weld County,42.5
80601,Brighton,CO,Adams County,42.5
80602,Brighton,CO,Adams County,42.5
80603,Brighton,CO,Weld County,42.5
80020,Broomfield,CO,Broomfield County,42.5
80021,Broomfield,CO,Jefferson County,42.5
80023,Broomfield,CO,Broomfield County,42.5
80038,Broomfield,CO,Broomfield County,42.5
80723,Brush,CO,Morgan County,42.5
81211,Buena Vista,CO,Chaffee County,32.5
80425,Buffalo Creek,CO,Jefferson County,42.5
