zip,city,state,county,payout
32615,Alachua,FL,Alachua County,42.5
32616,Alachua,FL,Alachua County,42.5
32701,Altamonte Springs,FL,Seminole County,42.5
32714,Altamonte Springs,FL,Seminole County,42.5
32715,Altamonte Springs,FL,Seminole County,42.5
32716,Altamonte Springs,FL,Seminole County,42.5
32702,Altoona,FL,Lake County,42.5
33820,Alturas,FL,Polk County,32.5
33920,Alva,FL,Lee County,42.5
34216,Anna Maria,FL,Manatee County,42.5
32617,Anthony,FL,Marion County,42.5
33572,Apollo Beach,FL,Hillsborough County,42.5
32703,Apopka,FL,Orange County,42.5
32704,Apopka,FL,Orange County,42.5
32712,Apopka,FL,Orange County,42.5
34265,Arcadia,FL,Desoto County,42.5
34266,Arcadia,FL,Desoto County,42.5
34269,Arcadia,FL,Desoto County,42.5
32618,Archer,FL,Alachua County,42.5
34679,Aripeka,FL,Pasco County,42.5
34705,Astatula,FL,Lake County,42.5
32102,Astor,FL,Lake County,42.5
32233,Atlantic Beach,FL,Duval County,42.5
33823,Auburndale,FL,Polk County,42.5
33825,Avon Park,FL,Highlands County,42.5
33826,Avon Park,FL,Highlands County,32.5
33827,Babson Park,FL,Polk County,42.5
33503,Balm,FL,Hillsborough County,42.5
32105,Barberville,FL,Volusia County,42.5
33830,Bartow,FL,Polk County,42.5
33831,Bartow,FL,Polk County,32.5
33744,Bay Pines,FL,Pinellas County,32.5
32619,Bell,FL,Gilchrist County,42.5
33430,Belle Glade,FL,Palm Beach County,42.5
33786,Belleair Beach,FL,Pinellas County,42.5
34420,Belleview,FL,Marion County,42.5
34421,Belleview,FL,Marion County,42.5
34464,Beverly Hills,FL,Citrus County,42.5
34465,Beverly Hills,FL,Citrus County,42.5
33043,Big Pine Key,FL,Monroe County,42.5
33921,Boca Grande,FL,Lee County,42.5
33427,Boca Raton,FL,Palm Beach County,42.5
33428,Boca Raton,FL,Palm Beach County,42.5
33429,Boca Raton,FL,Palm Beach County,42.5
33431,Boca Raton,FL,Palm Beach County,42.5
33432,Boca Raton,FL,Palm Beach County,42.5
33433,Boca Raton,FL,Palm Beach County,42.5
33434,Boca Raton,FL,Palm Beach County,42.5
33464,Boca Raton,FL,Palm Beach County,42.5
33481,Boca Raton,FL,Palm Beach County,42.5
33486,Boca Raton,FL,Palm Beach County,42.5
33487,Boca Raton,FL,Palm Beach County,42.5
33488,Boca Raton,FL,Palm Beach County,42.5
33496,Boca Raton,FL,Palm Beach County,42.5
33497,Boca Raton,FL,Palm Beach County,42.5
33498,Boca Raton,FL,Palm Beach County,42.5
33499,Boca Raton,FL,Palm Beach County,42.5
33922,Bokeelia,FL,Lee County,42.5
34133,Bonita Springs,FL,Lee County,42.5
34134,Bonita Springs,FL,Lee County,42.5
34135,Bonita Springs,FL,Lee County,42.5
34136,Bonita Springs,FL,Lee County,42.5
32007,Bostwick,FL,Putnam County,42.5
33834,Bowling Green,FL,Hardee County,42.5
33424,Boynton Beach,FL,Palm Beach County,42.5
33425,Boynton Beach,FL,Palm Beach County,42.5
33426,Boynton Beach,FL,Palm Beach County,42.5
33435,Boynton Beach,FL,Palm Beach County,42.5
33436,Boynton Beach,FL,Palm Beach County,42.5
33437,Boynton Beach,FL,Palm Beach County,42.5
33472,Boynton Beach,FL,Palm Beach County,42.5
33473,Boynton Beach,FL,Palm Beach County,42.5
33474,Boynton Beach,FL,Palm Beach County,42.5
34201,Bradenton,FL,Manatee County,42.5
34202,Bradenton,FL,Manatee County,42.5
34203,Bradenton,FL,Manatee County,42.5
34204,Bradenton,FL,Manatee County,32.5
34205,Bradenton,FL,Manatee County,42.5
34206,Bradenton,FL,Manatee County,32.5
34207,Bradenton,FL,Manatee County,42.5
34208,Bradenton,FL,Manatee County,42.5
34209,Bradenton,FL,Manatee County,42.5
34210,Bradenton,FL,Manatee County,42.5
34211,Bradenton,FL,Manatee County,42.5
34212,Bradenton,FL,Manatee County,42.5
34280,Bradenton,FL,Manatee County,32.5
34281,Bradenton,FL,Manatee County,42.5
34282,Bradenton,FL,Manatee County,32.5
34217,Bradenton Beach,FL,Manatee County,42.5
33835,Bradley,FL,Polk County,42.5
33508,Brandon,FL,Hillsborough County,32.5
33509,Brandon,FL,Hillsborough County,32.5
33510,Brandon,FL,Hillsborough County,42.5
33511,Brandon,FL,Hillsborough County,42.5
32008,Branford,FL,Suwannee County,42.5
32621,Bronson,FL,Levy County,42.5
32622,Brooker,FL,Bradford County,42.5
34601,Brooksville,FL,Hernando County,42.5
34602,Brooksville,FL,Hernando County,42.5
34603,Brooksville,FL,Hernando County,32.5
34604,Brooksville,FL,Hernando County,42.5
34605,Brooksville,FL,Hernando County,32.5
34613,Brooksville,FL,Hernando County,42.5
34614,Brooksville,FL,Hernando County,42.5
32009,Bryceville,FL,Nassau County,42.5
32110,Bunnell,FL,Flagler County,42.5
33513,Bushnell,FL,Sumter County,42.5
32011,Callahan,FL,Nassau County,42.5
33438,Canal Point,FL,Palm Beach County,42.5
32111,Candler,FL,Marion County,42.5
32533,Cantonment,FL,Escambia County,32.5
32920,Cape Canaveral,FL,Brevard County,42.5
33904,Cape Coral,FL,Lee County,42.5
33909,Cape Coral,FL,Lee County,42.5
33910,Cape Coral,FL,Lee County,42.5
33914,Cape Coral,FL,Lee County,42.5
33915,Cape Coral,FL,Lee County,42.5
33990,Cape Coral,FL,Lee County,42.5
33991,Cape Coral,FL,Lee County,42.5
33993,Cape Coral,FL,Lee County,42.5
33924,Captiva,FL,Lee County,42.5
32706,Cassadaga,FL,Volusia County,42.5
32707,Casselberry,FL,Seminole County,42.5
32718,Casselberry,FL,Seminole County,32.5
32730,Casselberry,FL,Seminole County,42.5
32625,Cedar Key,FL,Levy County,42.5
33514,Center Hill,FL,Sumter County,42.5
32626,Chiefland,FL,Levy County,42.5
32644,Chiefland,FL,Levy County,42.5
32428,Chipley,FL,Washington County,32.5
34138,Chokoloskee,FL,Collier County,42.5
32709,Christmas,FL,Orange County,42.5
32113,Citra,FL,Marion County,42.5
32710,Clarcona,FL,Orange County,32.5
33755,Clearwater,FL,Pinellas County,42.5
33756,Clearwater,FL,Pinellas County,42.5
33757,Clearwater,FL,Pinellas County,32.5
33758,Clearwater,FL,Pinellas County,32.5
33759,Clearwater,FL,Pinellas County,42.5
33760,Clearwater,FL,Pinellas County,42.5
33761,Clearwater,FL,Pinellas County,42.5
33762,Clearwater,FL,Pinellas County,42.5
33763,Clearwater,FL,Pinellas County,42.5
33764,Clearwater,FL,Pinellas County,42.5
33765,Clearwater,FL,Pinellas County,42.5
33766,Clearwater,FL,Pinellas County,32.5
33769,Clearwater,FL,Pinellas County,32.5
33767,Clearwater Beach,FL,Pinellas County,42.5
34711,Clermont,FL,Lake County,42.5
34712,Clermont,FL,Lake County,32.5
34713,Clermont,FL,Lake County,32.5
34714,Clermont,FL,Lake County,42.5
34715,Clermont,FL,Lake County,42.5
33440,Clewiston,FL,Hendry County,42.5
32922,Cocoa,FL,Brevard County,42.5
32923,Cocoa,FL,Brevard County,42.5
32924,Cocoa,FL,Brevard County,42.5
32926,Cocoa,FL,Brevard County,42.5
32927,Cocoa,FL,Brevard County,42.5
32931,Cocoa Beach,FL,Brevard County,42.5
32932,Cocoa Beach,FL,Brevard County,42.5
33097,Coconut Creek,FL,Broward County,42.5
33521,Coleman,FL,Sumter County,42.5
34137,Copeland,FL,Collier County,42.5
33114,Coral Gables,FL,Miami-Dade County,42.5
33065,Coral Springs,FL,Broward County,42.5
33071,Coral Springs,FL,Broward County,42.5
33075,Coral Springs,FL,Broward County,42.5
34215,Cortez,FL,Manatee County,42.5
32326,Crawfordville,FL,Wakulla County,32.5
32327,Crawfordville,FL,Wakulla County,32.5
32112,Crescent City,FL,Putnam County,42.5
32536,Crestview,FL,Okaloosa County,32.5
32539,Crestview,FL,Okaloosa County,32.5
32628,Cross City,FL,Dixie County,42.5
34681,Crystal Beach,FL,Pinellas County,42.5
34423,Crystal River,FL,Citrus County,42.5
34428,Crystal River,FL,Citrus County,42.5
34429,Crystal River,FL,Citrus County,42.5
33524,Crystal Springs,FL,Pasco County,32.5
33523,Dade City,FL,Pasco County,42.5
33525,Dade City,FL,Pasco County,42.5
33526,Dade City,FL,Pasco County,32.5
33004,Dania,FL,Broward County,42.5
33836,Davenport,FL,Polk County,32.5
33837,Davenport,FL,Polk County,42.5
33896,Davenport,FL,Polk County,42.5
33897,Davenport,FL,Polk County,42.5
32013,Day,FL,Lafayette County,42.5
32114,Daytona Beach,FL,Volusia County,42.5
32115,Daytona Beach,FL,Volusia County,42.5
32116,Daytona Beach,FL,Volusia County,42.5
32117,Daytona Beach,FL,Volusia County,42.5
32118,Daytona Beach,FL,Volusia County,42.5
32119,Daytona Beach,FL,Volusia County,42.5
32120,Daytona Beach,FL,Volusia County,42.5
32121,Daytona Beach,FL,Volusia County,42.5
32122,Daytona Beach,FL,Volusia County,42.5
32124,Daytona Beach,FL,Volusia County,42.5
32125,Daytona Beach,FL,Volusia County,42.5
32126,Daytona Beach,FL,Volusia County,42.5
32198,Daytona Beach,FL,Volusia County,42.5
32130,De Leon Springs,FL,Volusia County,42.5
32713,Debary,FL,Volusia County,42.5
32753,Debary,FL,Volusia County,42.5
33441,Deerfield Beach,FL,Broward County,42.5
33442,Deerfield Beach,FL,Broward County,42.5
33443,Deerfield Beach,FL,Broward County,42.5
32720,Deland,FL,Volusia County,42.5
32721,Deland,FL,Volusia County,42.5
32723,Deland,FL,Volusia County,42.5
32724,Deland,FL,Volusia County,42.5
33444,Delray Beach,FL,Palm Beach County,42.5
33445,Delray Beach,FL,Palm Beach County,42.5
33446,Delray Beach,FL,Palm Beach County,42.5
33448,Delray Beach,FL,Palm Beach County,42.5
33482,Delray Beach,FL,Palm Beach County,42.5
33483,Delray Beach,FL,Palm Beach County,42.5
33484,Delray Beach,FL,Palm Beach County,42.5
32725,Deltona,FL,Volusia County,42.5
32728,Deltona,FL,Volusia County,32.5
32738,Deltona,FL,Volusia County,42.5
32739,Deltona,FL,Volusia County,42.5
32541,Destin,FL,Okaloosa County,32.5
32030,Doctors Inlet,FL,Clay County,42.5
33527,Dover,FL,Hillsborough County,42.5
33838,Dundee,FL,Polk County,42.5
34697,Dunedin,FL,Pinellas County,32.5
34698,Dunedin,FL,Pinellas County,42.5
34430,Dunnellon,FL,Marion County,42.5
34431,Dunnellon,FL,Marion County,42.5
34432,Dunnellon,FL,Marion County,42.5
34433,Dunnellon,FL,Citrus County,42.5
34434,Dunnellon,FL,Citrus County,42.5
33530,Durant,FL,Hillsborough County,32.5
33839,Eagle Lake,FL,Polk County,42.5
32631,Earleton,FL,Alachua County,42.5
32131,East Palatka,FL,Putnam County,42.5
32133,Eastlake Weir,FL,Marion County,42.5
33840,Eaton Park,FL,Polk County,42.5
32132,Edgewater,FL,Volusia County,42.5
32141,Edgewater,FL,Volusia County,42.5
33927,El Jobean,FL,Charlotte County,32.5
34680,Elfers,FL,Pasco County,42.5
32033,Elkton,FL,St. Johns County,42.5
34222,Ellenton,FL,Manatee County,42.5
34223,Englewood,FL,Sarasota County,42.5
34224,Englewood,FL,Charlotte County,42.5
34295,Englewood,FL,Sarasota County,32.5
33928,Estero,FL,Lee County,42.5
33929,Estero,FL,Lee County,32.5
32726,Eustis,FL,Lake County,42.5
32727,Eustis,FL,Lake County,42.5
32736,Eustis,FL,Lake County,42.5
34139,Everglades City,FL,Collier County,42.5
32634,Fairfield,FL,Marion County,42.5
33930,Felda,FL,Hendry County,42.5
32948,Fellsmere,FL,Indian River County,42.5
32034,Fernandina Beach,FL,Nassau County,42.5
32035,Fernandina Beach,FL,Nassau County,42.5
34729,Ferndale,FL,Lake County,42.5
32136,Flagler Beach,FL,Flagler County,42.5
32003,Fleming Island,FL,Clay County,42.5
32006,Fleming Island,FL,Clay County,42.5
32140,Florahome,FL,Putnam County,42.5
34436,Floral City,FL,Citrus County,42.5
33301,Fort Lauderdale,FL,Broward County,42.5
33302,Fort Lauderdale,FL,Broward County,42.5
33303,Fort Lauderdale,FL,Broward County,42.5
33304,Fort Lauderdale,FL,Broward County,42.5
33305,Fort Lauderdale,FL,Broward County,42.5
33306,Fort Lauderdale,FL,Broward County,42.5
33307,Fort Lauderdale,FL,Broward County,42.5
33308,Fort Lauderdale,FL,Broward County,42.5
33309,Fort Lauderdale,FL,Broward County,42.5
33310,Fort Lauderdale,FL,Broward County,42.5
33311,Fort Lauderdale,FL,Broward County,42.5
33312,Fort Lauderdale,FL,Broward County,42.5
33313,Fort Lauderdale,FL,Broward County,42.5
33314,Fort Lauderdale,FL,Broward County,42.5
33315,Fort Lauderdale,FL,Broward County,42.5
33316,Fort Lauderdale,FL,Broward County,42.5
33317,Fort Lauderdale,FL,Broward County,42.5
33318,Fort Lauderdale,FL,Broward County,42.5
33319,Fort Lauderdale,FL,Broward County,42.5
33320,Fort Lauderdale,FL,Broward County,42.5
33321,Fort Lauderdale,FL,Broward County,42.5
33322,Fort Lauderdale,FL,Broward County,42.5
33323,Fort Lauderdale,FL,Broward County,42.5
33324,Fort Lauderdale,FL,Broward County,42.5
33325,Fort Lauderdale,FL,Broward County,42.5
33326,Fort Lauderdale,FL,Broward County,42.5
33327,Fort Lauderdale,FL,Broward County,42.5
33328,Fort Lauderdale,FL,Broward County,42.5
33329,Fort Lauderdale,FL,Broward County,42.5
33330,Fort Lauderdale,FL,Broward County,42.5
33331,Fort Lauderdale,FL,Broward County,42.5
33332,Fort Lauderdale,FL,Broward County,42.5
33334,Fort Lauderdale,FL,Broward County,42.5
33335,Fort Lauderdale,FL,Broward County,42.5
33336,Fort Lauderdale,FL,Broward County,42.5
33337,Fort Lauderdale,FL,Broward County,42.5
33338,Fort Lauderdale,FL,Broward County,42.5
33339,Fort Lauderdale,FL,Broward County,42.5
33340,Fort Lauderdale,FL,Broward County,42.5
33345,Fort Lauderdale,FL,Broward County,42.5
33346,Fort Lauderdale,FL,Broward County,42.5
33348,Fort Lauderdale,FL,Broward County,42.5
33349,Fort Lauderdale,FL,Broward County,42.5
33351,Fort Lauderdale,FL,Broward County,42.5
33355,Fort Lauderdale,FL,Broward County,42.5
33359,Fort Lauderdale,FL,Broward County,42.5
33394,Fort Lauderdale,FL,Broward County,42.5
32134,Fort McCoy,FL,Marion County,42.5
33841,Fort Meade,FL,Polk County,42.5
33901,Fort Myers,FL,Lee County,42.5
33902,Fort Myers,FL,Lee County,42.5
33905,Fort Myers,FL,Lee County,42.5
33906,Fort Myers,FL,Lee County,42.5
33907,Fort Myers,FL,Lee County,42.5
33908,Fort Myers,FL,Lee County,42.5
33911,Fort Myers,FL,Lee County,42.5
33912,Fort Myers,FL,Lee County,42.5
33913,Fort Myers,FL,Lee County,42.5
33916,Fort Myers,FL,Lee County,42.5
33919,Fort Myers,FL,Lee County,42.5
33965,Fort Myers,FL,Lee County,42.5
33966,Fort Myers,FL,Lee County,42.5
33967,Fort Myers,FL,Lee County,42.5
33994,Fort Myers,FL,Lee County,42.5
33931,Fort Myers Beach,FL,Lee County,42.5
33932,Fort Myers Beach,FL,Lee County,42.5
34267,Fort Ogden,FL,Desoto County,42.5
34945,Fort Pierce,FL,St. Lucie County,42.5
34946,Fort Pierce,FL,St. Lucie County,42.5
34947,Fort Pierce,FL,St. Lucie County,42.5
34948,Fort Pierce,FL,St. Lucie County,42.5
34949,Fort Pierce,FL,St. Lucie County,42.5
34950,Fort Pierce,FL,St. Lucie County,42.5
34951,Fort Pierce,FL,St. Lucie County,42.5
34954,Fort Pierce,FL,St. Lucie County,42.5
34979,Fort Pierce,FL,St. Lucie County,42.5
34981,Fort Pierce,FL,St. Lucie County,42.5
34982,Fort Pierce,FL,St. Lucie County,42.5
32547,Fort Walton Beach,FL,Okaloosa County,32.5
32548,Fort Walton Beach,FL,Okaloosa County,32.5
32038,Fort White,FL,Columbia County,42.5
32439,Freeport,FL,Walton County,32.5
33843,Frostproof,FL,Polk County,42.5
34731,Fruitland Park,FL,Lake County,42.5
32601,Gainesville,FL,Alachua County,42.5
32603,Gainesville,FL,Alachua County,42.5
32605,Gainesville,FL,Alachua County,42.5
32606,Gainesville,FL,Alachua County,42.5
32607,Gainesville,FL,Alachua County,42.5
32608,Gainesville,FL,Alachua County,42.5
32609,Gainesville,FL,Alachua County,42.5
32610,Gainesville,FL,Alachua County,42.5
32611,Gainesville,FL,Alachua County,42.5
32612,Gainesville,FL,Alachua County,42.5
32641,Gainesville,FL,Alachua County,42.5
32653,Gainesville,FL,Alachua County,42.5
32732,Geneva,FL,Seminole County,42.5
32139,Georgetown,FL,Putnam County,42.5
33534,Gibsonton,FL,Hillsborough County,42.5
32040,Glen Saint Mary,FL,Baker County,42.5
32722,Glenwood,FL,Volusia County,42.5
32733,Goldenrod,FL,Orange County,42.5
34140,Goodland,FL,Collier County,42.5
34734,Gotha,FL,Orange County,42.5
32735,Grand Island,FL,Lake County,42.5
32138,Grandin,FL,Putnam County,42.5
32949,Grant,FL,Brevard County,42.5
32043,Green Cove Springs,FL,Clay County,42.5
33454,Greenacres,FL,Palm Beach County,42.5
32331,Greenville,FL,Madison County,42.5
34736,Groveland,FL,Lake County,42.5
32563,Gulf Breeze,FL,Santa Rosa County,32.5
32639,Gulf Hammock,FL,Levy County,42.5
33844,Haines City,FL,Polk County,42.5
33845,Haines City,FL,Polk County,42.5
33008,Hallandale,FL,Broward County,42.5
33009,Hallandale,FL,Broward County,42.5
32044,Hampton,FL,Bradford County,42.5
32145,Hastings,FL,St. Johns County,42.5
32333,Havana,FL,Gadsden County,32.5
32640,Hawthorne,FL,Putnam County,42.5
34441,Hernando,FL,Florida Statewide,42.5
34442,Hernando,FL,Citrus County,42.5
33002,Hialeah,FL,Miami-Dade County,42.5
33010,Hialeah,FL,Miami-Dade County,42.5
33011,Hialeah,FL,Miami-Dade County,42.5
33012,Hialeah,FL,Miami-Dade County,42.5
33013,Hialeah,FL,Miami-Dade County,42.5
33014,Hialeah,FL,Miami-Dade County,42.5
33015,Hialeah,FL,Miami-Dade County,42.5
33016,Hialeah,FL,Miami-Dade County,42.5
33017,Hialeah,FL,Miami-Dade County,42.5
33018,Hialeah,FL,Miami-Dade County,42.5
32643,High Springs,FL,Alachua County,42.5
33846,Highland City,FL,Polk County,42.5
32046,Hilliard,FL,Nassau County,42.5
33455,Hobe Sound,FL,Martin County,42.5
33475,Hobe Sound,FL,Martin County,42.5
34445,Holder,FL,Citrus County,42.5
34690,Holiday,FL,Pasco County,42.5
34691,Holiday,FL,Pasco County,42.5
34692,Holiday,FL,Pasco County,32.5
32147,Hollister,FL,Putnam County,42.5
33019,Hollywood,FL,Broward County,42.5
33020,Hollywood,FL,Broward County,42.5
33021,Hollywood,FL,Broward County,42.5
33022,Hollywood,FL,Broward County,42.5
33023,Hollywood,FL,Broward County,42.5
33024,Hollywood,FL,Broward County,42.5
33025,Hollywood,FL,Broward County,42.5
33026,Hollywood,FL,Broward County,42.5
33027,Hollywood,FL,Broward County,42.5
33029,Hollywood,FL,Broward County,42.5
33081,Hollywood,FL,Broward County,42.5
33083,Hollywood,FL,Broward County,42.5
33084,Hollywood,FL,Broward County,42.5
34218,Holmes Beach,FL,Manatee County,42.5
33847,Homeland,FL,Polk County,42.5
33030,Homestead,FL,Miami-Dade County,42.5
33031,Homestead,FL,Miami-Dade County,42.5
33032,Homestead,FL,Miami-Dade County,42.5
33033,Homestead,FL,Miami-Dade County,42.5
33034,Homestead,FL,Miami-Dade County,42.5
