zip,city,state,county,payout
31001,Abbeville,GA,Wilcox County,32.5
30101,Acworth,GA,Cobb County,42.5
30102,Acworth,GA,Cherokee County,42.5
30103,Adairsville,GA,Bartow County,42.5
31620,Adel,GA,Cook County,42.5
31002,Adrian,GA,Emanuel County,32.5
30410,Ailey,GA,Montgomery County,32.5
30411,Alamo,GA,Wheeler County,32.5
31622,Alapaha,GA,Berrien County,42.5
31701,Albany,GA,Dougherty County,42.5
31702,Albany,GA,Dougherty County,42.5
31704,Albany,GA,Dougherty County,42.5
31705,Albany,GA,Dougherty County,42.5
31706,Albany,GA,Dougherty County,42.5
31707,Albany,GA,Dougherty County,42.5
31708,Albany,GA,Dougherty County,42.5
31721,Albany,GA,Dougherty County,42.5
31301,Allenhurst,GA,Liberty County,32.5
31003,Allentown,GA,Wilkinson County,32.5
31510,Alma,GA,Bacon County,42.5
30004,Alpharetta,GA,Fulton County,42.5
30005,Alpharetta,GA,Fulton County,42.5
30009,Alpharetta,GA,Fulton County,42.5
30022,Alpharetta,GA,Fulton County,42.5
30023,Alpharetta,GA,Fulton County,42.5
30510,Alto,GA,Habersham County,42.5
31512,Ambrose,GA,Coffee County,42.5
31709,Americus,GA,Sumter County,32.5
31719,Americus,GA,Sumter County,32.5
31711,Andersonville,GA,Sumter County,32.5
30802,Appling,GA,Columbia County,42.5
31712,Arabi,GA,Crisp County,42.5
30104,Aragon,GA,Polk County,42.5
31623,Argyle,GA,Clinch County,42.5
39813,Arlington,GA,Calhoun County,42.5
30105,Armuchee,GA,Floyd County,42.5
30619,Arnoldsville,GA,Oglethorpe County,42.5
31714,Ashburn,GA,Turner County,42.5
30601,Athens,GA,Clarke County,42.5
30602,Athens,GA,Clarke County,42.5
30603,Athens,GA,Clarke County,42.5
30604,Athens,GA,Clarke County,42.5
30605,Athens,GA,Clarke County,42.5
30606,Athens,GA,Clarke County,42.5
30607,Athens,GA,Clarke County,42.5
30608,Athens,GA,Clarke County,42.5
30609,Athens,GA,Clarke County,42.5
30612,Athens,GA,Clarke County,42.5
