zip,city,state,county,payout
83803,Bayview,ID,Kootenai County,32.5
83813,Cocolalla,ID,Bonner County,32.5
83814,Coeur D Alene,ID,Kootenai County,32.5
83815,Coeur D Alene,ID,Kootenai County,32.5
83816,Coeur D Alene,ID,Kootenai County,32.5
83865,Colburn,ID,Bonner County,32.5
83825,Dover,ID,Bonner County,32.5
83835,Hayden,ID,Kootenai County,32.5
83840,Kootenai,ID,Bonner County,32.5
83841,Laclede,ID,Bonner County,32.5
83843,Moscow,ID,Latah County,32.5
83844,Moscow,ID,Latah County,32.5
83822,Oldtown,ID,Bonner County,32.5
83851,Plummer,ID,Benewah County,32.5
83852,Ponderay,ID,Bonner County,32.5
83854,Post Falls,ID,Kootenai County,32.5
83877,Post Falls,ID,Kootenai County,32.5
83856,Priest River,ID,Bonner County,32.5
83858,Rathdrum,ID,Kootenai County,32.5
83860,Sagle,ID,Bonner County,32.5
83864,Sandpoint,ID,Bonner County,32.5
83869,Spirit Lake,ID,Kootenai County,32.5
83876,Worley,ID,Kootenai County,32.5
