zip,city,state,county,payout
20606,Abell,MD,St. Mary's County,42.5
21001,Aberdeen,MD,Harford County,42.5
21005,Aberdeen Proving Ground,MD,Harford County,42.5
21009,Abingdon,MD,Harford County,42.5
20607,Accokeek,MD,Prince George's County,42.5
21710,Adamstown,MD,Frederick County,42.5
21810,Allen,MD,Wicomico County,42.5
20762,Andrews Air Force Base,MD,Prince George's County,42.5
21401,Annapolis,MD,Anne Arundel County,42.5
21402,Annapolis,MD,Anne Arundel County,42.5
21403,Annapolis,MD,Anne Arundel County,42.5
21404,Annapolis,MD,Anne Arundel County,42.5
21405,Annapolis,MD,Anne Arundel County,42.5
21409,Annapolis,MD,Anne Arundel County,42.5
21411,Annapolis,MD,Anne Arundel County,42.5
21412,Annapolis,MD,Anne Arundel County,42.5
20701,Annapolis Junction,MD,Anne Arundel County,42.5
20608,Aquasco,MD,Prince George's County,42.5
21012,Arnold,MD,Anne Arundel County,42.5
20861,Ashton,MD,Montgomery County,42.5
20609,Avenue,MD,St. Mary's County,42.5
21013,Baldwin,MD,Baltimore County,42.5
21201,Baltimore,MD,Baltimore city,42.5
21202,Baltimore,MD,Baltimore city,42.5
21203,Baltimore,MD,Baltimore city,42.5
21205,Baltimore,MD,Baltimore city,42.5
21206,Baltimore,MD,Baltimore city,42.5
21209,Baltimore,MD,Baltimore County,42.5
21210,Baltimore,MD,Baltimore city,42.5
21211,Baltimore,MD,Baltimore city,42.5
21212,Baltimore,MD,Baltimore city,42.5
21213,Baltimore,MD,Baltimore city,42.5
21214,Baltimore,MD,Baltimore city,42.5
21215,Baltimore,MD,Baltimore city,42.5
21216,Baltimore,MD,Baltimore city,42.5
21217,Baltimore,MD,Baltimore city,42.5
21218,Baltimore,MD,Baltimore city,42.5
21223,Baltimore,MD,Baltimore city,42.5
21224,Baltimore,MD,Baltimore city,42.5
21229,Baltimore,MD,Baltimore city,42.5
21230,Baltimore,MD,Baltimore city,42.5
21231,Baltimore,MD,Baltimore city,42.5
21233,Baltimore,MD,Baltimore city,42.5
21235,Baltimore,MD,Baltimore city,42.5
21239,Baltimore,MD,Baltimore city,42.5
21240,Baltimore,MD,Anne Arundel County,42.5
21241,Baltimore,MD,Baltimore city,42.5
21250,Baltimore,MD,Baltimore County,42.5
21251,Baltimore,MD,Baltimore city,42.5
21263,Baltimore,MD,Baltimore city,42.5
21264,Baltimore,MD,Baltimore city,42.5
21265,Baltimore,MD,Baltimore city,42.5
21268,Baltimore,MD,Baltimore city,42.5
21270,Baltimore,MD,Baltimore city,42.5
21273,Baltimore,MD,Baltimore city,42.5
21274,Baltimore,MD,Baltimore city,42.5
21275,Baltimore,MD,Baltimore city,42.5
21278,Baltimore,MD,Baltimore city,42.5
21279,Baltimore,MD,Baltimore city,42.5
21280,Baltimore,MD,Baltimore city,42.5
21281,Baltimore,MD,Baltimore city,42.5
21283,Baltimore,MD,Baltimore city,42.5
21287,Baltimore,MD,Baltimore city,42.5
21288,Baltimore,MD,Baltimore city,42.5
21289,Baltimore,MD,Baltimore city,42.5
21290,Baltimore,MD,Baltimore city,42.5
21297,Baltimore,MD,Baltimore city,42.5
21298,Baltimore,MD,Baltimore city,42.5
21607,Barclay,MD,Queen Anne's County,42.5
20838,Barnesville,MD,Montgomery County,42.5
20610,Barstow,MD,Calvert County,42.5
20839,Beallsville,MD,Montgomery County,42.5
21014,Bel Air,MD,Harford County,42.5
21015,Bel Air,MD,Harford County,42.5
20611,Bel Alton,MD,Charles County,42.5
21017,Belcamp,MD,Harford County,42.5
20704,Beltsville,MD,Prince George's County,42.5
20705,Beltsville,MD,Prince George's County,42.5
20612,Benedict,MD,Charles County,42.5
21018,Benson,MD,Harford County,42.5
21811,Berlin,MD,Worcester County,42.5
20810,Bethesda,MD,Montgomery County,32.5
20811,Bethesda,MD,Montgomery County,42.5
20813,Bethesda,MD,Montgomery County,42.5
20814,Bethesda,MD,Montgomery County,42.5
20816,Bethesda,MD,Montgomery County,42.5
20817,Bethesda,MD,Montgomery County,42.5
20824,Bethesda,MD,Montgomery County,42.5
20827,Bethesda,MD,Montgomery County,42.5
20889,Bethesda,MD,Montgomery County,42.5
20892,Bethesda,MD,Montgomery County,42.5
20894,Bethesda,MD,Montgomery County,42.5
21609,Bethlehem,MD,Caroline County,42.5
21610,Betterton,MD,Kent County,42.5
21711,Big Pool,MD,Washington County,42.5
21813,Bishopville,MD,Worcester County,42.5
21814,Bivalve,MD,Wicomico County,42.5
20710,Bladensburg,MD,Prince George's County,42.5
21713,Boonsboro,MD,Washington County,42.5
21020,Boring,MD,Baltimore County,42.5
20715,Bowie,MD,Prince George's County,42.5
20716,Bowie,MD,Prince George's County,42.5
20717,Bowie,MD,Prince George's County,42.5
20718,Bowie,MD,Prince George's County,42.5
20719,Bowie,MD,Prince George's County,42.5
20720,Bowie,MD,Prince George's County,42.5
20721,Bowie,MD,Prince George's County,42.5
20841,Boyds,MD,Montgomery County,42.5
21612,Bozman,MD,Talbot County,42.5
21714,Braddock Heights,MD,Frederick County,42.5
20613,Brandywine,MD,Prince George's County,42.5
20722,Brentwood,MD,Prince George's County,42.5
20862,Brinklow,MD,Montgomery County,42.5
20833,Brookeville,MD,Montgomery County,42.5
21022,Brooklandville,MD,Baltimore County,42.5
21225,Brooklyn,MD,Baltimore city,42.5
20615,Broomes Island,MD,Calvert County,42.5
21715,Brownsville,MD,Washington County,42.5
21716,Brunswick,MD,Frederick County,42.5
20616,Bryans Road,MD,Charles County,42.5
