zip,city,state,county,payout
49610,Acme,MI,Grand Traverse County,32.5
49301,Ada,MI,Kent County,32.5
49355,Ada,MI,Kent County,32.5
49356,Ada,MI,Kent County,32.5
49357,Ada,MI,Kent County,32.5
49220,Addison,MI,Lenawee County,32.5
49221,Adrian,MI,Lenawee County,42.5
49705,Afton,MI,Cheboygan County,32.5
48701,Akron,MI,Tuscola County,32.5
49706,Alanson,MI,Emmet County,32.5
49611,Alba,MI,Antrim County,32.5
49224,Albion,MI,Calhoun County,42.5
49612,Alden,MI,Antrim County,32.5
48610,Alger,MI,Ogemaw County,32.5
48001,Algonac,MI,St. Clair County,42.5
49010,Allegan,MI,Allegan County,32.5
49227,Allen,MI,Hillsdale County,32.5
48101,Allen Park,MI,Wayne County,42.5
49401,Allendale,MI,Ottawa County,32.5
48002,Allenton,MI,St. Clair County,42.5
48801,Alma,MI,Gratiot County,32.5
48802,Alma,MI,Gratiot County,32.5
48003,Almont,MI,Lapeer County,42.5
49707,Alpena,MI,Alpena County,32.5
49302,Alto,MI,Kent County,32.5
48004,Anchorville,MI,St. Clair County,42.5
48103,Ann Arbor,MI,Washtenaw County,42.5
48104,Ann Arbor,MI,Washtenaw County,42.5
48105,Ann Arbor,MI,Washtenaw County,42.5
48106,Ann Arbor,MI,Washtenaw County,42.5
48107,Ann Arbor,MI,Washtenaw County,42.5
48108,Ann Arbor,MI,Washtenaw County,42.5
48109,Ann Arbor,MI,Washtenaw County,42.5
48113,Ann Arbor,MI,Washtenaw County,42.5
48401,Applegate,MI,Sanilac County,32.5
49613,Arcadia,MI,Manistee County,32.5
48410,Argyle,MI,Sanilac County,32.5
48005,Armada,MI,Macomb County,42.5
48806,Ashley,MI,Gratiot County,32.5
49011,Athens,MI,Calhoun County,32.5
49709,Atlanta,MI,Montmorency County,32.5
48411,Atlas,MI,Genesee County,32.5
48412,Attica,MI,Lapeer County,42.5
48703,Au Gres,MI,Arenac County,32.5
48611,Auburn,MI,Bay County,42.5
48321,Auburn Hills,MI,Oakland County,42.5
48326,Auburn Hills,MI,Oakland County,42.5
49012,Augusta,MI,Kalamazoo County,32.5
48006,Avoca,MI,St. Clair County,32.5
48110,Azalia,MI,Monroe County,42.5
48413,Bad Axe,MI,Huron County,32.5
49303,Bailey,MI,Muskegon County,32.5
49304,Baldwin,MI,Lake County,32.5
48414,Bancroft,MI,Shiawassee County,32.5
49013,Bangor,MI,Van Buren County,32.5
48807,Bannister,MI,Gratiot County,32.5
49101,Baroda,MI,Berrien County,42.5
49305,Barryton,MI,Mecosta County,32.5
48705,Barton City,MI,Alcona County,32.5
48808,Bath,MI,Clinton County,42.5
49014,Battle Creek,MI,Calhoun County,32.5
49015,Battle Creek,MI,Calhoun County,32.5
49016,Battle Creek,MI,Calhoun County,32.5
49017,Battle Creek,MI,Calhoun County,32.5
49018,Battle Creek,MI,Calhoun County,32.5
49037,Battle Creek,MI,Calhoun County,32.5
48706,Bay City,MI,Bay County,42.5
48707,Bay City,MI,Bay County,32.5
48708,Bay City,MI,Bay County,42.5
48720,Bay Port,MI,Huron County,32.5
49711,Bay Shore,MI,Charlevoix County,32.5
49614,Bear Lake,MI,Manistee County,32.5
49782,Beaver Island,MI,Charlevoix County,32.5
48612,Beaverton,MI,Gladwin County,32.5
49020,Bedford,MI,Calhoun County,32.5
48809,Belding,MI,Ionia County,32.5
49615,Bellaire,MI,Antrim County,32.5
48111,Belleville,MI,Wayne County,42.5
48112,Belleville,MI,Wayne County,42.5
49021,Bellevue,MI,Eaton County,32.5
49306,Belmont,MI,Kent County,32.5
48613,Bentley,MI,Bay County,32.5
49022,Benton Harbor,MI,Berrien County,42.5
49023,Benton Harbor,MI,Berrien County,32.5
49616,Benzonia,MI,Benzie County,32.5
48072,Berkley,MI,Oakland County,42.5
49102,Berrien Center,MI,Berrien County,42.5
49103,Berrien Springs,MI,Berrien County,42.5
49104,Berrien Springs,MI,Berrien County,42.5
49617,Beulah,MI,Benzie County,32.5
49307,Big Rapids,MI,Mecosta County,32.5
48415,Birch Run,MI,Saginaw County,42.5
48009,Birmingham,MI,Oakland County,42.5
48012,Birmingham,MI,Oakland County,42.5
49309,Bitely,MI,Newaygo County,32.5
48721,Black River,MI,Alcona County,32.5
49310,Blanchard,MI,Isabella County,32.5
49228,Blissfield,MI,Lenawee County,42.5
48301,Bloomfield Hills,MI,Oakland County,42.5
48302,Bloomfield Hills,MI,Oakland County,42.5
48303,Bloomfield Hills,MI,Oakland County,42.5
48304,Bloomfield Hills,MI,Oakland County,42.5
49026,Bloomingdale,MI,Van Buren County,32.5
49618,Boon,MI,Wexford County,32.5
49712,Boyne City,MI,Charlevoix County,32.5
49713,Boyne Falls,MI,Charlevoix County,32.5
49311,Bradley,MI,Allegan County,32.5
49402,Branch,MI,Mason County,32.5
48614,Brant,MI,Saginaw County,32.5
48615,Breckenridge,MI,Gratiot County,32.5
49027,Breedsville,MI,Van Buren County,32.5
49619,Brethren,MI,Manistee County,32.5
48722,Bridgeport,MI,Saginaw County,42.5
48115,Bridgewater,MI,Washtenaw County,42.5
49106,Bridgman,MI,Berrien County,42.5
48114,Brighton,MI,Livingston County,42.5
48116,Brighton,MI,Livingston County,42.5
49229,Britton,MI,Lenawee County,42.5
49312,Brohman,MI,Newaygo County,32.5
49028,Bronson,MI,Branch County,32.5
49230,Brooklyn,MI,Jackson County,42.5
48416,Brown City,MI,Sanilac County,32.5
49716,Brutus,MI,Emmet County,32.5
49107,Buchanan,MI,Berrien County,42.5
49620,Buckley,MI,Wexford County,32.5
49029,Burlington,MI,Calhoun County,32.5
49314,Burnips,MI,Allegan County,32.5
49030,Burr Oak,MI,St. Joseph County,42.5
48417,Burt,MI,Saginaw County,42.5
49717,Burt Lake,MI,Cheboygan County,32.5
48509,Burton,MI,Genesee County,42.5
48519,Burton,MI,Genesee County,42.5
48529,Burton,MI,Genesee County,42.5
48418,Byron,MI,Shiawassee County,42.5
49315,Byron Center,MI,Kent County,32.5
49601,Cadillac,MI,Wexford County,32.5
49316,Caledonia,MI,Kent County,32.5
49232,Camden,MI,Hillsdale County,32.5
49317,Cannonsburg,MI,Kent County,32.5
48187,Canton,MI,Wayne County,42.5
48188,Canton,MI,Wayne County,42.5
48014,Capac,MI,St. Clair County,42.5
48117,Carleton,MI,Monroe County,42.5
48723,Caro,MI,Tuscola County,32.5
49718,Carp Lake,MI,Emmet County,32.5
48724,Carrollton,MI,Saginaw County,32.5
48811,Carson City,MI,Montcalm County,32.5
48419,Carsonville,MI,Sanilac County,32.5
48064,Casco,MI,St. Clair County,42.5
48725,Caseville,MI,Huron County,32.5
49318,Casnovia,MI,Muskegon County,32.5
48726,Cass City,MI,Tuscola County,32.5
49031,Cassopolis,MI,Cass County,42.5
49621,Cedar,MI,Leelanau County,32.5
48812,Cedar Lake,MI,Montcalm County,32.5
49319,Cedar Springs,MI,Kent County,32.5
49233,Cement City,MI,Hillsdale County,42.5
48015,Center Line,MI,Macomb County,42.5
49622,Central Lake,MI,Antrim County,32.5
49032,Centreville,MI,St. Joseph County,42.5
49033,Ceresco,MI,Calhoun County,32.5
49720,Charlevoix,MI,Charlevoix County,32.5
48813,Charlotte,MI,Eaton County,42.5
49623,Chase,MI,Lake County,32.5
49721,Cheboygan,MI,Cheboygan County,32.5
48118,Chelsea,MI,Washtenaw County,42.5
48616,Chesaning,MI,Saginaw County,32.5
49320,Chippewa Lake,MI,Mecosta County,32.5
48617,Clare,MI,Clare County,32.5
49234,Clarklake,MI,Jackson County,42.5
48346,Clarkston,MI,Oakland County,42.5
48347,Clarkston,MI,Oakland County,42.5
48348,Clarkston,MI,Oakland County,42.5
48815,Clarksville,MI,Ionia County,32.5
48017,Clawson,MI,Oakland County,42.5
49235,Clayton,MI,Lenawee County,32.5
48727,Clifford,MI,Lapeer County,32.5
49034,Climax,MI,Kalamazoo County,32.5
49236,Clinton,MI,Lenawee County,42.5
48035,Clinton Township,MI,Macomb County,42.5
48036,Clinton Township,MI,Macomb County,42.5
48038,Clinton Township,MI,Macomb County,42.5
48420,Clio,MI,Genesee County,42.5
49035,Cloverdale,MI,Barry County,32.5
48816,Cohoctah,MI,Livingston County,32.5
49036,Coldwater,MI,Branch County,32.5
48618,Coleman,MI,Midland County,32.5
49038,Coloma,MI,Berrien County,42.5
49040,Colon,MI,St. Joseph County,42.5
48421,Columbiaville,MI,Lapeer County,42.5
48063,Columbus,MI,St. Clair County,42.5
48619,Comins,MI,Oscoda County,32.5
48382,Commerce Township,MI,Oakland County,42.5
49041,Comstock,MI,Kalamazoo County,32.5
49321,Comstock Park,MI,Kent County,32.5
49237,Concord,MI,Jackson County,42.5
49403,Conklin,MI,Ottawa County,32.5
49042,Constantine,MI,St. Joseph County,42.5
49722,Conway,MI,Emmet County,32.5
49404,Coopersville,MI,Ottawa County,32.5
49625,Copemish,MI,Manistee County,32.5
49322,Coral,MI,Montcalm County,32.5
48817,Corunna,MI,Shiawassee County,42.5
49043,Covert,MI,Van Buren County,32.5
49723,Cross Village,MI,Emmet County,32.5
48422,Croswell,MI,Sanilac County,32.5
48818,Crystal,MI,Montcalm County,32.5
48728,Curran,MI,Alcona County,32.5
49405,Custer,MI,Mason County,32.5
48819,Dansville,MI,Ingham County,32.5
48350,Davisburg,MI,Oakland County,42.5
48423,Davison,MI,Genesee County,42.5
48120,Dearborn,MI,Wayne County,42.5
48121,Dearborn,MI,Wayne County,42.5
48123,Dearborn,MI,Wayne County,42.5
48124,Dearborn,MI,Wayne County,42.5
48126,Dearborn,MI,Wayne County,42.5
48128,Dearborn,MI,Wayne County,42.5
48125,Dearborn Heights,MI,Wayne County,42.5
48127,Dearborn Heights,MI,Wayne County,42.5
49045,Decatur,MI,Van Buren County,32.5
48426,Decker,MI,Sanilac County,32.5
48427,Deckerville,MI,Sanilac County,32.5
49238,Deerfield,MI,Lenawee County,42.5
48729,Deford,MI,Tuscola County,32.5
49046,Delton,MI,Barry County,32.5
48201,Detroit,MI,Wayne County,42.5
48202,Detroit,MI,Wayne County,42.5
48204,Detroit,MI,Wayne County,42.5
48205,Detroit,MI,Wayne County,42.5
48206,Detroit,MI,Wayne County,42.5
48207,Detroit,MI,Wayne County,42.5
48208,Detroit,MI,Wayne County,42.5
48209,Detroit,MI,Wayne County,42.5
48210,Detroit,MI,Wayne County,42.5
48211,Detroit,MI,Wayne County,42.5
48213,Detroit,MI,Wayne County,42.5
