zip,city,state,county,payout
64720,Adrian,MO,Bates County,42.5
64401,Agency,MO,Buchanan County,42.5
64830,Alba,MO,Jasper County,32.5
64402,Albany,MO,Gentry County,42.5
65601,Aldrich,MO,Polk County,32.5
64420,Allendale,MO,Worth County,32.5
64001,Alma,MO,Lafayette County,42.5
64620,Altamont,MO,Daviess County,32.5
64421,Amazonia,MO,Andrew County,42.5
64422,Amity,MO,Dekalb County,42.5
64722,Amoret,MO,Bates County,42.5
64723,Amsterdam,MO,Bates County,42.5
64831,Anderson,MO,Mcdonald County,32.5
63330,Annada,MO,Pike County,32.5
64724,Appleton City,MO,St. Clair County,42.5
64725,Archie,MO,Cass County,42.5
65603,Arcola,MO,Dade County,32.5
63010,Arnold,MO,Jefferson County,32.5
64832,Asbury,MO,Jasper County,32.5
65604,Ash Grove,MO,Greene County,32.5
63332,Augusta,MO,St. Charles County,32.5
65605,Aurora,MO,Lawrence County,32.5
65608,Ava,MO,Douglas County,32.5
64833,Avilla,MO,Jasper County,32.5
65609,Bakersfield,MO,Ozark County,32.5
63011,Ballwin,MO,St. Louis County,32.5
63021,Ballwin,MO,St. Louis County,32.5
63022,Ballwin,MO,St. Louis County,32.5
63024,Ballwin,MO,St. Louis County,32.5
64423,Barnard,MO,Nodaway County,42.5
63012,Barnhart,MO,Jefferson County,32.5
64011,Bates City,MO,Lafayette County,42.5
64012,Belton,MO,Cass County,42.5
63014,Berger,MO,Franklin County,32.5
64424,Bethany,MO,Harrison County,42.5
65436,Beulah,MO,Phelps County,32.5
65610,Billings,MO,Christian County,32.5
65321,Blackburn,MO,Saline County,32.5
64726,Blairstown,MO,Henry County,42.5
63627,Bloomsdale,MO,Ste. Genevieve County,32.5
65611,Blue Eye,MO,Stone County,32.5
64013,Blue Springs,MO,Jackson County,32.5
64014,Blue Springs,MO,Jackson County,42.5
64015,Blue Springs,MO,Jackson County,42.5
64426,Blythedale,MO,Harrison County,32.5
64622,Bogard,MO,Carroll County,42.5
65612,Bois D Arc,MO,Greene County,32.5
64427,Bolckow,MO,Andrew County,32.5
65613,Bolivar,MO,Polk County,32.5
63628,Bonne Terre,MO,St. Francois County,32.5
65440,Boss,MO,Dent County,32.5
65441,Bourbon,MO,Crawford County,32.5
65614,Bradleyville,MO,Taney County,32.5
65615,Branson,MO,Taney County,32.5
65616,Branson,MO,Taney County,32.5
64624,Braymer,MO,Caldwell County,42.5
64625,Breckenridge,MO,Caldwell County,42.5
63044,Bridgeton,MO,St. Louis County,32.5
65617,Brighton,MO,Polk County,32.5
65618,Brixey,MO,Ozark County,32.5
64728,Bronaugh,MO,Vernon County,42.5
65619,Brookline,MO,Greene County,32.5
65620,Bruner,MO,Christian County,32.5
64016,Buckner,MO,Jackson County,42.5
65444,Bucyrus,MO,Texas County,32.5
65622,Buffalo,MO,Dallas County,32.5
64428,Burlington Junction,MO,Nodaway County,42.5
64730,Butler,MO,Bates County,42.5
65623,Butterfield,MO,Barry County,32.5
65689,Cabool,MO,Texas County,32.5
64632,Cainsville,MO,Harrison County,42.5
65323,Calhoun,MO,Henry County,42.5
64017,Camden,MO,Ray County,42.5
64018,Camden Point,MO,Platte County,42.5
65020,Camdenton,MO,Camden County,32.5
64429,Cameron,MO,Clinton County,42.5
65624,Cape Fair,MO,Stone County,32.5
65607,Caplinger Mills,MO,Cedar County,32.5
64834,Carl Junction,MO,Jasper County,32.5
64633,Carrollton,MO,Carroll County,42.5
64835,Carterville,MO,Jasper County,32.5
64836,Carthage,MO,Jasper County,32.5
65625,Cassville,MO,Barry County,32.5
63015,Catawissa,MO,Franklin County,32.5
63016,Cedar Hill,MO,Jefferson County,32.5
65627,Cedarcreek,MO,Taney County,32.5
64019,Centerview,MO,Johnson County,42.5
65629,Chadwick,MO,Christian County,32.5
63005,Chesterfield,MO,St. Louis County,32.5
63006,Chesterfield,MO,St. Louis County,32.5
63017,Chesterfield,MO,St. Louis County,32.5
65630,Chestnutridge,MO,Christian County,32.5
64733,Chilhowee,MO,Johnson County,42.5
64601,Chillicothe,MO,Livingston County,42.5
64635,Chula,MO,Livingston County,42.5
64430,Clarksdale,MO,Dekalb County,42.5
63336,Clarksville,MO,Pike County,32.5
64431,Clearmont,MO,Nodaway County,32.5
64734,Cleveland,MO,Cass County,42.5
65631,Clever,MO,Christian County,32.5
65324,Climax Springs,MO,Camden County,32.5
64735,Clinton,MO,Henry County,42.5
64432,Clyde,MO,Nodaway County,32.5
64636,Coffey,MO,Daviess County,42.5
64738,Collins,MO,St. Clair County,32.5
64433,Conception,MO,Nodaway County,32.5
64434,Conception Junction,MO,Nodaway County,32.5
64020,Concordia,MO,Lafayette County,42.5
65632,Conway,MO,Laclede County,32.5
64021,Corder,MO,Lafayette County,42.5
64436,Cosby,MO,Andrew County,32.5
63338,Cottleville,MO,St. Charles County,32.5
64637,Cowgill,MO,Caldwell County,42.5
64437,Craig,MO,Holt County,32.5
65633,Crane,MO,Stone County,32.5
64739,Creighton,MO,Cass County,42.5
65452,Crocker,MO,Pulaski County,32.5
65634,Cross Timbers,MO,Hickory County,32.5
63019,Crystal City,MO,Jefferson County,32.5
65453,Cuba,MO,Crawford County,32.5
65635,Dadeville,MO,Dade County,32.5
64438,Darlington,MO,Gentry County,42.5
64638,Dawn,MO,Livingston County,42.5
64440,De Kalb,MO,Buchanan County,42.5
63020,De Soto,MO,Jefferson County,32.5
64639,De Witt,MO,Carroll County,42.5
64439,Dearborn,MO,Platte County,42.5
64740,Deepwater,MO,Henry County,42.5
64741,Deerfield,MO,Vernon County,42.5
63341,Defiance,MO,St. Charles County,32.5
64441,Denver,MO,Worth County,42.5
65457,Devils Elbow,MO,Pulaski County,32.5
64840,Diamond,MO,Newton County,32.5
65636,Diggins,MO,Webster County,32.5
63023,Dittmer,MO,Jefferson County,32.5
65459,Dixon,MO,Pulaski County,32.5
65637,Dora,MO,Ozark County,32.5
64022,Dover,MO,Lafayette County,42.5
64742,Drexel,MO,Cass County,42.5
65638,Drury,MO,Douglas County,32.5
64841,Duenweg,MO,Jasper County,32.5
65461,Duke,MO,Phelps County,32.5
65640,Dunnegan,MO,Polk County,32.5
63342,Dutzow,MO,Warren County,32.5
65641,Eagle Rock,MO,Barry County,32.5
64442,Eagleville,MO,Harrison County,32.5
63045,Earth City,MO,St. Louis County,32.5
64743,East Lynne,MO,Cass County,42.5
64443,Easton,MO,Buchanan County,42.5
65462,Edgar Springs,MO,Phelps County,32.5
64444,Edgerton,MO,Platte County,42.5
65326,Edwards,MO,Benton County,32.5
64744,El Dorado Springs,MO,Cedar County,42.5
65463,Eldridge,MO,Laclede County,32.5
65464,Elk Creek,MO,Texas County,32.5
65644,Elkland,MO,Dallas County,32.5
64445,Elmo,MO,Nodaway County,32.5
63343,Elsberry,MO,Lincoln County,32.5
65327,Emma,MO,Saline County,42.5
63344,Eolia,MO,Pike County,32.5
65468,Eunice,MO,Texas County,32.5
63025,Eureka,MO,St. Louis County,32.5
65646,Everton,MO,Dade County,32.5
64024,Excelsior Springs,MO,Clay County,42.5
65647,Exeter,MO,Barry County,32.5
65648,Fair Grove,MO,Greene County,32.5
65649,Fair Play,MO,Polk County,32.5
64446,Fairfax,MO,Atchison County,32.5
64842,Fairview,MO,Newton County,32.5
65470,Falcon,MO,Laclede County,32.5
64028,Farley,MO,Platte County,42.5
63640,Farmington,MO,St. Francois County,32.5
64448,Faucett,MO,Buchanan County,42.5
63026,Fenton,MO,St. Louis County,32.5
63099,Fenton,MO,St. Louis County,32.5
63028,Festus,MO,Jefferson County,32.5
64449,Fillmore,MO,Andrew County,32.5
65650,Flemington,MO,Hickory County,32.5
63346,Flinthill,MO,St. Charles County,32.5
63031,Florissant,MO,St. Louis County,32.5
63032,Florissant,MO,St. Louis County,32.5
63033,Florissant,MO,St. Louis County,32.5
63034,Florissant,MO,St. Louis County,32.5
63347,Foley,MO,Lincoln County,32.5
65652,Fordland,MO,Webster County,32.5
64451,Forest City,MO,Holt County,42.5
63348,Foristell,MO,St. Charles County,32.5
65653,Forsyth,MO,Taney County,32.5
65473,Fort Leonard Wood,MO,Pulaski County,32.5
64745,Foster,MO,Bates County,42.5
64746,Freeman,MO,Cass County,42.5
65654,Freistatt,MO,Lawrence County,32.5
65251,Fulton,MO,Callaway County,32.5
65655,Gainesville,MO,Ozark County,32.5
65656,Galena,MO,Stone County,32.5
64640,Gallatin,MO,Daviess County,42.5
64641,Galt,MO,Grundy County,42.5
64747,Garden City,MO,Cass County,42.5
65657,Garrison,MO,Christian County,32.5
64453,Gentry,MO,Gentry County,32.5
63037,Gerald,MO,Franklin County,32.5
64642,Gilman City,MO,Harrison County,42.5
65658,Golden,MO,Barry County,32.5
64748,Golden City,MO,Barton County,32.5
64843,Goodman,MO,Mcdonald County,32.5
64454,Gower,MO,Clinton County,42.5
65660,Graff,MO,Wright County,32.5
64455,Graham,MO,Nodaway County,42.5
64029,Grain Valley,MO,Jackson County,42.5
64844,Granby,MO,Newton County,32.5
64030,Grandview,MO,Jackson County,42.5
