zip,city,state,county,payout
38602,Arkabutla,MS,Tate County,32.5
38606,Batesville,MS,Panola County,32.5
39737,Bellefontaine,MS,Webster County,32.5
38914,Big Creek,MS,Calhoun County,32.5
38611,Byhalia,MS,Marshall County,32.5
38916,Calhoun City,MS,Calhoun County,32.5
38917,Carrollton,MS,Carroll County,32.5
38920,Cascilla,MS,Tallahatchie County,32.5
38921,Charleston,MS,Tallahatchie County,32.5
38614,Clarksdale,MS,Coahoma County,32.5
38617,Coahoma,MS,Coahoma County,32.5
38922,Coffeeville,MS,Yalobusha County,32.5
38923,Coila,MS,Carroll County,32.5
38618,Coldwater,MS,Tate County,32.5
38619,Como,MS,Panola County,32.5
38620,Courtland,MS,Panola County,32.5
38621,Crenshaw,MS,Panola County,32.5
38622,Crowder,MS,Quitman County,32.5
38924,Cruger,MS,Holmes County,32.5
38623,Darling,MS,Quitman County,32.5
38839,Derma,MS,Calhoun County,32.5
38739,Dublin,MS,Coahoma County,32.5
38925,Duck Hill,MS,Montgomery County,32.5
38626,Dundee,MS,Tunica County,32.5
39063,Durant,MS,Holmes County,32.5
38926,Elliott,MS,Grenada County,32.5
38927,Enid,MS,Tallahatchie County,32.5
39067,Ethel,MS,Attala County,32.5
39744,Eupora,MS,Webster County,32.5
38630,Farrell,MS,Coahoma County,32.5
39745,French Camp,MS,Choctaw County,32.5
38631,Friars Point,MS,Coahoma County,32.5
38928,Glendora,MS,Tallahatchie County,32.5
39079,Goodman,MS,Holmes County,32.5
38929,Gore Springs,MS,Grenada County,32.5
38930,Greenwood,MS,Leflore County,32.5
38935,Greenwood,MS,Leflore County,32.5
38945,Greenwood,MS,Leflore County,32.5
38901,Grenada,MS,Grenada County,32.5
38632,Hernando,MS,Desoto County,32.5
38633,Hickory Flat,MS,Benton County,32.5
38940,Holcomb,MS,Grenada County,32.5
38634,Holly Springs,MS,Marshall County,32.5
38635,Holly Springs,MS,Marshall County,32.5
38637,Horn Lake,MS,Desoto County,32.5
38638,Independence,MS,Tate County,32.5
38941,Itta Bena,MS,Leflore County,32.5
38639,Jonestown,MS,Coahoma County,32.5
39747,Kilmichael,MS,Montgomery County,32.5
39090,Kosciusko,MS,Attala County,32.5
38641,Lake Cormorant,MS,Desoto County,32.5
38643,Lambert,MS,Quitman County,32.5
39095,Lexington,MS,Holmes County,32.5
38644,Lula,MS,Coahoma County,32.5
38645,Lyon,MS,Coahoma County,32.5
39750,Maben,MS,Webster County,32.5
39751,Mantee,MS,Webster County,32.5
38609,Marks,MS,Quitman County,32.5
38646,Marks,MS,Quitman County,32.5
39752,Mathiston,MS,Webster County,32.5
38943,McCarley,MS,Carroll County,32.5
38944,Minter City,MS,Leflore County,32.5
38946,Morgan City,MS,Leflore County,32.5
38649,Mount Pleasant,MS,Marshall County,32.5
38651,Nesbit,MS,Desoto County,32.5
38947,North Carrollton,MS,Carroll County,32.5
38948,Oakland,MS,Yalobusha County,32.5
38654,Olive Branch,MS,Desoto County,32.5
38950,Philipp,MS,Tallahatchie County,32.5
38951,Pittsboro,MS,Calhoun County,32.5
38658,Pope,MS,Panola County,32.5
38659,Potts Camp,MS,Marshall County,32.5
38661,Red Banks,MS,Marshall County,32.5
38767,Rena Lara,MS,Coahoma County,32.5
38664,Robinsonville,MS,Tunica County,32.5
39160,Sallis,MS,Attala County,32.5
38665,Sarah,MS,Tate County,32.5
38666,Sardis,MS,Panola County,32.5
38952,Schlater,MS,Leflore County,32.5
38953,Scobey,MS,Yalobusha County,32.5
38668,Senatobia,MS,Tate County,32.5
38669,Sherard,MS,Coahoma County,32.5
38954,Sidon,MS,Leflore County,32.5
38955,Slate Spring,MS,Webster County,32.5
38628,Sledge,MS,Quitman County,32.5
38670,Sledge,MS,Quitman County,32.5
38671,Southaven,MS,Desoto County,32.5
38672,Southaven,MS,Desoto County,32.5
39767,Stewart,MS,Webster County,32.5
38957,Sumner,MS,Tallahatchie County,32.5
38958,Swan Lake,MS,Leflore County,32.5
39169,Tchula,MS,Holmes County,32.5
38961,Tillatoba,MS,Yalobusha County,32.5
38962,Tippo,MS,Tallahatchie County,32.5
38676,Tunica,MS,Tunica County,32.5
38963,Tutwiler,MS,Tallahatchie County,32.5
39176,Vaiden,MS,Carroll County,32.5
38964,Vance,MS,Quitman County,32.5
38878,Vardaman,MS,Calhoun County,32.5
38679,Victoria,MS,Marshall County,32.5
38680,Walls,MS,Desoto County,32.5
38686,Walls,MS,Desoto County,32.5
39771,Walthall,MS,Webster County,32.5
38685,Waterford,MS,Marshall County,32.5
38966,Webb,MS,Tallahatchie County,32.5
39192,West,MS,Attala County,32.5
38967,Winona,MS,Montgomery County,32.5
