zip,city,state,county,payout
28315,Aberdeen,NC,Moore County,32.5
27006,Advance,NC,Davie County,32.5
27910,Ahoskie,NC,Hertford County,32.5
27201,Alamance,NC,Alamance County,32.5
28001,Albemarle,NC,Stanly County,32.5
28002,Albemarle,NC,Stanly County,32.5
28508,Albertson,NC,Duplin County,32.5
28006,Alexis,NC,Gaston County,42.5
28509,Alliance,NC,Pamlico County,32.5
27202,Altamahaw,NC,Alamance County,32.5
28901,Andrews,NC,Cherokee County,32.5
27501,Angier,NC,Harnett County,42.5
28007,Ansonville,NC,Anson County,32.5
27502,Apex,NC,Wake County,42.5
27523,Apex,NC,Wake County,42.5
27539,Apex,NC,Wake County,42.5
28510,Arapahoe,NC,Pamlico County,32.5
27007,Ararat,NC,Surry County,32.5
28704,Arden,NC,Buncombe County,32.5
28420,Ash,NC,Brunswick County,32.5
27203,Asheboro,NC,Randolph County,32.5
27204,Asheboro,NC,Randolph County,32.5
27205,Asheboro,NC,Randolph County,32.5
28801,Asheville,NC,Buncombe County,32.5
28802,Asheville,NC,Buncombe County,32.5
28803,Asheville,NC,Buncombe County,32.5
28804,Asheville,NC,Buncombe County,32.5
28805,Asheville,NC,Buncombe County,32.5
28806,Asheville,NC,Buncombe County,32.5
28810,Asheville,NC,Buncombe County,32.5
28813,Asheville,NC,Buncombe County,32.5
28814,Asheville,NC,Buncombe County,32.5
28815,Asheville,NC,Buncombe County,32.5
28816,Asheville,NC,Buncombe County,32.5
28421,Atkinson,NC,Pender County,32.5
28511,Atlantic,NC,Carteret County,32.5
28512,Atlantic Beach,NC,Carteret County,32.5
27805,Aulander,NC,Bertie County,32.5
28318,Autryville,NC,Sampson County,32.5
27915,Avon,NC,Dare County,32.5
28513,Ayden,NC,Pitt County,32.5
27916,Aydlett,NC,Currituck County,32.5
28009,Badin,NC,Stanly County,32.5
27503,Bahama,NC,Durham County,32.5
27807,Bailey,NC,Nash County,42.5
28705,Bakersville,NC,Mitchell County,32.5
28707,Balsam,NC,Jackson County,32.5
28708,Balsam Grove,NC,Transylvania County,32.5
28604,Banner Elk,NC,Watauga County,32.5
27917,Barco,NC,Currituck County,32.5
28010,Barium Springs,NC,Iredell County,32.5
28709,Barnardsville,NC,Buncombe County,32.5
28319,Barnesville,NC,Robeson County,32.5
28710,Bat Cave,NC,Henderson County,32.5
27808,Bath,NC,Beaufort County,32.5
27809,Battleboro,NC,Nash County,42.5
28515,Bayboro,NC,Pamlico County,32.5
27207,Bear Creek,NC,Chatham County,32.5
28516,Beaufort,NC,Carteret County,32.5
27009,Belews Creek,NC,Forsyth County,32.5
27810,Belhaven,NC,Beaufort County,32.5
27811,Bellarthur,NC,Pitt County,32.5
28012,Belmont,NC,Gaston County,42.5
27919,Belvidere,NC,Perquimans County,32.5
27208,Bennett,NC,Chatham County,32.5
27504,Benson,NC,Johnston County,42.5
28016,Bessemer City,NC,Gaston County,42.5
27010,Bethania,NC,Forsyth County,32.5
27812,Bethel,NC,Pitt County,32.5
28518,Beulaville,NC,Duplin County,32.5
27813,Black Creek,NC,Wilson County,32.5
28711,Black Mountain,NC,Buncombe County,32.5
28320,Bladenboro,NC,Bladen County,32.5
27212,Blanch,NC,Caswell County,32.5
27814,Blounts Creek,NC,Beaufort County,32.5
28605,Blowing Rock,NC,Watauga County,32.5
28017,Boiling Springs,NC,Cleveland County,32.5
28422,Bolivia,NC,Brunswick County,32.5
28423,Bolton,NC,Columbus County,32.5
27213,Bonlee,NC,Chatham County,32.5
28606,Boomer,NC,Wilkes County,32.5
28607,Boone,NC,Watauga County,32.5
28608,Boone,NC,Watauga County,32.5
27011,Boonville,NC,Yadkin County,32.5
28018,Bostic,NC,Rutherford County,32.5
28902,Brasstown,NC,Clay County,32.5
28712,Brevard,NC,Transylvania County,32.5
28519,Bridgeton,NC,Craven County,32.5
27505,Broadway,NC,Harnett County,32.5
27214,Browns Summit,NC,Guilford County,32.5
28424,Brunswick,NC,Columbus County,32.5
28713,Bryson City,NC,Swain County,32.5
27506,Buies Creek,NC,Harnett County,32.5
27507,Bullock,NC,Granville County,32.5
27508,Bunn,NC,Franklin County,32.5
28323,Bunnlevel,NC,Harnett County,32.5
28425,Burgaw,NC,Pender County,32.5
27215,Burlington,NC,Alamance County,32.5
27216,Burlington,NC,Alamance County,32.5
27217,Burlington,NC,Alamance County,32.5
28714,Burnsville,NC,Yancey County,32.5
27509,Butner,NC,Granville County,42.5
27920,Buxton,NC,Dare County,32.5
27228,Bynum,NC,Chatham County,42.5
28467,Calabash,NC,Brunswick County,32.5
28325,Calypso,NC,Duplin County,32.5
27921,Camden,NC,Camden County,32.5
28326,Cameron,NC,Harnett County,32.5
28542,Camp Lejeune,NC,Onslow County,32.5
28547,Camp Lejeune,NC,Onslow County,32.5
28715,Candler,NC,Buncombe County,32.5
27229,Candor,NC,Montgomery County,32.5
28716,Canton,NC,Haywood County,32.5
28019,Caroleen,NC,Rutherford County,32.5
28428,Carolina Beach,NC,New Hanover County,32.5
27510,Carrboro,NC,Orange County,42.5
28327,Carthage,NC,Moore County,32.5
27511,Cary,NC,Wake County,42.5
27512,Cary,NC,Wake County,42.5
27513,Cary,NC,Wake County,42.5
27518,Cary,NC,Wake County,42.5
27519,Cary,NC,Wake County,42.5
28020,Casar,NC,Cleveland County,32.5
28717,Cashiers,NC,Jackson County,32.5
27816,Castalia,NC,Nash County,32.5
28429,Castle Hayne,NC,New Hanover County,32.5
28609,Catawba,NC,Catawba County,32.5
27230,Cedar Falls,NC,Randolph County,32.5
27231,Cedar Grove,NC,Orange County,32.5
28520,Cedar Island,NC,Carteret County,32.5
28718,Cedar Mountain,NC,Transylvania County,32.5
28430,Cerro Gordo,NC,Columbus County,32.5
28431,Chadbourn,NC,Columbus County,32.5
27514,Chapel Hill,NC,Orange County,42.5
27515,Chapel Hill,NC,Orange County,42.5
27516,Chapel Hill,NC,Orange County,32.5
27517,Chapel Hill,NC,Orange County,42.5
27599,Chapel Hill,NC,Orange County,42.5
