zip,city,state,county,payout
68301,Adams,NE,Gage County,32.5
68303,Alexandria,NE,Thayer County,32.5
68304,Alvo,NE,Cass County,32.5
68621,Ames,NE,Dodge County,32.5
68002,Arlington,NE,Washington County,32.5
68003,Ashland,NE,Saunders County,32.5
68305,Auburn,NE,Nemaha County,32.5
68307,Avoca,NE,Cass County,32.5
68309,Barneston,NE,Gage County,32.5
68310,Beatrice,NE,Gage County,32.5
68313,Beaver Crossing,NE,Seward County,32.5
68314,Bee,NE,Seward County,32.5
68005,Bellevue,NE,Sarpy County,32.5
68123,Bellevue,NE,Sarpy County,32.5
68147,Bellevue,NE,Sarpy County,32.5
68624,Bellwood,NE,Butler County,32.5
68315,Belvidere,NE,Thayer County,32.5
68317,Bennet,NE,Lancaster County,32.5
68007,Bennington,NE,Douglas County,32.5
68008,Blair,NE,Washington County,32.5
68009,Blair,NE,Washington County,32.5
68318,Blue Springs,NE,Gage County,32.5
68010,Boys Town,NE,Douglas County,32.5
68626,Brainard,NE,Butler County,32.5
68320,Brock,NE,Nemaha County,32.5
68321,Brownville,NE,Nemaha County,32.5
68322,Bruning,NE,Thayer County,32.5
68014,Bruno,NE,Butler County,32.5
68323,Burchard,NE,Pawnee County,32.5
68324,Burr,NE,Otoe County,32.5
68015,Cedar Bluffs,NE,Saunders County,32.5
68016,Cedar Creek,NE,Cass County,32.5
68017,Ceresco,NE,Saunders County,32.5
68629,Clarkson,NE,Colfax County,32.5
68328,Clatonia,NE,Gage County,32.5
68018,Colon,NE,Saunders County,32.5
68329,Cook,NE,Johnson County,32.5
68330,Cordova,NE,Seward County,32.5
68331,Cortland,NE,Gage County,32.5
68332,Crab Orchard,NE,Johnson County,32.5
68019,Craig,NE,Burt County,32.5
68333,Crete,NE,Saline County,32.5
68336,Davey,NE,Lancaster County,32.5
68632,David City,NE,Butler County,32.5
68337,Dawson,NE,Richardson County,32.5
68338,Daykin,NE,Jefferson County,32.5
68341,De Witt,NE,Saline County,32.5
68339,Denton,NE,Lancaster County,32.5
68342,Diller,NE,Jefferson County,32.5
68633,Dodge,NE,Dodge County,32.5
68343,Dorchester,NE,Saline County,32.5
68344,Douglas,NE,Otoe County,32.5
68345,Du Bois,NE,Pawnee County,32.5
68346,Dunbar,NE,Otoe County,32.5
68635,Dwight,NE,Butler County,32.5
68347,Eagle,NE,Cass County,32.5
68348,Elk Creek,NE,Johnson County,32.5
68022,Elkhorn,NE,Douglas County,32.5
68349,Elmwood,NE,Cass County,32.5
68350,Endicott,NE,Jefferson County,32.5
68351,Exeter,NE,Fillmore County,32.5
68352,Fairbury,NE,Jefferson County,32.5
68354,Fairmont,NE,Fillmore County,32.5
68355,Falls City,NE,Richardson County,32.5
68357,Filley,NE,Gage County,32.5
68358,Firth,NE,Lancaster County,32.5
68023,Fort Calhoun,NE,Washington County,32.5
68025,Fremont,NE,Dodge County,32.5
68026,Fremont,NE,Dodge County,32.5
68359,Friend,NE,Saline County,32.5
68360,Garland,NE,Seward County,32.5
68364,Goehner,NE,Seward County,32.5
68366,Greenwood,NE,Cass County,32.5
68367,Gresham,NE,York County,32.5
68028,Gretna,NE,Sarpy County,32.5
68368,Hallam,NE,Lancaster County,32.5
68029,Herman,NE,Washington County,32.5
68372,Hickman,NE,Lancaster County,32.5
68031,Hooper,NE,Dodge County,32.5
68641,Howells,NE,Colfax County,32.5
68375,Hubbell,NE,Thayer County,32.5
68376,Humboldt,NE,Richardson County,32.5
68033,Ithaca,NE,Saunders County,32.5
68377,Jansen,NE,Jefferson County,32.5
68378,Johnson,NE,Nemaha County,32.5
68034,Kennard,NE,Washington County,32.5
68128,La Vista,NE,Sarpy County,32.5
68643,Leigh,NE,Colfax County,32.5
68380,Lewiston,NE,Pawnee County,32.5
68381,Liberty,NE,Gage County,32.5
68501,Lincoln,NE,Lancaster County,32.5
68502,Lincoln,NE,Lancaster County,32.5
68503,Lincoln,NE,Lancaster County,32.5
68504,Lincoln,NE,Lancaster County,32.5
68505,Lincoln,NE,Lancaster County,32.5
68506,Lincoln,NE,Lancaster County,32.5
68507,Lincoln,NE,Lancaster County,32.5
68508,Lincoln,NE,Lancaster County,32.5
68509,Lincoln,NE,Lancaster County,32.5
68510,Lincoln,NE,Lancaster County,32.5
68512,Lincoln,NE,Lancaster County,32.5
68514,Lincoln,NE,Lancaster County,32.5
68516,Lincoln,NE,Lancaster County,32.5
68517,Lincoln,NE,Lancaster County,32.5
68520,Lincoln,NE,Lancaster County,32.5
68521,Lincoln,NE,Lancaster County,32.5
68522,Lincoln,NE,Lancaster County,32.5
68523,Lincoln,NE,Lancaster County,32.5
68524,Lincoln,NE,Lancaster County,32.5
68526,Lincoln,NE,Lancaster County,32.5
68527,Lincoln,NE,Lancaster County,32.5
68528,Lincoln,NE,Lancaster County,32.5
68529,Lincoln,NE,Lancaster County,32.5
68531,Lincoln,NE,Lancaster County,32.5
68532,Lincoln,NE,Lancaster County,32.5
68542,Lincoln,NE,Lancaster County,32.5
68583,Lincoln,NE,Lancaster County,32.5
68588,Lincoln,NE,Lancaster County,32.5
68036,Linwood,NE,Butler County,32.5
68382,Lorton,NE,Otoe County,32.5
68037,Louisville,NE,Cass County,32.5
68402,Malcolm,NE,Lancaster County,32.5
68040,Malmo,NE,Saunders County,32.5
68403,Manley,NE,Cass County,32.5
68404,Martell,NE,Lancaster County,32.5
68041,Mead,NE,Saunders County,32.5
68042,Memphis,NE,Saunders County,32.5
68405,Milford,NE,Seward County,32.5
68648,Morse Bluff,NE,Saunders County,32.5
68407,Murdock,NE,Cass County,32.5
68409,Murray,NE,Cass County,32.5
68410,Nebraska City,NE,Otoe County,32.5
68413,Nehawka,NE,Cass County,32.5
68414,Nemaha,NE,Nemaha County,32.5
68044,Nickerson,NE,Dodge County,32.5
68649,North Bend,NE,Dodge County,32.5
68415,Odell,NE,Gage County,32.5
68113,Offutt Afb,NE,Sarpy County,32.5
68101,Omaha,NE,Douglas County,32.5
68102,Omaha,NE,Douglas County,32.5
68103,Omaha,NE,Douglas County,32.5
68104,Omaha,NE,Douglas County,32.5
68105,Omaha,NE,Douglas County,32.5
68106,Omaha,NE,Douglas County,32.5
68107,Omaha,NE,Douglas County,32.5
68108,Omaha,NE,Douglas County,32.5
68109,Omaha,NE,Douglas County,32.5
68110,Omaha,NE,Douglas County,32.5
68111,Omaha,NE,Douglas County,32.5
68112,Omaha,NE,Douglas County,32.5
68114,Omaha,NE,Douglas County,32.5
68116,Omaha,NE,Douglas County,32.5
68117,Omaha,NE,Douglas County,32.5
68118,Omaha,NE,Douglas County,32.5
68119,Omaha,NE,Douglas County,32.5
68120,Omaha,NE,Douglas County,32.5
68122,Omaha,NE,Douglas County,32.5
68124,Omaha,NE,Douglas County,32.5
68127,Omaha,NE,Douglas County,32.5
68130,Omaha,NE,Douglas County,32.5
68131,Omaha,NE,Douglas County,32.5
68132,Omaha,NE,Douglas County,32.5
68134,Omaha,NE,Douglas County,32.5
68135,Omaha,NE,Douglas County,32.5
68136,Omaha,NE,Sarpy County,32.5
68137,Omaha,NE,Douglas County,32.5
68138,Omaha,NE,Sarpy County,32.5
68139,Omaha,NE,Douglas County,32.5
68142,Omaha,NE,Douglas County,32.5
68144,Omaha,NE,Douglas County,32.5
68145,Omaha,NE,Douglas County,32.5
68152,Omaha,NE,Douglas County,32.5
68154,Omaha,NE,Douglas County,32.5
68155,Omaha,NE,Douglas County,32.5
68157,Omaha,NE,Sarpy County,32.5
68164,Omaha,NE,Douglas County,32.5
68172,Omaha,NE,Douglas County,32.5
68175,Omaha,NE,Douglas County,32.5
68176,Omaha,NE,Douglas County,32.5
68178,Omaha,NE,Douglas County,32.5
68179,Omaha,NE,Douglas County,32.5
68180,Omaha,NE,Douglas County,32.5
68182,Omaha,NE,Douglas County,32.5
68183,Omaha,NE,Douglas County,32.5
68197,Omaha,NE,Douglas County,32.5
68198,Omaha,NE,Douglas County,32.5
68417,Otoe,NE,Otoe County,32.5
68418,Palmyra,NE,Otoe County,32.5
68419,Panama,NE,Lancaster County,32.5
68046,Papillion,NE,Sarpy County,32.5
68133,Papillion,NE,Sarpy County,32.5
68420,Pawnee City,NE,Pawnee County,32.5
68421,Peru,NE,Nemaha County,32.5
68422,Pickrell,NE,Gage County,32.5
68048,Plattsmouth,NE,Cass County,32.5
68423,Pleasant Dale,NE,Seward County,32.5
68424,Plymouth,NE,Jefferson County,32.5
68050,Prague,NE,Saunders County,32.5
68428,Raymond,NE,Lancaster County,32.5
68658,Rising City,NE,Butler County,32.5
68430,Roca,NE,Lancaster County,32.5
68659,Rogers,NE,Colfax County,32.5
68431,Rulo,NE,Richardson County,32.5
68433,Salem,NE,Richardson County,32.5
68661,Schuyler,NE,Colfax County,32.5
68057,Scribner,NE,Dodge County,32.5
68434,Seward,NE,Seward County,32.5
68437,Shubert,NE,Richardson County,32.5
68664,Snyder,NE,Dodge County,32.5
68058,South Bend,NE,Cass County,32.5
68438,Sprague,NE,Lancaster County,32.5
68059,Springfield,NE,Sarpy County,32.5
68056,St Columbans,NE,Sarpy County,32.5
68439,Staplehurst,NE,Seward County,32.5
68440,Steele City,NE,Jefferson County,32.5
68441,Steinauer,NE,Pawnee County,32.5
68442,Stella,NE,Richardson County,32.5
68443,Sterling,NE,Johnson County,32.5
68667,Surprise,NE,Butler County,32.5
68445,Swanton,NE,Saline County,32.5
68446,Syracuse,NE,Otoe County,32.5
68447,Table Rock,NE,Pawnee County,32.5
68448,Talmage,NE,Otoe County,32.5
68450,Tecumseh,NE,Johnson County,32.5
68061,Tekamah,NE,Burt County,32.5
68453,Tobias,NE,Saline County,32.5
68063,Uehling,NE,Dodge County,32.5
68669,Ulysses,NE,Butler County,32.5
68454,Unadilla,NE,Otoe County,32.5
68455,Union,NE,Cass County,32.5
68456,Utica,NE,Seward County,32.5
68064,Valley,NE,Douglas County,32.5
68065,Valparaiso,NE,Saunders County,32.5
68457,Verdon,NE,Richardson County,32.5
68458,Virginia,NE,Gage County,32.5
68460,Waco,NE,York County,32.5
68066,Wahoo,NE,Saunders County,32.5
68461,Walton,NE,Lancaster County,32.5
68068,Washington,NE,Washington County,32.5
68069,Waterloo,NE,Douglas County,32.5
68462,Waverly,NE,Lancaster County,32.5
68463,Weeping Water,NE,Cass County,32.5
68464,Western,NE,Saline County,32.5
68070,Weston,NE,Saunders County,32.5
68465,Wilber,NE,Saline County,32.5
68072,Winslow,NE,Dodge County,32.5
68466,Wymore,NE,Gage County,32.5
68073,Yutan,NE,Saunders County,32.5
