zip,city,state,county,payout
87510,Abiquiu,NM,Rio Arriba County,32.5
87101,Albuquerque,NM,Bernalillo County,32.5
87102,Albuquerque,NM,Bernalillo County,32.5
87103,Albuquerque,NM,Bernalillo County,32.5
87104,Albuquerque,NM,Bernalillo County,32.5
87105,Albuquerque,NM,Bernalillo County,32.5
87106,Albuquerque,NM,Bernalillo County,32.5
87107,Albuquerque,NM,Bernalillo County,32.5
87108,Albuquerque,NM,Bernalillo County,32.5
87109,Albuquerque,NM,Bernalillo County,32.5
87110,Albuquerque,NM,Bernalillo County,32.5
87111,Albuquerque,NM,Bernalillo County,32.5
87112,Albuquerque,NM,Bernalillo County,32.5
87113,Albuquerque,NM,Bernalillo County,32.5
87114,Albuquerque,NM,Bernalillo County,32.5
87115,Albuquerque,NM,Bernalillo County,32.5
87116,Albuquerque,NM,Bernalillo County,32.5
87119,Albuquerque,NM,Bernalillo County,32.5
87120,Albuquerque,NM,Bernalillo County,32.5
87121,Albuquerque,NM,Bernalillo County,32.5
87122,Albuquerque,NM,Bernalillo County,42.5
87123,Albuquerque,NM,Bernalillo County,32.5
87125,Albuquerque,NM,Bernalillo County,32.5
87131,Albuquerque,NM,Bernalillo County,32.5
87151,Albuquerque,NM,Bernalillo County,32.5
87153,Albuquerque,NM,Bernalillo County,32.5
87154,Albuquerque,NM,Bernalillo County,32.5
87158,Albuquerque,NM,Bernalillo County,32.5
87165,Albuquerque,NM,Bernalillo County,32.5
87176,Albuquerque,NM,Bernalillo County,32.5
87181,Albuquerque,NM,Bernalillo County,32.5
87184,Albuquerque,NM,Bernalillo County,32.5
87185,Albuquerque,NM,Bernalillo County,32.5
87187,Albuquerque,NM,Bernalillo County,32.5
87190,Albuquerque,NM,Bernalillo County,32.5
87191,Albuquerque,NM,Bernalillo County,32.5
87192,Albuquerque,NM,Bernalillo County,32.5
87193,Albuquerque,NM,Bernalillo County,32.5
87194,Albuquerque,NM,Bernalillo County,32.5
87195,Albuquerque,NM,Bernalillo County,32.5
87196,Albuquerque,NM,Bernalillo County,32.5
87197,Albuquerque,NM,Bernalillo County,32.5
87198,Albuquerque,NM,Bernalillo County,32.5
87199,Albuquerque,NM,Bernalillo County,32.5
87511,Alcalde,NM,Rio Arriba County,32.5
87001,Algodones,NM,Sandoval County,32.5
87512,Amalia,NM,Taos County,32.5
87710,Angel Fire,NM,Colfax County,32.5
87711,Anton Chico,NM,Guadalupe County,32.5
87820,Aragon,NM,Catron County,32.5
87513,Arroyo Hondo,NM,Taos County,32.5
87514,Arroyo Seco,NM,Taos County,32.5
87410,Aztec,NM,San Juan County,32.5
87002,Belen,NM,Valencia County,32.5
87004,Bernalillo,NM,Sandoval County,32.5
87412,Blanco,NM,San Juan County,32.5
87413,Bloomfield,NM,San Juan County,32.5
87005,Bluewater,NM,Cibola County,32.5
87006,Bosque,NM,Socorro County,32.5
87068,Bosque Farms,NM,Valencia County,32.5
87310,Brimhall,NM,Mckinley County,32.5
87712,Buena Vista,NM,Mora County,32.5
87515,Canjilon,NM,Rio Arriba County,32.5
87516,Canones,NM,Rio Arriba County,32.5
88316,Capitan,NM,Lincoln County,32.5
88414,Capulin,NM,Union County,32.5
87517,Carson,NM,Taos County,32.5
87007,Casa Blanca,NM,Cibola County,32.5
87518,Cebolla,NM,Rio Arriba County,32.5
87008,Cedar Crest,NM,Bernalillo County,32.5
87009,Cedarvale,NM,Torrance County,32.5
87010,Cerrillos,NM,Santa Fe County,32.5
87519,Cerro,NM,Taos County,32.5
87713,Chacon,NM,Mora County,32.5
87520,Chama,NM,Rio Arriba County,32.5
87521,Chamisal,NM,Taos County,32.5
87522,Chimayo,NM,Rio Arriba County,32.5
87311,Church Rock,NM,Mckinley County,32.5
87714,Cimarron,NM,Colfax County,32.5
87011,Claunch,NM,Lincoln County,32.5
87715,Cleveland,NM,Mora County,32.5
87070,Clines Corners,NM,Torrance County,32.5
87083,Cochiti Lake,NM,Sandoval County,32.5
87072,Cochiti Pueblo,NM,Sandoval County,32.5
87312,Continental Divide,NM,Mckinley County,32.5
87523,Cordova,NM,Rio Arriba County,32.5
88318,Corona,NM,Lincoln County,32.5
87048,Corrales,NM,Sandoval County,42.5
87524,Costilla,NM,Taos County,32.5
87018,Counselor,NM,Sandoval County,32.5
87012,Coyote,NM,Rio Arriba County,32.5
87313,Crownpoint,NM,Mckinley County,32.5
87013,Cuba,NM,Sandoval County,32.5
87014,Cubero,NM,Cibola County,32.5
88417,Cuervo,NM,Guadalupe County,32.5
87821,Datil,NM,Catron County,32.5
88418,Des Moines,NM,Union County,32.5
87527,Dixon,NM,Rio Arriba County,32.5
88115,Dora,NM,Roosevelt County,42.5
87528,Dulce,NM,Rio Arriba County,32.5
87718,Eagle Nest,NM,Colfax County,32.5
87015,Edgewood,NM,Santa Fe County,32.5
87529,El Prado,NM,Taos County,32.5
87530,El Rito,NM,Rio Arriba County,32.5
87531,Embudo,NM,Rio Arriba County,32.5
88321,Encino,NM,Torrance County,32.5
87532,Espanola,NM,Rio Arriba County,32.5
87533,Espanola,NM,Rio Arriba County,32.5
87016,Estancia,NM,Torrance County,32.5
87401,Farmington,NM,San Juan County,32.5
