zip,city,state,county,payout
89004,Blue Diamond,NV,Clark County,32.5
89005,Boulder City,NV,Clark County,42.5
89006,Boulder City,NV,Clark County,32.5
89007,Bunkerville,NV,Clark County,32.5
89039,Cal Nev Ari,NV,Clark County,32.5
89701,Carson City,NV,Carson city,32.5
89702,Carson City,NV,Carson city,32.5
89703,Carson City,NV,Carson city,32.5
89705,Carson City,NV,Douglas County,32.5
89706,Carson City,NV,Carson city,32.5
89711,Carson City,NV,Carson city,32.5
89712,Carson City,NV,Carson city,32.5
89713,Carson City,NV,Carson city,32.5
89714,Carson City,NV,Carson city,32.5
89721,Carson City,NV,Carson city,32.5
89037,Coyote Springs,NV,Clark County,32.5
89402,Crystal Bay,NV,Washoe County,32.5
89403,Dayton,NV,Lyon County,32.5
89314,Duckwater,NV,Nye County,32.5
89802,Elko,NV,Elko County,32.5
89803,Elko,NV,Elko County,32.5
89405,Empire,NV,Washoe County,32.5
89406,Fallon,NV,Churchill County,32.5
89407,Fallon,NV,Churchill County,32.5
89496,Fallon,NV,Churchill County,32.5
89408,Fernley,NV,Lyon County,32.5
89409,Gabbs,NV,Nye County,32.5
89410,Gardnerville,NV,Douglas County,32.5
89460,Gardnerville,NV,Douglas County,32.5
89411,Genoa,NV,Douglas County,32.5
89412,Gerlach,NV,Washoe County,32.5
89413,Glenbrook,NV,Douglas County,32.5
89002,Henderson,NV,Clark County,42.5
89009,Henderson,NV,Clark County,32.5
89011,Henderson,NV,Clark County,42.5
89012,Henderson,NV,Clark County,42.5
89014,Henderson,NV,Clark County,42.5
89015,Henderson,NV,Clark County,42.5
89016,Henderson,NV,Clark County,32.5
89044,Henderson,NV,Clark County,42.5
89052,Henderson,NV,Clark County,42.5
89053,Henderson,NV,Clark County,32.5
89074,Henderson,NV,Clark County,42.5
89077,Henderson,NV,Clark County,32.5
89418,Imlay,NV,Pershing County,32.5
89450,Incline Village,NV,Washoe County,32.5
89451,Incline Village,NV,Washoe County,32.5
89452,Incline Village,NV,Washoe County,32.5
89018,Indian Springs,NV,Clark County,32.5
89070,Indian Springs,NV,Clark County,32.5
89019,Jean,NV,Clark County,42.5
89026,Jean,NV,Clark County,42.5
89101,Las Vegas,NV,Clark County,42.5
89102,Las Vegas,NV,Clark County,42.5
89103,Las Vegas,NV,Clark County,42.5
89104,Las Vegas,NV,Clark County,42.5
89105,Las Vegas,NV,Clark County,32.5
89106,Las Vegas,NV,Clark County,42.5
89107,Las Vegas,NV,Clark County,42.5
89108,Las Vegas,NV,Clark County,42.5
89109,Las Vegas,NV,Clark County,42.5
89110,Las Vegas,NV,Clark County,42.5
89111,Las Vegas,NV,Clark County,32.5
89112,Las Vegas,NV,Clark County,32.5
89113,Las Vegas,NV,Clark County,42.5
89114,Las Vegas,NV,Clark County,32.5
89115,Las Vegas,NV,Clark County,42.5
89116,Las Vegas,NV,Clark County,32.5
89117,Las Vegas,NV,Clark County,42.5
89118,Las Vegas,NV,Clark County,42.5
89119,Las Vegas,NV,Clark County,42.5
89120,Las Vegas,NV,Clark County,42.5
89121,Las Vegas,NV,Clark County,42.5
89122,Las Vegas,NV,Clark County,42.5
89123,Las Vegas,NV,Clark County,42.5
89124,Las Vegas,NV,Clark County,42.5
89125,Las Vegas,NV,Clark County,42.5
89126,Las Vegas,NV,Clark County,32.5
89127,Las Vegas,NV,Clark County,32.5
89128,Las Vegas,NV,Clark County,42.5
89129,Las Vegas,NV,Clark County,42.5
89130,Las Vegas,NV,Clark County,42.5
89131,Las Vegas,NV,Clark County,42.5
89132,Las Vegas,NV,Clark County,32.5
89133,Las Vegas,NV,Clark County,32.5
89134,Las Vegas,NV,Clark County,42.5
89135,Las Vegas,NV,Clark County,42.5
89136,Las Vegas,NV,Clark County,32.5
89137,Las Vegas,NV,Clark County,32.5
89138,Las Vegas,NV,Clark County,42.5
89139,Las Vegas,NV,Clark County,42.5
89140,Las Vegas,NV,Clark County,32.5
89141,Las Vegas,NV,Clark County,42.5
89142,Las Vegas,NV,Clark County,42.5
89143,Las Vegas,NV,Clark County,42.5
89144,Las Vegas,NV,Clark County,42.5
89145,Las Vegas,NV,Clark County,42.5
89146,Las Vegas,NV,Clark County,42.5
89147,Las Vegas,NV,Clark County,42.5
89148,Las Vegas,NV,Clark County,42.5
89149,Las Vegas,NV,Clark County,42.5
89150,Las Vegas,NV,Clark County,42.5
89151,Las Vegas,NV,Clark County,42.5
89152,Las Vegas,NV,Clark County,42.5
89153,Las Vegas,NV,Clark County,42.5
89154,Las Vegas,NV,Clark County,32.5
89155,Las Vegas,NV,Clark County,42.5
89156,Las Vegas,NV,Clark County,42.5
89157,Las Vegas,NV,Clark County,32.5
89158,Las Vegas,NV,Clark County,42.5
89159,Las Vegas,NV,Clark County,42.5
89160,Las Vegas,NV,Clark County,32.5
89161,Las Vegas,NV,Clark County,42.5
89162,Las Vegas,NV,Clark County,32.5
89164,Las Vegas,NV,Clark County,42.5
89165,Las Vegas,NV,Clark County,42.5
89166,Las Vegas,NV,Clark County,42.5
89169,Las Vegas,NV,Clark County,42.5
89170,Las Vegas,NV,Clark County,32.5
89173,Las Vegas,NV,Clark County,32.5
89177,Las Vegas,NV,Clark County,32.5
89178,Las Vegas,NV,Clark County,42.5
89179,Las Vegas,NV,Clark County,42.5
89180,Las Vegas,NV,Clark County,32.5
89183,Las Vegas,NV,Clark County,42.5
89185,Las Vegas,NV,Clark County,32.5
89193,Las Vegas,NV,Clark County,32.5
89195,Las Vegas,NV,Clark County,42.5
89199,Las Vegas,NV,Clark County,42.5
89029,Laughlin,NV,Clark County,42.5
89021,Logandale,NV,Clark County,42.5
89024,Mesquite,NV,Clark County,32.5
89027,Mesquite,NV,Clark County,42.5
89034,Mesquite,NV,Clark County,42.5
89423,Minden,NV,Douglas County,32.5
89025,Moapa,NV,Clark County,32.5
89191,Nellis Afb,NV,Clark County,42.5
89424,Nixon,NV,Washoe County,32.5
89030,North Las Vegas,NV,Clark County,42.5
89031,North Las Vegas,NV,Clark County,42.5
89032,North Las Vegas,NV,Clark County,42.5
89033,North Las Vegas,NV,Clark County,42.5
89036,North Las Vegas,NV,Clark County,32.5
89081,North Las Vegas,NV,Clark County,42.5
89084,North Las Vegas,NV,Clark County,42.5
89085,North Las Vegas,NV,Clark County,42.5
89086,North Las Vegas,NV,Clark County,42.5
89087,North Las Vegas,NV,Clark County,42.5
89040,Overton,NV,Clark County,42.5
89041,Pahrump,NV,Nye County,32.5
89048,Pahrump,NV,Nye County,42.5
89060,Pahrump,NV,Nye County,42.5
89061,Pahrump,NV,Nye County,42.5
89501,Reno,NV,Washoe County,32.5
89502,Reno,NV,Washoe County,32.5
89503,Reno,NV,Washoe County,32.5
89504,Reno,NV,Washoe County,32.5
89505,Reno,NV,Washoe County,32.5
89506,Reno,NV,Washoe County,32.5
89507,Reno,NV,Washoe County,32.5
89508,Reno,NV,Washoe County,32.5
89509,Reno,NV,Washoe County,32.5
89510,Reno,NV,Washoe County,32.5
89511,Reno,NV,Washoe County,32.5
89512,Reno,NV,Washoe County,32.5
89513,Reno,NV,Washoe County,32.5
89515,Reno,NV,Washoe County,32.5
89519,Reno,NV,Washoe County,32.5
89520,Reno,NV,Washoe County,32.5
89521,Reno,NV,Washoe County,32.5
89523,Reno,NV,Washoe County,32.5
89533,Reno,NV,Washoe County,32.5
89555,Reno,NV,Washoe County,32.5
89557,Reno,NV,Washoe County,32.5
89570,Reno,NV,Washoe County,32.5
89595,Reno,NV,Washoe County,32.5
89599,Reno,NV,Washoe County,32.5
89046,Searchlight,NV,Clark County,42.5
89428,Silver City,NV,Lyon County,32.5
89429,Silver Springs,NV,Lyon County,32.5
89054,Sloan,NV,Clark County,42.5
89430,Smith,NV,Lyon County,32.5
89431,Sparks,NV,Washoe County,32.5
89432,Sparks,NV,Washoe County,32.5
89434,Sparks,NV,Washoe County,32.5
89435,Sparks,NV,Washoe County,32.5
89436,Sparks,NV,Washoe County,32.5
89441,Sparks,NV,Washoe County,32.5
89449,Stateline,NV,Douglas County,32.5
89433,Sun Valley,NV,Washoe County,32.5
89163,The Lakes,NV,Clark County,42.5
89439,Verdi,NV,Washoe County,32.5
89440,Virginia City,NV,Storey County,32.5
89442,Wadsworth,NV,Washoe County,32.5
89704,Washoe Valley,NV,Washoe County,32.5
89444,Wellington,NV,Douglas County,32.5
89883,West Wendover,NV,Elko County,42.5
89445,Winnemucca,NV,Humboldt County,32.5
89446,Winnemucca,NV,Humboldt County,32.5
89447,Yerington,NV,Lyon County,32.5
89448,Zephyr Cove,NV,Douglas County,32.5
