zip,city,state,county,payout
29620,Abbeville,SC,Abbeville County,32.5
29426,Adams Run,SC,Charleston County,32.5
29801,Aiken,SC,Aiken County,42.5
29802,Aiken,SC,Aiken County,42.5
29803,Aiken,SC,Aiken County,42.5
29804,Aiken,SC,Aiken County,42.5
29805,Aiken,SC,Aiken County,42.5
29808,Aiken,SC,Aiken County,42.5
29810,Allendale,SC,Allendale County,42.5
29621,Anderson,SC,Anderson County,32.5
29622,Anderson,SC,Anderson County,32.5
29623,Anderson,SC,Anderson County,32.5
29624,Anderson,SC,Anderson County,32.5
29625,Anderson,SC,Anderson County,32.5
29626,Anderson,SC,Anderson County,32.5
29510,Andrews,SC,Georgetown County,32.5
29320,Arcadia,SC,Spartanburg County,32.5
29429,Awendaw,SC,Charleston County,32.5
29511,Aynor,SC,Horry County,32.5
29003,Bamberg,SC,Bamberg County,32.5
29812,Barnwell,SC,Barnwell County,42.5
29006,Batesburg,SC,Lexington County,32.5
29816,Bath,SC,Aiken County,42.5
29902,Beaufort,SC,Beaufort County,32.5
29903,Beaufort,SC,Beaufort County,32.5
29904,Beaufort,SC,Beaufort County,32.5
29906,Beaufort,SC,Beaufort County,32.5
29907,Beaufort,SC,Beaufort County,32.5
29842,Beech Island,SC,Aiken County,42.5
29627,Belton,SC,Anderson County,32.5
29512,Bennettsville,SC,Marlboro County,32.5
29430,Bethera,SC,Berkeley County,32.5
29009,Bethune,SC,Kershaw County,32.5
29702,Blacksburg,SC,Cherokee County,32.5
29817,Blackville,SC,Barnwell County,42.5
29015,Blair,SC,Fairfield County,32.5
29516,Blenheim,SC,Marlboro County,32.5
29910,Bluffton,SC,Beaufort County,32.5
29016,Blythewood,SC,Richland County,32.5
29316,Boiling Springs,SC,Spartanburg County,32.5
29431,Bonneau,SC,Berkeley County,32.5
29703,Bowling Green,SC,York County,32.5
29018,Bowman,SC,Orangeburg County,32.5
29819,Bradley,SC,Greenwood County,32.5
29432,Branchville,SC,Orangeburg County,32.5
29911,Brunson,SC,Hampton County,32.5
29321,Buffalo,SC,Union County,32.5
29518,Cades,SC,Williamsburg County,32.5
29628,Calhoun Falls,SC,Abbeville County,32.5
29020,Camden,SC,Kershaw County,32.5
29021,Camden,SC,Kershaw County,32.5
29030,Cameron,SC,Calhoun County,32.5
29322,Campobello,SC,Spartanburg County,32.5
29433,Canadys,SC,Colleton County,32.5
29031,Carlisle,SC,Union County,32.5
29032,Cassatt,SC,Kershaw County,32.5
29704,Catawba,SC,York County,32.5
29033,Cayce,SC,Lexington County,32.5
29519,Centenary,SC,Marion County,32.5
29630,Central,SC,Pickens County,32.5
29036,Chapin,SC,Lexington County,32.5
29037,Chappells,SC,Newberry County,32.5
29402,Charleston,SC,Charleston County,32.5
29403,Charleston,SC,Charleston County,32.5
29406,Charleston,SC,Charleston County,32.5
29407,Charleston,SC,Charleston County,32.5
29409,Charleston,SC,Charleston County,32.5
29412,Charleston,SC,Charleston County,32.5
29413,Charleston,SC,Charleston County,32.5
29414,Charleston,SC,Charleston County,32.5
29416,Charleston,SC,Charleston County,32.5
29417,Charleston,SC,Charleston County,32.5
29422,Charleston,SC,Charleston County,32.5
29423,Charleston,SC,Charleston County,32.5
29424,Charleston,SC,Charleston County,32.5
29425,Charleston,SC,Charleston County,32.5
29492,Charleston,SC,Berkeley County,32.5
29404,Charleston Afb,SC,Charleston County,32.5
29520,Cheraw,SC,Chesterfield County,32.5
29323,Chesnee,SC,Spartanburg County,32.5
29706,Chester,SC,Chester County,32.5
29709,Chesterfield,SC,Chesterfield County,32.5
29821,Clarks Hill,SC,Mccormick County,42.5
29822,Clearwater,SC,Aiken County,42.5
29631,Clemson,SC,Pickens County,32.5
29632,Clemson,SC,Pickens County,32.5
29633,Clemson,SC,Pickens County,32.5
29634,Clemson,SC,Pickens County,32.5
29635,Cleveland,SC,Greenville County,32.5
29324,Clifton,SC,Spartanburg County,32.5
29525,Clio,SC,Marlboro County,32.5
29710,Clover,SC,York County,32.5
29201,Columbia,SC,Richland County,32.5
29202,Columbia,SC,Richland County,32.5
29203,Columbia,SC,Richland County,32.5
29204,Columbia,SC,Richland County,32.5
29205,Columbia,SC,Richland County,32.5
29206,Columbia,SC,Richland County,32.5
29207,Columbia,SC,Richland County,32.5
29208,Columbia,SC,Richland County,32.5
29209,Columbia,SC,Richland County,32.5
29210,Columbia,SC,Richland County,32.5
29211,Columbia,SC,Richland County,32.5
29212,Columbia,SC,Lexington County,32.5
29214,Columbia,SC,Richland County,32.5
29215,Columbia,SC,Richland County,32.5
29216,Columbia,SC,Richland County,32.5
29217,Columbia,SC,Richland County,32.5
29218,Columbia,SC,Richland County,32.5
29219,Columbia,SC,Richland County,32.5
29220,Columbia,SC,Richland County,32.5
29221,Columbia,SC,Richland County,32.5
29222,Columbia,SC,Richland County,32.5
29223,Columbia,SC,Richland County,32.5
29224,Columbia,SC,Richland County,32.5
29225,Columbia,SC,Richland County,32.5
29226,Columbia,SC,Richland County,32.5
29227,Columbia,SC,Richland County,32.5
29228,Columbia,SC,Richland County,32.5
29229,Columbia,SC,Richland County,32.5
29230,Columbia,SC,Richland County,32.5
29240,Columbia,SC,Richland County,32.5
29250,Columbia,SC,Richland County,32.5
29260,Columbia,SC,Richland County,32.5
29290,Columbia,SC,Richland County,32.5
29292,Columbia,SC,Richland County,32.5
29636,Conestee,SC,Greenville County,32.5
29329,Converse,SC,Spartanburg County,32.5
29526,Conway,SC,Horry County,32.5
29527,Conway,SC,Horry County,32.5
29528,Conway,SC,Horry County,32.5
29912,Coosawhatchie,SC,Jasper County,32.5
29038,Cope,SC,Orangeburg County,32.5
29434,Cordesville,SC,Berkeley County,32.5
29039,Cordova,SC,Orangeburg County,32.5
