zip,city,state,county,payout
24210,Abingdon,VA,Washington County,32.5
24211,Abingdon,VA,Washington County,32.5
24212,Abingdon,VA,Washington County,32.5
23301,Accomac,VA,Accomack County,42.5
23001,Achilles,VA,Gloucester County,42.5
22920,Afton,VA,Nelson County,42.5
23821,Alberta,VA,Brunswick County,42.5
20105,Aldie,VA,Loudoun County,42.5
22301,Alexandria,VA,Alexandria city,42.5
22302,Alexandria,VA,Alexandria city,42.5
22303,Alexandria,VA,Fairfax County,42.5
22304,Alexandria,VA,Alexandria city,42.5
22305,Alexandria,VA,Alexandria city,42.5
22306,Alexandria,VA,Fairfax County,42.5
22307,Alexandria,VA,Fairfax County,42.5
22308,Alexandria,VA,Fairfax County,42.5
22309,Alexandria,VA,Fairfax County,42.5
22310,Alexandria,VA,Fairfax County,42.5
22311,Alexandria,VA,Alexandria city,42.5
22312,Alexandria,VA,Fairfax County,42.5
22313,Alexandria,VA,Alexandria city,42.5
22314,Alexandria,VA,Alexandria city,42.5
22315,Alexandria,VA,Fairfax County,42.5
22320,Alexandria,VA,Alexandria city,42.5
22321,Alexandria,VA,Alexandria city,42.5
22331,Alexandria,VA,Alexandria city,42.5
22332,Alexandria,VA,Alexandria city,42.5
22333,Alexandria,VA,Alexandria city,42.5
22334,Alexandria,VA,Alexandria city,42.5
22336,Alexandria,VA,Alexandria city,42.5
24517,Altavista,VA,Campbell County,32.5
24520,Alton,VA,Halifax County,32.5
23002,Amelia Court House,VA,Amelia County,42.5
24521,Amherst,VA,Amherst County,42.5
20106,Amissville,VA,Culpeper County,42.5
23822,Ammon,VA,Amelia County,42.5
24215,Andover,VA,Wise County,32.5
22003,Annandale,VA,Fairfax County,42.5
24216,Appalachia,VA,Wise County,32.5
24522,Appomattox,VA,Appomattox County,32.5
24053,Ararat,VA,Patrick County,32.5
20107,Arcola,VA,Loudoun County,42.5
23003,Ark,VA,Gloucester County,42.5
22201,Arlington,VA,Arlington County,42.5
22202,Arlington,VA,Arlington County,42.5
22203,Arlington,VA,Arlington County,42.5
22204,Arlington,VA,Arlington County,42.5
22205,Arlington,VA,Arlington County,42.5
22206,Arlington,VA,Arlington County,42.5
22207,Arlington,VA,Arlington County,42.5
22209,Arlington,VA,Arlington County,42.5
22210,Arlington,VA,Arlington County,42.5
