zip,city,state,county,payout
53001,Adell,WI,Sheboygan County,32.5
53501,Afton,WI,Rock County,32.5
53502,Albany,WI,Green County,32.5
53002,Allenton,WI,Washington County,32.5
54909,Almond,WI,Portage County,32.5
54001,Amery,WI,Polk County,42.5
53503,Arena,WI,Iowa County,42.5
53911,Arlington,WI,Columbia County,32.5
53003,Ashippun,WI,Dodge County,32.5
53505,Avalon,WI,Rock County,32.5
54002,Baldwin,WI,St. Croix County,42.5
54810,Balsam Lake,WI,Polk County,42.5
53913,Baraboo,WI,Sauk County,32.5
53507,Barneveld,WI,Iowa County,32.5
53101,Bassett,WI,Kenosha County,32.5
53916,Beaver Dam,WI,Dodge County,32.5
53004,Belgium,WI,Ozaukee County,32.5
53508,Belleville,WI,Dane County,42.5
53511,Beloit,WI,Rock County,42.5
53512,Beloit,WI,Rock County,32.5
53102,Benet Lake,WI,Kenosha County,32.5
54923,Berlin,WI,Green Lake County,32.5
53103,Big Bend,WI,Waukesha County,42.5
53515,Black Earth,WI,Dane County,42.5
53516,Blanchardville,WI,Lafayette County,32.5
53517,Blue Mounds,WI,Dane County,32.5
53919,Brandon,WI,Fond Du Lac County,32.5
53920,Briggsville,WI,Marquette County,32.5
53104,Bristol,WI,Kenosha County,42.5
53520,Brodhead,WI,Green County,32.5
53005,Brookfield,WI,Waukesha County,42.5
53008,Brookfield,WI,Waukesha County,32.5
53045,Brookfield,WI,Waukesha County,42.5
53521,Brooklyn,WI,Dane County,42.5
53006,Brownsville,WI,Dodge County,32.5
53522,Browntown,WI,Green County,32.5
53105,Burlington,WI,Racine County,42.5
53922,Burnett,WI,Dodge County,32.5
53007,Butler,WI,Waukesha County,32.5
53108,Caledonia,WI,Racine County,42.5
53923,Cambria,WI,Columbia County,32.5
53523,Cambridge,WI,Dane County,42.5
53109,Camp Lake,WI,Kenosha County,32.5
53010,Campbellsport,WI,Fond Du Lac County,32.5
53011,Cascade,WI,Sheboygan County,32.5
53013,Cedar Grove,WI,Sheboygan County,32.5
53012,Cedarburg,WI,Ozaukee County,42.5
53525,Clinton,WI,Rock County,32.5
53016,Clyman,WI,Dodge County,32.5
53017,Colgate,WI,Washington County,42.5
53925,Columbus,WI,Columbia County,32.5
53527,Cottage Grove,WI,Dane County,42.5
53528,Cross Plains,WI,Dane County,42.5
53110,Cudahy,WI,Milwaukee County,42.5
53926,Dalton,WI,Green Lake County,32.5
53529,Dane,WI,Dane County,42.5
53114,Darien,WI,Walworth County,32.5
54007,Deer Park,WI,St. Croix County,42.5
53531,Deerfield,WI,Dane County,42.5
53532,Deforest,WI,Dane County,42.5
53018,Delafield,WI,Waukesha County,42.5
53115,Delavan,WI,Walworth County,42.5
53118,Dousman,WI,Waukesha County,42.5
53928,Doylestown,WI,Columbia County,32.5
54009,Dresser,WI,Polk County,32.5
53119,Eagle,WI,Waukesha County,42.5
53120,East Troy,WI,Walworth County,42.5
53019,Eden,WI,Fond Du Lac County,32.5
53534,Edgerton,WI,Rock County,42.5
54932,Eldorado,WI,Fond Du Lac County,32.5
53020,Elkhart Lake,WI,Sheboygan County,32.5
53121,Elkhorn,WI,Walworth County,42.5
54011,Ellsworth,WI,Pierce County,42.5
53122,Elm Grove,WI,Waukesha County,42.5
53930,Endeavor,WI,Marquette County,32.5
53536,Evansville,WI,Rock County,42.5
53931,Fairwater,WI,Fond Du Lac County,32.5
53932,Fall River,WI,Columbia County,32.5
54935,Fond Du Lac,WI,Fond Du Lac County,32.5
54936,Fond Du Lac,WI,Fond Du Lac County,32.5
54937,Fond Du Lac,WI,Fond Du Lac County,32.5
53125,Fontana,WI,Walworth County,32.5
53537,Footville,WI,Rock County,32.5
53538,Fort Atkinson,WI,Jefferson County,42.5
53933,Fox Lake,WI,Dodge County,32.5
53132,Franklin,WI,Milwaukee County,42.5
53126,Franksville,WI,Racine County,42.5
53021,Fredonia,WI,Ozaukee County,32.5
53935,Friesland,WI,Columbia County,32.5
53127,Genesee Depot,WI,Waukesha County,32.5
53128,Genoa City,WI,Walworth County,42.5
53022,Germantown,WI,Washington County,42.5
54124,Gillett,WI,Oconto County,42.5
53023,Glenbeulah,WI,Sheboygan County,32.5
53024,Grafton,WI,Ozaukee County,42.5
54941,Green Lake,WI,Green Lake County,32.5
53026,Greenbush,WI,Sheboygan County,32.5
53129,Greendale,WI,Milwaukee County,42.5
54014,Hager City,WI,Pierce County,42.5
53130,Hales Corners,WI,Milwaukee County,42.5
54015,Hammond,WI,St. Croix County,42.5
53542,Hanover,WI,Rock County,32.5
53027,Hartford,WI,Washington County,42.5
53029,Hartland,WI,Waukesha County,42.5
53137,Helenville,WI,Jefferson County,32.5
53937,Hillpoint,WI,Sauk County,32.5
53031,Hingham,WI,Sheboygan County,32.5
53544,Hollandale,WI,Iowa County,32.5
53138,Honey Creek,WI,Walworth County,32.5
53032,Horicon,WI,Dodge County,32.5
54082,Houlton,WI,St. Croix County,42.5
53033,Hubertus,WI,Washington County,42.5
54016,Hudson,WI,St. Croix County,42.5
53034,Hustisford,WI,Dodge County,32.5
53035,Iron Ridge,WI,Dodge County,32.5
53036,Ixonia,WI,Jefferson County,42.5
53037,Jackson,WI,Washington County,42.5
53545,Janesville,WI,Rock County,42.5
53546,Janesville,WI,Rock County,42.5
53547,Janesville,WI,Rock County,32.5
53548,Janesville,WI,Rock County,42.5
53549,Jefferson,WI,Jefferson County,32.5
53038,Johnson Creek,WI,Jefferson County,32.5
53550,Juda,WI,Green County,32.5
53039,Juneau,WI,Dodge County,32.5
53139,Kansasville,WI,Racine County,32.5
53140,Kenosha,WI,Kenosha County,42.5
53141,Kenosha,WI,Kenosha County,32.5
53142,Kenosha,WI,Kenosha County,42.5
53143,Kenosha,WI,Kenosha County,32.5
53144,Kenosha,WI,Kenosha County,42.5
53040,Kewaskum,WI,Washington County,42.5
53939,Kingston,WI,Green Lake County,32.5
53044,Kohler,WI,Sheboygan County,32.5
53941,La Valle,WI,Sauk County,32.5
53940,Lake Delton,WI,Sauk County,32.5
53147,Lake Geneva,WI,Walworth County,42.5
53551,Lake Mills,WI,Jefferson County,42.5
53046,Lannon,WI,Waukesha County,42.5
53047,Lebanon,WI,Dodge County,32.5
53942,Lime Ridge,WI,Sauk County,32.5
53555,Lodi,WI,Columbia County,42.5
53943,Loganville,WI,Sauk County,32.5
53048,Lomira,WI,Dodge County,32.5
53556,Lone Rock,WI,Richland County,42.5
53557,Lowell,WI,Dodge County,32.5
53148,Lyons,WI,Walworth County,32.5
53701,Madison,WI,Dane County,32.5
53702,Madison,WI,Waukesha County,32.5
53703,Madison,WI,Dane County,42.5
53704,Madison,WI,Dane County,42.5
53705,Madison,WI,Dane County,42.5
53706,Madison,WI,Dane County,42.5
53707,Madison,WI,Dane County,32.5
53708,Madison,WI,Dane County,32.5
53711,Madison,WI,Dane County,42.5
53713,Madison,WI,Dane County,42.5
53714,Madison,WI,Dane County,42.5
53715,Madison,WI,Dane County,42.5
53716,Madison,WI,Dane County,42.5
53717,Madison,WI,Dane County,42.5
53718,Madison,WI,Dane County,42.5
53719,Madison,WI,Dane County,42.5
53725,Madison,WI,Dane County,42.5
53726,Madison,WI,Dane County,42.5
53744,Madison,WI,Dane County,42.5
53774,Madison,WI,Dane County,32.5
53777,Madison,WI,Dane County,32.5
53778,Madison,WI,Dane County,32.5
53779,Madison,WI,Dane County,32.5
53782,Madison,WI,Dane County,32.5
53783,Madison,WI,Dane County,32.5
53784,Madison,WI,Dane County,32.5
53785,Madison,WI,Dane County,32.5
53786,Madison,WI,Dane County,32.5
53788,Madison,WI,Dane County,42.5
53789,Madison,WI,Dane County,32.5
53790,Madison,WI,Dane County,32.5
53791,Madison,WI,Dane County,32.5
53792,Madison,WI,Dane County,42.5
53793,Madison,WI,Dane County,32.5
53794,Madison,WI,Dane County,32.5
53049,Malone,WI,Fond Du Lac County,32.5
53946,Markesan,WI,Green Lake County,32.5
53947,Marquette,WI,Green Lake County,32.5
53559,Marshall,WI,Dane County,42.5
53050,Mayville,WI,Dodge County,32.5
53560,Mazomanie,WI,Dane County,42.5
53558,Mcfarland,WI,Dane County,42.5
53051,Menomonee Falls,WI,Waukesha County,42.5
53052,Menomonee Falls,WI,Waukesha County,32.5
53092,Mequon,WI,Ozaukee County,42.5
53097,Mequon,WI,Ozaukee County,42.5
53561,Merrimac,WI,Sauk County,32.5
53056,Merton,WI,Waukesha County,32.5
53562,Middleton,WI,Dane County,42.5
53563,Milton,WI,Rock County,42.5
53201,Milwaukee,WI,Milwaukee County,42.5
53202,Milwaukee,WI,Milwaukee County,32.5
53203,Milwaukee,WI,Milwaukee County,32.5
53204,Milwaukee,WI,Milwaukee County,42.5
53205,Milwaukee,WI,Milwaukee County,32.5
53206,Milwaukee,WI,Milwaukee County,42.5
53207,Milwaukee,WI,Milwaukee County,42.5
53208,Milwaukee,WI,Milwaukee County,42.5
53209,Milwaukee,WI,Milwaukee County,42.5
53210,Milwaukee,WI,Milwaukee County,42.5
53211,Milwaukee,WI,Milwaukee County,42.5
53212,Milwaukee,WI,Milwaukee County,42.5
53213,Milwaukee,WI,Milwaukee County,42.5
53214,Milwaukee,WI,Milwaukee County,42.5
53215,Milwaukee,WI,Milwaukee County,42.5
53216,Milwaukee,WI,Milwaukee County,42.5
53217,Milwaukee,WI,Milwaukee County,42.5
53218,Milwaukee,WI,Milwaukee County,42.5
53219,Milwaukee,WI,Milwaukee County,42.5
53220,Milwaukee,WI,Milwaukee County,42.5
53221,Milwaukee,WI,Milwaukee County,42.5
53222,Milwaukee,WI,Milwaukee County,42.5
53223,Milwaukee,WI,Milwaukee County,42.5
53224,Milwaukee,WI,Milwaukee County,42.5
53225,Milwaukee,WI,Milwaukee County,42.5
53226,Milwaukee,WI,Milwaukee County,42.5
53227,Milwaukee,WI,Milwaukee County,42.5
53228,Milwaukee,WI,Milwaukee County,42.5
53233,Milwaukee,WI,Milwaukee County,32.5
53234,Milwaukee,WI,Milwaukee County,32.5
53237,Milwaukee,WI,Milwaukee County,32.5
53259,Milwaukee,WI,Milwaukee County,32.5
53263,Milwaukee,WI,Milwaukee County,32.5
53267,Milwaukee,WI,Milwaukee County,32.5
53268,Milwaukee,WI,Milwaukee County,32.5
53274,Milwaukee,WI,Milwaukee County,32.5
53278,Milwaukee,WI,Milwaukee County,32.5
53288,Milwaukee,WI,Milwaukee County,32.5
53290,Milwaukee,WI,Milwaukee County,32.5
53293,Milwaukee,WI,Milwaukee County,32.5
53295,Milwaukee,WI,Milwaukee County,32.5
53566,Monroe,WI,Green County,32.5
53949,Montello,WI,Marquette County,32.5
53570,Monticello,WI,Green County,32.5
53571,Morrisonville,WI,Dane County,42.5
53057,Mount Calvary,WI,Fond Du Lac County,32.5
53572,Mount Horeb,WI,Dane County,42.5
53149,Mukwonago,WI,Waukesha County,42.5
53150,Muskego,WI,Waukesha County,42.5
53058,Nashotah,WI,Waukesha County,42.5
53059,Neosho,WI,Dodge County,32.5
54960,Neshkoro,WI,Marquette County,32.5
53146,New Berlin,WI,Waukesha County,42.5
53151,New Berlin,WI,Waukesha County,42.5
53574,New Glarus,WI,Green County,32.5
53950,New Lisbon,WI,Juneau County,42.5
53152,New Munster,WI,Kenosha County,32.5
54017,New Richmond,WI,St. Croix County,42.5
53060,Newburg,WI,Washington County,32.5
53951,North Freedom,WI,Sauk County,32.5
53064,North Lake,WI,Waukesha County,32.5
53153,North Prairie,WI,Waukesha County,42.5
53154,Oak Creek,WI,Milwaukee County,42.5
53065,Oakfield,WI,Fond Du Lac County,32.5
53066,Oconomowoc,WI,Waukesha County,42.5
53069,Okauchee,WI,Waukesha County,32.5
53070,Oostburg,WI,Sheboygan County,32.5
53575,Oregon,WI,Dane County,42.5
53576,Orfordville,WI,Rock County,42.5
54020,Osceola,WI,Polk County,42.5
53952,Oxford,WI,Adams County,32.5
53953,Packwaukee,WI,Marquette County,32.5
53156,Palmyra,WI,Jefferson County,42.5
53954,Pardeeville,WI,Columbia County,42.5
53157,Pell Lake,WI,Walworth County,32.5
53072,Pewaukee,WI,Waukesha County,42.5
53577,Plain,WI,Sauk County,32.5
53158,Pleasant Prairie,WI,Kenosha County,42.5
53073,Plymouth,WI,Sheboygan County,32.5
53074,Port Washington,WI,Ozaukee County,42.5
53901,Portage,WI,Columbia County,32.5
53159,Powers Lake,WI,Kenosha County,32.5
53955,Poynette,WI,Columbia County,42.5
53578,Prairie Du Sac,WI,Sauk County,42.5
