zip,city,state,county,payout
82050,Albin,WY,Laramie County,32.5
82510,Arapahoe,WY,Fremont County,32.5
82630,Arminto,WY,Natrona County,32.5
82051,Bosler,WY,Albany County,32.5
82052,Buford,WY,Albany County,32.5
82053,Burns,WY,Laramie County,32.5
82054,Carpenter,WY,Laramie County,32.5
82601,Casper,WY,Natrona County,32.5
82602,Casper,WY,Natrona County,32.5
82604,Casper,WY,Natrona County,32.5
82605,Casper,WY,Natrona County,32.5
82609,Casper,WY,Natrona County,32.5
82055,Centennial,WY,Albany County,32.5
82002,Cheyenne,WY,Laramie County,32.5
82003,Cheyenne,WY,Laramie County,32.5
82006,Cheyenne,WY,Laramie County,32.5
82007,Cheyenne,WY,Laramie County,32.5
82008,Cheyenne,WY,Laramie County,32.5
82009,Cheyenne,WY,Laramie County,32.5
82010,Cheyenne,WY,Laramie County,32.5
82210,Chugwater,WY,Platte County,32.5
83116,Diamondville,WY,Lincoln County,42.5
82633,Douglas,WY,Converse County,32.5
82930,Evanston,WY,Uinta County,42.5
82931,Evanston,WY,Uinta County,42.5
82636,Evansville,WY,Natrona County,32.5
82932,Farson,WY,Sweetwater County,42.5
82005,Fe Warren Afb,WY,Laramie County,32.5
82933,Fort Bridger,WY,Uinta County,42.5
82514,Fort Washakie,WY,Fremont County,32.5
83121,Frontier,WY,Lincoln County,42.5
82058,Garrett,WY,Albany County,32.5
82213,Glendo,WY,Platte County,32.5
82637,Glenrock,WY,Converse County,32.5
82934,Granger,WY,Sweetwater County,42.5
82059,Granite Canon,WY,Laramie County,32.5
82935,Green River,WY,Sweetwater County,42.5
82214,Guernsey,WY,Platte County,32.5
82215,Hartville,WY,Platte County,32.5
82638,Hiland,WY,Natrona County,32.5
82060,Hillsdale,WY,Laramie County,32.5
82061,Horse Creek,WY,Laramie County,32.5
82063,Jelm,WY,Albany County,32.5
83101,Kemmerer,WY,Lincoln County,42.5
82520,Lander,WY,Fremont County,32.5
82070,Laramie,WY,Albany County,32.5
82071,Laramie,WY,Albany County,32.5
82072,Laramie,WY,Albany County,32.5
82073,Laramie,WY,Albany County,32.5
82223,Lingle,WY,Goshen County,32.5
82929,Little America,WY,Sweetwater County,42.5
82936,Lonetree,WY,Uinta County,42.5
82937,Lyman,WY,Uinta County,42.5
82642,Lysite,WY,Fremont County,32.5
82938,McKinnon,WY,Sweetwater County,42.5
82081,Meriden,WY,Laramie County,32.5
82644,Mills,WY,Natrona County,32.5
82939,Mountain View,WY,Uinta County,42.5
82646,Natrona,WY,Natrona County,32.5
83124,Opal,WY,Lincoln County,42.5
82082,Pine Bluffs,WY,Laramie County,32.5
82942,Point Of Rocks,WY,Sweetwater County,42.5
82943,Reliance,WY,Sweetwater County,42.5
82501,Riverton,WY,Fremont County,32.5
82944,Robertson,WY,Uinta County,42.5
82083,Rock River,WY,Albany County,32.5
82901,Rock Springs,WY,Sweetwater County,42.5
82902,Rock Springs,WY,Sweetwater County,42.5
82615,Shirley Basin,WY,Carbon County,32.5
82649,Shoshoni,WY,Fremont County,32.5
82945,Superior,WY,Sweetwater County,42.5
83025,Teton Village,WY,Teton County,32.5
82084,Tie Siding,WY,Albany County,32.5
82240,Torrington,WY,Goshen County,32.5
82336,Wamsutter,WY,Sweetwater County,42.5
82201,Wheatland,WY,Platte County,32.5
