zip,city,state,county,payout
85320,Aguila,AZ,Maricopa County,76.0
85117,Apache Junction,AZ,Pinal County,49.5
85119,Apache Junction,AZ,Pinal County,49.5
85120,Apache Junction,AZ,Pinal County,50.88
85178,Apache Junction,AZ,Pinal County,49.5
85123,Arizona City,AZ,Pinal County,39.5
85322,Arlington,AZ,Maricopa County,76.0
85323,Avondale,AZ,Maricopa County,77.49
85392,Avondale,AZ,Maricopa County,77.49
85121,Bapchule,AZ,Pinal County,49.5
85602,Benson,AZ,Cochise County,38.34
85324,Black Canyon City,AZ,Yavapai County,72.45
85325,Bouse,AZ,La Paz County,34.38
85326,Buckeye,AZ,Maricopa County,76.0
85396,Buckeye,AZ,Maricopa County,76.0
86429,Bullhead City,AZ,Mohave County,41.58
86430,Bullhead City,AZ,Mohave County,39.88
86439,Bullhead City,AZ,Mohave County,39.88
86442,Bullhead City,AZ,Mohave County,47.74
86322,Camp Verde,AZ,Yavapai County,45.5
85377,Carefree,AZ,Maricopa County,76.0
85122,Casa Grande,AZ,Pinal County,56.98
85130,Casa Grande,AZ,Pinal County,39.69
85193,Casa Grande,AZ,Pinal County,49.5
85194,Casa Grande,AZ,Pinal County,72.45
85329,Cashion,AZ,Maricopa County,77.49
85738,Catalina,AZ,Pima County,67.72
85327,Cave Creek,AZ,Maricopa County,76.0
85331,Cave Creek,AZ,Maricopa County,76.0
85224,Chandler,AZ,Maricopa County,77.49
85225,Chandler,AZ,Maricopa County,77.49
85226,Chandler,AZ,Maricopa County,77.49
85244,Chandler,AZ,Maricopa County,76.0
85246,Chandler,AZ,Maricopa County,76.0
85248,Chandler,AZ,Maricopa County,76.0
85249,Chandler,AZ,Maricopa County,76.0
85286,Chandler,AZ,Maricopa County,77.49
85127,Chandler Heights,AZ,Maricopa County,76.0
86323,Chino Valley,AZ,Yavapai County,55.13
86431,Chloride,AZ,Mohave County,44.66
85128,Coolidge,AZ,Pinal County,75.77
86325,Cornville,AZ,Yavapai County,45.5
86326,Cottonwood,AZ,Yavapai County,72.45
86327,Dewey,AZ,Yavapai County,55.13
86441,Dolan Springs,AZ,Mohave County,41.58
85335,El Mirage,AZ,Maricopa County,88.2
85131,Eloy,AZ,Pinal County,39.5
85132,Florence,AZ,Pinal County,74.91
85264,Fort Mcdowell,AZ,Maricopa County,76.0
86426,Fort Mohave,AZ,Mohave County,39.88
85268,Fountain Hills,AZ,Maricopa County,76.0
85269,Fountain Hills,AZ,Maricopa County,76.0
85337,Gila Bend,AZ,Maricopa County,76.0
85233,Gilbert,AZ,Maricopa County,76.0
85234,Gilbert,AZ,Maricopa County,76.0
85295,Gilbert,AZ,Maricopa County,76.0
85296,Gilbert,AZ,Maricopa County,76.0
85297,Gilbert,AZ,Maricopa County,76.0
85298,Gilbert,AZ,Maricopa County,76.0
85299,Gilbert,AZ,Maricopa County,76.0
85301,Glendale,AZ,Maricopa County,76.0
85302,Glendale,AZ,Maricopa County,76.0
85303,Glendale,AZ,Maricopa County,76.0
85304,Glendale,AZ,Maricopa County,76.0
85305,Glendale,AZ,Maricopa County,76.0
85306,Glendale,AZ,Maricopa County,76.0
85307,Glendale,AZ,Maricopa County,76.0
85308,Glendale,AZ,Maricopa County,76.0
85310,Glendale,AZ,Maricopa County,76.0
85311,Glendale,AZ,Maricopa County,76.0
85312,Glendale,AZ,Maricopa County,76.0
85318,Glendale,AZ,Maricopa County,76.0
85118,Gold Canyon,AZ,Pinal County,55.44
86413,Golden Valley,AZ,Mohave County,41.58
85338,Goodyear,AZ,Maricopa County,91.35
85395,Goodyear,AZ,Maricopa County,76.23
85614,Green Valley,AZ,Pima County,51.17
85622,Green Valley,AZ,Pima County,38.32
86411,Hackberry,AZ,Mohave County,41.58
85236,Higley,AZ,Maricopa County,76.0
86329,Humboldt,AZ,Yavapai County,49.5
85137,Kearny,AZ,Pinal County,39.5
86401,Kingman,AZ,Mohave County,44.66
86409,Kingman,AZ,Mohave County,47.74
86403,Lake Havasu City,AZ,Mohave County,44.66
86404,Lake Havasu City,AZ,Mohave County,41.58
86405,Lake Havasu City,AZ,Mohave County,39.88
86406,Lake Havasu City,AZ,Mohave County,47.74
86342,Lake Montezuma,AZ,Yavapai County,45.5
85339,Laveen,AZ,Maricopa County,76.0
85340,Litchfield Park,AZ,Maricopa County,76.0
85309,Luke Air Force Base,AZ,Maricopa County,76.0
85618,Mammoth,AZ,Pinal County,39.5
85653,Marana,AZ,Pima County,46.75
85658,Marana,AZ,Pima County,46.75
85138,Maricopa,AZ,Pinal County,75.77
85139,Maricopa,AZ,Pinal County,49.5
86333,Mayer,AZ,Yavapai County,49.5
86444,Meadview,AZ,Mohave County,34.38
85201,Mesa,AZ,Maricopa County,88.2
85202,Mesa,AZ,Maricopa County,77.49
85203,Mesa,AZ,Maricopa County,77.49
85204,Mesa,AZ,Maricopa County,76.0
85205,Mesa,AZ,Maricopa County,76.0
85206,Mesa,AZ,Maricopa County,76.0
85207,Mesa,AZ,Maricopa County,76.0
85208,Mesa,AZ,Maricopa County,100.8
85209,Mesa,AZ,Maricopa County,76.0
85210,Mesa,AZ,Maricopa County,76.0
85211,Mesa,AZ,Maricopa County,76.0
85212,Mesa,AZ,Maricopa County,77.49
85213,Mesa,AZ,Maricopa County,76.0
85214,Mesa,AZ,Maricopa County,76.0
85215,Mesa,AZ,Maricopa County,76.0
85216,Mesa,AZ,Maricopa County,76.0
85274,Mesa,AZ,Maricopa County,76.0
85275,Mesa,AZ,Maricopa County,76.0
85277,Mesa,AZ,Maricopa County,76.0
86440,Mohave Valley,AZ,Mohave County,39.88
85342,Morristown,AZ,Maricopa County,76.0
