zip,city,state,county,payout
19701,Bear,DE,New Castle County,59.5
19930,Bethany Beach,DE,Sussex County,54.25
19931,Bethel,DE,Sussex County,54.25
19933,Bridgeville,DE,Sussex County,54.25
19934,Camden Wyoming,DE,Kent County,54.25
19936,Cheswold,DE,Kent County,54.25
19703,Claymont,DE,New Castle County,59.5
19938,Clayton,DE,Kent County,55.13
19939,Dagsboro,DE,Sussex County,54.25
19706,Delaware City,DE,New Castle County,59.5
19940,Delmar,DE,Sussex County,54.25
19901,Dover,DE,Kent County,55.13
19903,Dover,DE,Kent County,54.25
19904,Dover,DE,Kent County,55.13
19905,Dover,DE,Kent County,44.0
19906,Dover,DE,Kent County,44.0
19902,Dover Afb,DE,Kent County,54.25
19941,Ellendale,DE,Sussex County,55.13
19943,Felton,DE,Kent County,55.13
19944,Fenwick Island,DE,Sussex County,54.25
19945,Frankford,DE,Sussex County,54.25
19946,Frederica,DE,Kent County,55.13
19947,Georgetown,DE,Sussex County,55.13
19950,Greenwood,DE,Sussex County,54.25
19951,Harbeson,DE,Sussex County,54.25
19952,Harrington,DE,Kent County,55.13
19953,Hartly,DE,Kent County,55.13
19707,Hockessin,DE,New Castle County,59.5
19954,Houston,DE,Kent County,54.25
19955,Kenton,DE,Kent County,44.0
19708,Kirkwood,DE,New Castle County,59.5
19956,Laurel,DE,Sussex County,55.13
19958,Lewes,DE,Sussex County,55.13
19960,Lincoln,DE,Sussex County,55.13
19961,Little Creek,DE,Kent County,54.25
19962,Magnolia,DE,Kent County,54.25
19964,Marydel,DE,Kent County,54.25
19709,Middletown,DE,New Castle County,59.5
19963,Milford,DE,Sussex County,54.25
19966,Millsboro,DE,Sussex County,54.25
19967,Millville,DE,Sussex County,54.25
19968,Milton,DE,Sussex County,54.25
19710,Montchanin,DE,New Castle County,59.5
19969,Nassau,DE,Sussex County,54.25
19720,New Castle,DE,New Castle County,59.5
19721,New Castle,DE,New Castle County,59.5
19726,New Castle,DE,New Castle County,59.5
19702,Newark,DE,New Castle County,59.5
19711,Newark,DE,New Castle County,59.5
19712,Newark,DE,New Castle County,59.5
19713,Newark,DE,New Castle County,59.5
19714,Newark,DE,New Castle County,59.5
19715,Newark,DE,New Castle County,59.5
19716,Newark,DE,New Castle County,59.5
19717,Newark,DE,New Castle County,59.5
19718,Newark,DE,New Castle County,59.5
19725,Newark,DE,New Castle County,59.5
19970,Ocean View,DE,Sussex County,55.13
19730,Odessa,DE,New Castle County,59.5
19731,Port Penn,DE,New Castle County,59.5
19971,Rehoboth Beach,DE,Sussex County,55.13
19732,Rockland,DE,New Castle County,59.5
19733,Saint Georges,DE,New Castle County,59.5
19973,Seaford,DE,Sussex County,54.25
19975,Selbyville,DE,Sussex County,55.13
19977,Smyrna,DE,Kent County,55.13
19734,Townsend,DE,New Castle County,59.5
19979,Viola,DE,Kent County,54.25
19801,Wilmington,DE,New Castle County,55.13
19802,Wilmington,DE,New Castle County,55.13
19803,Wilmington,DE,New Castle County,59.5
19804,Wilmington,DE,New Castle County,59.5
19805,Wilmington,DE,New Castle County,59.5
19806,Wilmington,DE,New Castle County,54.5
19807,Wilmington,DE,New Castle County,59.5
19808,Wilmington,DE,New Castle County,59.5
19809,Wilmington,DE,New Castle County,59.5
19810,Wilmington,DE,New Castle County,59.5
19850,Wilmington,DE,New Castle County,54.5
19880,Wilmington,DE,New Castle County,59.5
19884,Wilmington,DE,New Castle County,59.5
19885,Wilmington,DE,New Castle County,59.5
19886,Wilmington,DE,New Castle County,59.5
19890,Wilmington,DE,New Castle County,59.5
19891,Wilmington,DE,New Castle County,59.5
19892,Wilmington,DE,New Castle County,59.5
19893,Wilmington,DE,New Castle County,59.5
19894,Wilmington,DE,New Castle County,59.5
19895,Wilmington,DE,New Castle County,59.5
19896,Wilmington,DE,New Castle County,59.5
19897,Wilmington,DE,New Castle County,59.5
19898,Wilmington,DE,New Castle County,59.5
19899,Wilmington,DE,New Castle County,54.5
19735,Winterthur,DE,New Castle County,59.5
19980,Woodside,DE,Kent County,54.25
19736,Yorklyn,DE,New Castle County,59.5
