zip,city,state,county,payout
32701,Altamonte Springs,FL,Seminole County,51.98
32714,Altamonte Springs,FL,Seminole County,45.38
32715,Altamonte Springs,FL,Seminole County,37.0
32716,Altamonte Springs,FL,Seminole County,37.0
32702,Altoona,FL,Lake County,45.38
33820,Alturas,FL,Polk County,36.5
33920,Alva,FL,Lee County,53.5
34216,Anna Maria,FL,Manatee County,69.0
33572,Apollo Beach,FL,Hillsborough County,69.3
32703,Apopka,FL,Orange County,45.38
32704,Apopka,FL,Orange County,37.5
32712,Apopka,FL,Orange County,51.98
34266,Arcadia,FL,Desoto County,52.5
34269,Arcadia,FL,Desoto County,49.0
32422,Argyle,FL,Walton County,42.0
34679,Aripeka,FL,Pasco County,44.52
34705,Astatula,FL,Lake County,45.38
32102,Astor,FL,Lake County,51.98
32233,Atlantic Beach,FL,Duval County,67.65
33823,Auburndale,FL,Polk County,36.5
33827,Babson Park,FL,Polk County,36.5
32530,Bagdad,FL,Santa Rosa County,43.89
32531,Baker,FL,Okaloosa County,43.89
33503,Balm,FL,Hillsborough County,69.3
32105,Barberville,FL,Volusia County,33.58
33830,Bartow,FL,Polk County,55.13
33831,Bartow,FL,Polk County,36.5
33744,Bay Pines,FL,Pinellas County,59.13
33430,Belle Glade,FL,Palm Beach County,39.38
33786,Belleair Beach,FL,Pinellas County,59.13
34465,Beverly Hills,FL,Citrus County,47.25
33043,Big Pine Key,FL,Monroe County,46.75
33921,Boca Grande,FL,Lee County,53.5
33427,Boca Raton,FL,Palm Beach County,64.75
33428,Boca Raton,FL,Palm Beach County,64.75
33429,Boca Raton,FL,Palm Beach County,64.75
33431,Boca Raton,FL,Palm Beach County,64.75
33432,Boca Raton,FL,Palm Beach County,64.75
33433,Boca Raton,FL,Palm Beach County,64.75
33434,Boca Raton,FL,Palm Beach County,64.75
33464,Boca Raton,FL,Palm Beach County,64.75
33481,Boca Raton,FL,Palm Beach County,64.75
33486,Boca Raton,FL,Palm Beach County,64.75
33487,Boca Raton,FL,Palm Beach County,68.78
33488,Boca Raton,FL,Palm Beach County,64.75
33496,Boca Raton,FL,Palm Beach County,64.75
33497,Boca Raton,FL,Palm Beach County,64.75
33498,Boca Raton,FL,Palm Beach County,64.75
33499,Boca Raton,FL,Palm Beach County,64.75
33922,Bokeelia,FL,Lee County,53.5
32425,Bonifay,FL,Holmes County,43.89
34133,Bonita Springs,FL,Lee County,53.5
34134,Bonita Springs,FL,Lee County,55.13
34135,Bonita Springs,FL,Lee County,55.13
34136,Bonita Springs,FL,Lee County,53.5
33834,Bowling Green,FL,Hardee County,41.65
33424,Boynton Beach,FL,Palm Beach County,64.75
33425,Boynton Beach,FL,Palm Beach County,64.75
33426,Boynton Beach,FL,Palm Beach County,64.75
33435,Boynton Beach,FL,Palm Beach County,64.75
33436,Boynton Beach,FL,Palm Beach County,64.75
33437,Boynton Beach,FL,Palm Beach County,64.75
33472,Boynton Beach,FL,Palm Beach County,64.75
