zip,city,state,county,payout
83214,Arimo,ID,Bannock County,38.5
83420,Ashton,ID,Fremont County,36.75
83801,Athol,ID,Kootenai County,55.0
83602,Banks,ID,Boise County,41.25
83803,Bayview,ID,Kootenai County,49.5
83221,Blackfoot,ID,Bingham County,36.75
83701,Boise,ID,Ada County,102.69
83702,Boise,ID,Ada County,102.69
83703,Boise,ID,Ada County,68.5
83704,Boise,ID,Ada County,68.5
83705,Boise,ID,Ada County,99.27
83706,Boise,ID,Ada County,110.25
83707,Boise,ID,Ada County,68.5
83708,Boise,ID,Ada County,68.5
83709,Boise,ID,Ada County,68.5
83711,Boise,ID,Ada County,68.5
83712,Boise,ID,Ada County,68.5
83713,Boise,ID,Ada County,102.69
83715,Boise,ID,Ada County,68.5
83716,Boise,ID,Ada County,102.69
83717,Boise,ID,Ada County,68.5
83719,Boise,ID,Ada County,68.5
83720,Boise,ID,Ada County,68.5
83722,Boise,ID,Ada County,68.5
83724,Boise,ID,Ada County,68.5
83725,Boise,ID,Ada County,68.5
83726,Boise,ID,Ada County,68.5
83728,Boise,ID,Ada County,68.5
83729,Boise,ID,Ada County,95.48
83731,Boise,ID,Ada County,68.5
83732,Boise,ID,Ada County,68.5
83735,Boise,ID,Ada County,95.48
83756,Boise,ID,Ada County,68.5
83799,Boise,ID,Ada County,97.65
83604,Bruneau,ID,Owyhee County,52.5
83605,Caldwell,ID,Canyon County,102.69
83606,Caldwell,ID,Canyon County,61.25
83607,Caldwell,ID,Canyon County,102.69
83610,Cambridge,ID,Washington County,52.5
83611,Cascade,ID,Valley County,40.04
83810,Cataldo,ID,Kootenai County,49.5
83421,Chester,ID,Fremont County,36.75
83814,Coeur D Alene,ID,Kootenai County,55.0
83815,Coeur d'Alene,ID,Kootenai County,60.9
83816,Coeur d'Alene,ID,Kootenai County,63.0
83615,Donnelly,ID,Valley County,34.65
83234,Downey,ID,Bannock County,38.5
83422,Driggs,ID,Teton County,36.75
83616,Eagle,ID,Ada County,102.69
83617,Emmett,ID,Gem County,52.5
83424,Felt,ID,Teton County,36.75
83236,Firth,ID,Bingham County,36.75
83203,Fort Hall,ID,Bingham County,36.75
83619,Fruitland,ID,Payette County,52.5
83714,Garden City,ID,Ada County,102.69
83622,Garden Valley,ID,Boise County,41.25
83623,Glenns Ferry,ID,Elmore County,52.5
83624,Grand View,ID,Owyhee County,52.5
83626,Greenleaf,ID,Canyon County,61.25
