zip,city,state,county,payout
60101,Addison,IL,Dupage County,50.0
60102,Algonquin,IL,Mchenry County,50.0
60803,Alsip,IL,Cook County,35.0
60002,Antioch,IL,Lake County,35.0
60004,Arlington Heights,IL,Cook County,51.98
60005,Arlington Heights,IL,Cook County,55.44
60006,Arlington Heights,IL,Cook County,50.75
60502,Aurora,IL,Dupage County,35.0
60503,Aurora,IL,Will County,33.6
60504,Aurora,IL,Dupage County,50.0
60505,Aurora,IL,Kane County,56.7
60506,Aurora,IL,Kane County,33.6
60507,Aurora,IL,Kane County,33.6
60569,Aurora,IL,Illinois Statewide,35.0
60572,Aurora,IL,Kane County,35.0
60598,Aurora,IL,Kane County,35.0
60010,Barrington,IL,Lake County,56.7
60011,Barrington,IL,Cook County,52.5
60103,Bartlett,IL,Dupage County,50.75
60510,Batavia,IL,Kane County,50.0
60499,Bedford Park,IL,Cook County,35.0
60401,Beecher,IL,Will County,33.6
60104,Bellwood,IL,Cook County,50.75
61008,Belvidere,IL,Boone County,33.6
60105,Bensenville,IL,Dupage County,35.0
60106,Bensenville,IL,Dupage County,55.44
60163,Berkeley,IL,Cook County,50.75
60402,Berwyn,IL,Cook County,55.44
60108,Bloomingdale,IL,Dupage County,50.0
60117,Bloomingdale,IL,Dupage County,35.0
60406,Blue Island,IL,Cook County,50.75
60440,Bolingbrook,IL,Will County,50.0
60490,Bolingbrook,IL,Will County,50.0
60914,Bourbonnais,IL,Kankakee County,33.6
60455,Bridgeview,IL,Cook County,35.0
60155,Broadview,IL,Cook County,50.75
60513,Brookfield,IL,Cook County,50.0
60089,Buffalo Grove,IL,Lake County,50.0
60459,Burbank,IL,Cook County,35.0
60109,Burlington,IL,Kane County,33.6
60409,Calumet City,IL,Cook County,33.6
62901,Carbondale,IL,Jackson County,33.6
60116,Carol Stream,IL,Dupage County,35.0
60128,Carol Stream,IL,Dupage County,35.0
60132,Carol Stream,IL,Dupage County,35.0
60188,Carol Stream,IL,Dupage County,51.98
60197,Carol Stream,IL,Dupage County,35.0
60199,Carol Stream,IL,Dupage County,50.0
60110,Carpentersville,IL,Kane County,49.66
60013,Cary,IL,Mchenry County,35.0
60290,Chicago,IL,Cook County,35.0
60601,Chicago,IL,Cook County,50.24
60602,Chicago,IL,Cook County,35.0
60603,Chicago,IL,Cook County,35.0
60604,Chicago,IL,Cook County,35.0
60605,Chicago,IL,Cook County,51.98
60606,Chicago,IL,Cook County,51.98
60607,Chicago,IL,Cook County,51.98
60608,Chicago,IL,Cook County,33.6
60609,Chicago,IL,Cook County,33.6
60610,Chicago,IL,Cook County,50.0
60611,Chicago,IL,Cook County,50.82
