zip,city,state,county,payout
66012,Bonner Springs,KS,Wyandotte County,52.67
66013,Bucyrus,KS,Johnson County,43.5
66113,Edwardsville,KS,Wyandotte County,39.5
66030,Gardner,KS,Johnson County,34.58
66101,Kansas City,KS,Wyandotte County,55.13
66102,Kansas City,KS,Wyandotte County,55.13
66103,Kansas City,KS,Wyandotte County,53.9
66104,Kansas City,KS,Wyandotte County,39.5
66105,Kansas City,KS,Wyandotte County,39.5
66106,Kansas City,KS,Wyandotte County,52.67
66109,Kansas City,KS,Wyandotte County,34.58
66110,Kansas City,KS,Wyandotte County,39.5
66111,Kansas City,KS,Wyandotte County,39.5
66112,Kansas City,KS,Wyandotte County,39.5
66115,Kansas City,KS,Wyandotte County,39.5
66117,Kansas City,KS,Wyandotte County,39.5
66118,Kansas City,KS,Wyandotte County,39.5
66119,Kansas City,KS,Wyandotte County,39.5
66160,Kansas City,KS,Wyandotte County,39.5
66043,Lansing,KS,Leavenworth County,55.13
66048,Leavenworth,KS,Leavenworth County,55.13
66206,Leawood,KS,Johnson County,69.0
66209,Leawood,KS,Johnson County,69.0
66211,Leawood,KS,Johnson County,69.0
66215,Lenexa,KS,Johnson County,69.0
66219,Lenexa,KS,Johnson County,69.0
66220,Lenexa,KS,Johnson County,69.0
66227,Lenexa,KS,Johnson County,69.0
66250,Lenexa,KS,Johnson County,69.0
66276,Lenexa,KS,Johnson County,69.0
66285,Lenexa,KS,Johnson County,69.0
66053,Louisburg,KS,Miami County,52.67
66201,Mission,KS,Johnson County,69.0
66202,Mission,KS,Johnson County,69.0
66205,Mission,KS,Johnson County,69.0
66222,Mission,KS,Johnson County,69.0
66031,New Century,KS,Johnson County,34.58
66051,Olathe,KS,Johnson County,69.0
66061,Olathe,KS,Johnson County,43.5
66062,Olathe,KS,Johnson County,69.0
66063,Olathe,KS,Johnson County,69.0
66204,Overland Park,KS,Johnson County,69.0
66207,Overland Park,KS,Johnson County,69.0
66210,Overland Park,KS,Johnson County,69.0
66212,Overland Park,KS,Johnson County,69.0
66213,Overland Park,KS,Johnson County,69.0
66214,Overland Park,KS,Johnson County,69.0
66221,Overland Park,KS,Johnson County,69.0
66223,Overland Park,KS,Johnson County,69.0
66224,Overland Park,KS,Johnson County,69.0
66225,Overland Park,KS,Johnson County,69.0
66251,Overland Park,KS,Johnson County,69.0
66282,Overland Park,KS,Johnson County,69.0
66283,Overland Park,KS,Johnson County,69.0
66208,Prairie Village,KS,Johnson County,69.0
66203,Shawnee,KS,Johnson County,69.0
66216,Shawnee,KS,Johnson County,69.0
66217,Shawnee,KS,Johnson County,69.0
66218,Shawnee,KS,Johnson County,69.0
66226,Shawnee,KS,Johnson County,69.0
66286,Shawnee,KS,Johnson County,69.0
66083,Spring Hill,KS,Johnson County,69.0
66085,Stilwell,KS,Johnson County,69.0
