zip,city,state,county,payout
48101,Allen Park,MI,Wayne County,35.0
49401,Allendale,MI,Ottawa County,47.25
48003,Almont,MI,Lapeer County,35.0
48103,Ann Arbor,MI,Washtenaw County,35.42
48108,Ann Arbor,MI,Washtenaw County,35.42
48005,Armada,MI,Macomb County,35.0
48412,Attica,MI,Lapeer County,35.0
48321,Auburn Hills,MI,Oakland County,35.0
48326,Auburn Hills,MI,Oakland County,35.0
48111,Belleville,MI,Wayne County,35.0
48112,Belleville,MI,Wayne County,35.0
49022,Benton Harbor,MI,Berrien County,33.6
48072,Berkley,MI,Oakland County,35.0
48009,Birmingham,MI,Oakland County,35.0
48012,Birmingham,MI,Oakland County,35.0
48301,Bloomfield Hills,MI,Oakland County,35.0
48302,Bloomfield Hills,MI,Oakland County,35.0
48303,Bloomfield Hills,MI,Oakland County,35.0
48304,Bloomfield Hills,MI,Oakland County,35.0
48114,Brighton,MI,Livingston County,32.6
48116,Brighton,MI,Livingston County,38.24
48529,Burton,MI,Genesee County,33.6
49315,Byron Center,MI,Kent County,47.25
49316,Caledonia,MI,Kent County,47.25
48187,Canton,MI,Wayne County,35.0
48188,Canton,MI,Wayne County,35.0
49031,Cassopolis,MI,Cass County,33.6
48015,Center Line,MI,Macomb County,35.0
48346,Clarkston,MI,Oakland County,35.0
48347,Clarkston,MI,Oakland County,35.0
48348,Clarkston,MI,Oakland County,35.0
48017,Clawson,MI,Oakland County,35.0
48727,Clifford,MI,Lapeer County,35.0
48035,Clinton Township,MI,Macomb County,35.0
48036,Clinton Township,MI,Macomb County,35.0
48038,Clinton Township,MI,Macomb County,35.0
48421,Columbiaville,MI,Lapeer County,35.0
48382,Commerce Township,MI,Oakland County,35.0
49321,Comstock Park,MI,Kent County,47.25
48350,Davisburg,MI,Oakland County,35.0
48120,Dearborn,MI,Wayne County,35.0
48121,Dearborn,MI,Wayne County,35.0
48123,Dearborn,MI,Wayne County,35.0
48124,Dearborn,MI,Wayne County,35.0
48126,Dearborn,MI,Wayne County,35.0
