zip,city,state,county,payout
63821,Arbyrd,MO,Dunklin County,44.8
64725,Archie,MO,Cass County,39.5
63011,Ballwin,MO,St. Louis County,34.65
63021,Ballwin,MO,St. Louis County,34.65
64011,Bates City,MO,Lafayette County,36.0
64012,Belton,MO,Cass County,39.5
64726,Blairstown,MO,Henry County,35.0
64013,Blue Springs,MO,Jackson County,44.0
64014,Blue Springs,MO,Jackson County,44.0
64015,Blue Springs,MO,Jackson County,44.0
63827,Bragg City,MO,Pemiscot County,44.8
63826,Braggadocio,MO,Pemiscot County,44.8
64016,Buckner,MO,Jackson County,44.0
64017,Camden,MO,Ray County,35.0
64429,Cameron,MO,Clinton County,36.75
63829,Cardwell,MO,Dunklin County,44.8
63830,Caruthersville,MO,Pemiscot County,44.8
63015,Catawissa,MO,Franklin County,35.44
64019,Centerview,MO,Johnson County,35.0
63005,Chesterfield,MO,St. Louis County,40.04
63017,Chesterfield,MO,St. Louis County,40.04
63837,Clarkton,MO,Dunklin County,44.8
64734,Cleveland,MO,Cass County,39.5
63839,Cooter,MO,Pemiscot County,44.8
64739,Creighton,MO,Cass County,39.5
63840,Deering,MO,Pemiscot County,44.8
64742,Drexel,MO,Cass County,39.5
64743,East Lynne,MO,Cass County,39.5
64024,Excelsior Springs,MO,Clay County,57.0
64746,Freeman,MO,Cass County,39.5
64747,Garden City,MO,Cass County,39.5
63847,Gibson,MO,Dunklin County,44.8
63849,Gobler,MO,Dunklin County,44.8
64029,Grain Valley,MO,Jackson County,44.0
64030,Grandview,MO,Jackson County,44.0
64034,Greenwood,MO,Jackson County,44.0
63040,Grover,MO,St. Louis County,35.44
64701,Harrisonville,MO,Cass County,39.5
63851,Hayti,MO,Pemiscot County,44.8
64036,Henrietta,MO,Ray County,35.0
63852,Holcomb,MO,Dunklin County,44.8
64040,Holden,MO,Johnson County,35.0
63853,Holland,MO,Pemiscot County,44.8
63855,Hornersville,MO,Dunklin County,44.8
64050,Independence,MO,Jackson County,55.13
64051,Independence,MO,Jackson County,44.0
64052,Independence,MO,Jackson County,44.0
64053,Independence,MO,Jackson County,44.0
64054,Independence,MO,Jackson County,44.0
64055,Independence,MO,Jackson County,44.0
64056,Independence,MO,Jackson County,44.0
64057,Independence,MO,Jackson County,44.0
64058,Independence,MO,Jackson County,44.0
64101,Kansas City,MO,Jackson County,44.0
64102,Kansas City,MO,Jackson County,44.0
64105,Kansas City,MO,Jackson County,44.0
64106,Kansas City,MO,Jackson County,44.0
64108,Kansas City,MO,Jackson County,53.9
64109,Kansas City,MO,Jackson County,44.0
64110,Kansas City,MO,Jackson County,44.0
64111,Kansas City,MO,Jackson County,44.0
64112,Kansas City,MO,Jackson County,44.0
64113,Kansas City,MO,Jackson County,44.0
64114,Kansas City,MO,Jackson County,55.13
64116,Kansas City,MO,Clay County,57.0
64117,Kansas City,MO,Clay County,57.0
64118,Kansas City,MO,Clay County,57.0
64119,Kansas City,MO,Clay County,57.0
64120,Kansas City,MO,Jackson County,44.0
64121,Kansas City,MO,Jackson County,44.0
64123,Kansas City,MO,Jackson County,44.0
64124,Kansas City,MO,Jackson County,44.0
64125,Kansas City,MO,Jackson County,44.0
64126,Kansas City,MO,Jackson County,44.0
64127,Kansas City,MO,Jackson County,55.13
64128,Kansas City,MO,Jackson County,44.0
64129,Kansas City,MO,Jackson County,44.0
64130,Kansas City,MO,Jackson County,55.13
64131,Kansas City,MO,Jackson County,44.0
64132,Kansas City,MO,Jackson County,44.0
64133,Kansas City,MO,Jackson County,44.0
64134,Kansas City,MO,Jackson County,44.0
64136,Kansas City,MO,Jackson County,44.0
64137,Kansas City,MO,Jackson County,44.0
64138,Kansas City,MO,Jackson County,53.9
64139,Kansas City,MO,Jackson County,44.0
64141,Kansas City,MO,Jackson County,44.0
64144,Kansas City,MO,Jackson County,57.0
64145,Kansas City,MO,Jackson County,44.0
64146,Kansas City,MO,Jackson County,44.0
64147,Kansas City,MO,Jackson County,44.0
64148,Kansas City,MO,Jackson County,44.0
64149,Kansas City,MO,Jackson County,44.0
64151,Kansas City,MO,Platte County,39.5
64152,Kansas City,MO,Platte County,39.5
64154,Kansas City,MO,Platte County,39.5
64155,Kansas City,MO,Clay County,57.0
64156,Kansas City,MO,Clay County,57.0
64157,Kansas City,MO,Clay County,57.0
64158,Kansas City,MO,Clay County,57.0
64161,Kansas City,MO,Clay County,57.0
64162,Kansas City,MO,Missouri Statewide,57.0
64165,Kansas City,MO,Clay County,57.0
64166,Kansas City,MO,Clay County,57.0
64167,Kansas City,MO,Clay County,57.0
64168,Kansas City,MO,Jackson County,39.5
64170,Kansas City,MO,Jackson County,44.0
64171,Kansas City,MO,Jackson County,44.0
64179,Kansas City,MO,Jackson County,44.0
64180,Kansas City,MO,Jackson County,44.0
64184,Kansas City,MO,Jackson County,44.0
64187,Kansas City,MO,Jackson County,44.0
64188,Kansas City,MO,Jackson County,57.0
64191,Kansas City,MO,Jackson County,44.0
64196,Kansas City,MO,Jackson County,44.0
64197,Kansas City,MO,Jackson County,44.0
64198,Kansas City,MO,Jackson County,44.0
64199,Kansas City,MO,Jackson County,44.0
64999,Kansas City,MO,Jackson County,44.0
64060,Kearney,MO,Clay County,57.0
63857,Kennett,MO,Dunklin County,44.8
64061,Kingsville,MO,Johnson County,35.0
64002,Lees Summit,MO,Jackson County,44.0
64063,Lees Summit,MO,Jackson County,44.0
64064,Lees Summit,MO,Jackson County,44.0
64065,Lees Summit,MO,Jackson County,44.0
64081,Lees Summit,MO,Jackson County,44.0
64082,Lees Summit,MO,Jackson County,44.0
64086,Lees Summit,MO,Jackson County,44.0
64066,Levasy,MO,Jackson County,44.0
64067,Lexington,MO,Lafayette County,36.0
64068,Liberty,MO,Clay County,57.0
64069,Liberty,MO,Clay County,57.0
64070,Lone Jack,MO,Jackson County,44.0
63043,Maryland Heights,MO,St. Louis County,34.65
64071,Mayview,MO,Lafayette County,36.0
64072,Missouri City,MO,Clay County,57.0
64073,Mosby,MO,Clay County,57.0
64074,Napoleon,MO,Lafayette County,36.0
64075,Oak Grove,MO,Jackson County,44.0
64076,Odessa,MO,Lafayette County,36.0
64077,Orrick,MO,Ray County,35.0
64078,Peculiar,MO,Cass County,39.5
64080,Pleasant Hill,MO,Cass County,39.5
63373,Portage Des Sioux,MO,St. Charles County,34.65
64083,Raymore,MO,Cass County,43.5
64150,Riverside,MO,Platte County,39.5
63875,Rives,MO,Dunklin County,44.8
63304,Saint Charles,MO,St. Charles County,34.65
64502,Saint Joseph,MO,Buchanan County,45.74
63122,Saint Louis,MO,St. Louis County,35.44
63376,Saint Peters,MO,St. Charles County,35.44
63876,Senath,MO,Dunklin County,44.8
64088,Sibley,MO,Jackson County,44.0
65807,Springfield,MO,Greene County,35.7
63877,Steele,MO,Pemiscot County,44.8
64090,Strasburg,MO,Cass County,39.5
64492,Trimble,MO,Clinton County,52.67
63088,Valley Park,MO,St. Louis County,35.44
63879,Wardell,MO,Pemiscot County,44.8
64093,Warrensburg,MO,Johnson County,35.0
64097,Wellington,MO,Lafayette County,36.0
63880,Whiteoak,MO,Dunklin County,44.8
